year,county,port,port_label,is_named_port,kgs,dollars,measure_class
2017,Halifax,Eastern Passage,Eastern Passage,1,1857249.55,8204659.18,both_present
2017,Halifax,Ecum Secum West,Ecum Secum West,1,379389.01,3517418.25,both_present
2017,Halifax,Factory Cove,Factory Cove,1,,,both_blank
2017,Halifax,Gammons Creek,Gammons Creek,1,,,both_blank
2017,Halifax,Halifax,Halifax,1,3796384.75,14215257.27,both_present
2017,Halifax,Indian Harbour,Indian Harbour,1,,,both_blank
2017,Halifax,Ketch Harbour,Ketch Harbour,1,,,both_blank
2017,Halifax,Little Harbour,Little Harbour (Halifax),1,,,both_blank
2017,Halifax,Ostrea Lake,Ostrea Lake,1,,,both_blank
2017,Halifax,Other,Other (Halifax),0,2920531.33,12261094.01,both_present
2017,Halifax,Owls Head,Owls Head,1,,,both_blank
2017,Halifax,Peggys Cove,Peggys Cove,1,,,both_blank
2017,Halifax,Pleasant Point,Pleasant Point,1,,,both_blank
2017,Halifax,Prospect,Prospect,1,,,both_blank
2017,Halifax,Sambro,Sambro,1,2365006.25,13084753.46,both_present
2017,Halifax,Shad Bay,Shad Bay,1,,,both_blank
2017,Halifax,Sober Island,Sober Island,1,451376.65,1852596.13,both_present
2017,Halifax,Terence Bay,Terence Bay,1,,,both_blank
2017,Halifax,Three Fathom Harbour,Three Fathom Harbour,1,,,both_blank
2017,Halifax,West Chezzetcook,West Chezzetcook,1,,,both_blank
2017,Halifax,West Dover,West Dover,1,,,both_blank
2017,Hants,Other,Other (Hants),0,,,both_blank
2017,Inverness,Cheticamp,Cheticamp,1,,,both_blank
2017,Inverness,Cheticamp - Town Wharf,Cheticamp - Town Wharf,1,,,both_blank
2017,Inverness,Cheticamp Point,Cheticamp Point,1,,,both_blank
2017,Inverness,Finlay Point,Finlay Point,1,,,both_blank
2017,Inverness,Grand Etang,Grand Etang,1,522982.50,7192449.95,both_present
2017,Inverness,Inverness,Inverness,1,734009.84,9158425.45,both_present
2017,Inverness,Judique,Judique,1,,,both_blank
2017,Inverness,Little Judique Harbour,Little Judique Harbour,1,,,both_blank
2017,Inverness,Little Judique Ponds,Little Judique Ponds,1,,,both_blank
2017,Inverness,Mabou Harbour,Mabou Harbour,1,474117.94,6016813.63,both_present
2017,Inverness,Marble Mountain,Marble Mountain,1,,,both_blank
2017,Inverness,Margaree Harbour,Margaree Harbour,1,454097.76,6204135.31,both_present
2017,Inverness,Meat Cove,Meat Cove,1,,,both_blank
2017,Inverness,Murphys Pond,Murphys Pond,1,,,both_blank
2017,Inverness,Other,Other (Inverness),0,,,both_blank
2017,Inverness,Pleasant Bay,Pleasant Bay,1,,,both_blank
2017,Inverness,Port Hood,Port Hood,1,,,both_blank
2017,Inverness,Port Hood Island,Port Hood Island,1,,,both_blank
2017,Kings,Halls Harbour,Halls Harbour,1,109496.75,1679044.46,both_present
2017,Kings,Harbourville,Harbourville,1,180164.65,2769720.71,both_present
2017,Kings,Kingsport,Kingsport,1,,,both_blank
2017,Kings,Other,Other (Kings),0,,,both_blank
2017,Kings,Pereaux,Pereaux,1,,,both_blank
2017,Kings,Scots Bay,Scots Bay,1,,,both_blank
2017,Lunenburg,Aspotogan,Aspotogan,1,,,both_blank
2017,Lunenburg,Bayport,Bayport,1,,,both_blank
2017,Lunenburg,Big Tancook Island,Big Tancook Island,1,,,both_blank
2017,Lunenburg,Black Harbour,Black Harbour,1,,,both_blank
2017,Lunenburg,Blandford,Blandford,1,,,both_blank
2017,Lunenburg,Bush Island,Bush Island,1,,,both_blank
2017,Lunenburg,Chester Basin,Chester Basin,1,,,both_blank
2017,Lunenburg,Feltzen South,Feltzen South,1,,,both_blank
2017,Lunenburg,Fox Point,Fox Point,1,,,both_blank
2017,Lunenburg,Kings Bay,Kings Bay,1,,,both_blank
2017,Lunenburg,Kraut Point,Kraut Point,1,,,both_blank
2017,Lunenburg,Little Harbour,Little Harbour (Lunenburg),1,,,both_blank
2017,Lunenburg,Lunenburg,Lunenburg,1,,,both_blank
2017,Lunenburg,Lunenburg,Lunenburg,1,,,both_blank
2017,Lunenburg,Lunenburg,Lunenburg,1,,,both_blank
2017,Lunenburg,Mahone Bay,Mahone Bay,1,,,both_blank
2017,Lunenburg,Mill Cove,Mill Cove,1,,,both_blank
2017,Lunenburg,Northwest Cove,Northwest Cove,1,52287.37,935534.36,both_present
2017,Lunenburg,Other,Other (Lunenburg),0,597353.89,9840133.93,both_present
2017,Lunenburg,Riverport,Riverport,1,681189.96,601245.10,both_present
2017,Lunenburg,Saw Pit,Saw Pit,1,,,both_blank
2017,Lunenburg,Voglers Cove West,Voglers Cove West,1,,,both_blank
2017,Lunenburg,Western Shore,Western Shore,1,,,both_blank
2017,Pictou,Baileys Brook,Baileys Brook,1,,,both_blank
2017,Pictou,Big Island,Big Island,1,,,both_blank
2017,Pictou,Cape John,Cape John,1,,,both_blank
2017,Pictou,Caribou,Caribou,1,4984566.92,29527707.64,both_present
