decade,survivors,registry_share_pct,nonprofit_count,forprofit_count,nonprofit_share_pct,peak_year,peak_count,oldest_age_years
1930s,10,2.7,0,10,0.0,1937,5,90.3
1940s,8,2.2,0,8,0.0,1945,3,86.3
1950s,3,0.8,0,3,0.0,1955,1,71.0
1960s,6,1.6,1,5,16.7,1965,3,64.2
1970s,21,5.7,11,10,52.4,1977,4,56.4
1980s,62,16.8,51,11,82.3,1981,9,46.2
1990s,26,7.0,11,15,42.3,1997,6,35.8
2000s,75,20.3,47,28,62.7,2004,10,26.5
2010s,88,23.8,64,24,72.7,2011,16,16.1
2020s,70,19.0,56,14,80.0,2023,13,6.3
