asset_type,projects
(unspecified),2388
Secondary Travelway,55
Building,53
Streets,49
Outdoor Recreation Polygon,32
Equipment,26
Bridge,16
Barriers,12
Guiderails,7
Vehicle,4
Amenity,2
Outdoor Recreation Equipment,2
Parking Lots,2
Litter Feature,1
Monitor Well,1
