category_rank,category_norm,projects,pct_of_total
1,Roads,1245,47.0
2,Parks & Playgrounds,558,21.1
3,Buildings,386,14.6
4,Traffic Improvements,142,5.4
5,Sidewalks,120,4.5
6,Transit,71,2.7
7,Solid Waste,42,1.6
8,Business Systems,24,0.9
9,Equipment & Fleet,22,0.8
10,Community & Property Development,18,0.7
11,Industrial Parks,9,0.3
12,Bridges,7,0.3
13,Art & Cultural Assets,2,0.1
13,Halifax Water,2,0.1
14,Landfill,1,0.0
14,Outdoor Sport Facilities,1,0.0
