source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
7170,BPRES-2025-01756,2025-03-06,70000,Renovation,Renovation,Completed,DARTMOUTH,District 06,1,2,Dwelling - Multiple Units,44.68191933033367,-63.52043282200501
7171,BPRES-2025-01828,2025-02-27,150000,Renovation,Renovation,Cancelled,DARTMOUTH,District 05,1,1,Dwelling - Single Detached,44.68013432712624,-63.57893680343832
7172,BPRES-2025-01868,2025-04-08,15000,Addition,Addition,Issued,HALIFAX,District 07,0,2,Dwelling - Single Detached,44.63366148707236,-63.5840004398785
7173,BPRES-2025-01918,2025-03-17,18092,Renovation,Renovation,Completed,HALIFAX,District 09,0,2,Dwelling - Single Detached,44.653605206372184,-63.61670887413816
7174,BPRES-2025-01941,2025-04-16,1000000,New Building,New Building,Issued,HALIFAX,District 10,4,3,Dwelling - Semi-Detached,44.65274299636792,-63.64058546629801
7175,BPRES-2025-01945,2025-02-26,400000,New Building,New Building,Completed,WHITES LAKE,District 13,1,1,Dwelling - Single Detached,44.51896660379491,-63.75367326520724
7176,BPRES-2025-01967,2025-03-11,1700000,New Building,New Building,Amendment Applicant Revisions,BEDFORD,District 16,3,3,Dwelling - Multiple Units,44.73895787767384,-63.65759370011415
7177,BPRES-2025-02006,2025-04-07,80000,Renovation,Renovation,Completed,LOWER SACKVILLE,District 15,1,1,Dwelling - Multiple Units,44.7624849017951,-63.660948237118994
7178,BPRES-2025-02041,2025-02-28,203500,Addition,Addition,Issued,HALIFAX,District 08,0,2,Dwelling - Single Detached,44.66687191972471,-63.60802772026083
7179,BPRES-2025-02108,2025-04-07,240000,Renovation,Renovation,Issued,HALIFAX,District 10,0,1,Dwelling - Multiple Units,44.65764234842022,-63.64005390760124
7180,BPRES-2025-02142,2025-02-24,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.63646541837006,-63.67534302057201
7181,BPRES-2025-02157,2025-08-01,500000,Addition,Addition,Issued,HALIFAX,District 10,3,3,Dwelling - Multiple Units,44.660534207551194,-63.643683175052885
7182,BPRES-2025-02242,2025-03-19,408000,New Building,New Building,Issued,OSTREA LAKE,District 02,1,2,Dwelling - Single Detached,44.774828979936984,-63.101553545384824
7183,BPRES-2025-02258,2025-02-25,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.63636021931177,-63.675875311584875
7184,BPRES-2025-02298,,600050,New Building,New Building,Withdrawn,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.7202085905269,-63.71632632369933
7185,BPRES-2025-02341,2025-03-10,79130,New Building,New Building,Completed,HALIFAX,District 11,0,1,Accessory Structure,44.613331275788205,-63.57681015217221
7186,BPRES-2025-02448,2025-03-04,5000,Renovation,Renovation,Completed,TIMBERLEA,District 12,0,2,Dwelling - Semi-Detached,44.656782219248626,-63.741856132899024
7187,BPRES-2025-02463,2025-02-27,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.63940735456973,-63.68116207443074
7188,BPRES-2025-02468,2025-03-03,275000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.6391793467386,-63.681797194352846
7189,BPRES-2025-02474,2025-02-28,160000,Renovation,Renovation,Issued,HALIFAX,District 11,0,2,Dwelling - Single Detached,44.62484489101334,-63.59663742995439
7190,BPRES-2025-02533,2025-02-28,550000,New Building,New Building,Completed,MURPHY COVE,District 02,1,1,Dwelling - Single Detached,44.7840959686715,-62.7682441327926
7191,BPRES-2025-02576,2025-07-28,310000,New Building,New Building,Completed,WESTPHAL,District 04,1,2,Dwelling - Single Detached,44.701955396308776,-63.459848792250185
7192,BPRES-2025-02582,2025-05-15,50000,Renovation,Renovation,Issued,LOWER SACKVILLE,District 15,1,2,Dwelling - Semi-Detached,44.770165203886414,-63.6994906902387
7193,BPRES-2025-02731,2025-03-05,400000,New Building,New Building,Completed,FALL RIVER,District 01,1,1,Dwelling - Single Detached,44.83756945126465,-63.64431253323499
7194,BPRES-2025-02779,2025-03-21,59995,New Building,New Building,Issued,FALL RIVER,District 01,0,2,Accessory Structure,44.808142449937385,-63.606114009985
7195,BPRES-2025-02809,2025-03-20,320000,New Building,New Building,Issued,TIMBERLEA,District 12,1,3,Dwelling - Single Detached,44.645543700546085,-63.72620049806299
7196,BPRES-2025-02831,2025-04-22,1671490,New Building,New Building,Completed,DARTMOUTH,District 06,5,3,Dwelling - Townhouse,44.67440098782867,-63.54341858445096
7197,BPRES-2025-02890,2025-04-25,647000,New Building,New Building,Completed,HUBLEY,District 13,1,2,Dwelling - Single Detached,44.659054365414946,-63.79478222723406
7198,BPRES-2025-02916,2025-03-31,320000,New Building,New Building,Completed,LAWRENCETOWN,District 02,1,2,Dwelling - Single Detached,44.69005264688698,-63.403963826008464
7199,BPRES-2025-02942,,10000,Renovation,Renovation,Applicant Revisions,LOWER SACKVILLE,District 15,0,1,Dwelling - Single Detached,44.78188951665234,-63.67597756628234
7200,BPRES-2025-02973,2025-03-21,120000,New Building,New Building,Issued,HALIFAX,District 09,0,2,Accessory Structure,44.64403040245598,-63.593128941312756
7201,BPRES-2025-03026,2025-03-13,800000,Renovation,Renovation,Completed,COLE HARBOUR,District 04,0,2,Dwelling - Single Detached,44.661779354420126,-63.4787998481189
7202,BPRES-2025-03038,2025-03-24,750000,New Building,New Building,Issued,DARTMOUTH,District 06,2,2,Dwelling - Semi-Detached,44.714641658339,-63.538189615465704
