source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
1,BPRES-2022-11543,2022-09-13,500000,New Building,New Building,Completed,HEAD OF CHEZZETCOOK,District 02,1,1,Dwelling - Single Detached,44.74653224916645,-63.237872678413055
2,BPCOM-2024-11686,2025-09-03,10000,New Building,New Building,Completed,HALIFAX,District 09,0,2,Accessory Structure,44.64442176198298,-63.62378610783741
3,BPRES-2024-12070,2025-03-10,350000,New Building,New Building,Amendment Applicant Revisions,EAST PETPESWICK,District 02,1,1,Dwelling - Single Detached,44.700359962956696,-63.145418723442255
4,BPCOM-2021-10846,,90000,Renovation,Renovation,Withdrawn,HALIFAX,District 08,0,3,Commercial,44.666071745523354,-63.61443667427447
5,BPRES-2021-17583,2021-12-01,120000,New Building,New Building,Issued,WELLINGTON,District 01,1,3,Dwelling - Single Detached,44.8990631551204,-63.62374729097356
6,BPRES-2023-12340,2023-10-04,1100000,New Building,New Building,Completed,HEAD OF CHEZZETCOOK,District 02,4,1,Dwelling - Townhouse,44.754207535824115,-63.23315920056453
7,BPRES-2025-10564,2025-08-12,735000,New Building,New Building,Completed,FALL RIVER,District 01,1,2,Dwelling - Single Detached,44.836830699217614,-63.643849868234206
8,BP-2021-04479,2021-03-30,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.78735393379536,-63.74275200344525
9,BPCOM-2023-02744,2023-03-30,40000,Renovation,Renovation,Expired,HALIFAX,District 11,0,1,Commercial,44.59410970063679,-63.63911984370211
10,BPCOM-2026-03805,2026-05-01,150000,Renovation,Renovation,Issued,WESTPHAL,District 04,0,1,Commercial,44.70509876780222,-63.4496445064686
11,BPRES-2022-04195,2022-05-02,219100,Renovation,Renovation,Completed,HALIFAX,District 08,0,1,Dwelling - Single Detached,44.66813163661252,-63.612967056339166
12,BPRES-2023-03954,2023-06-22,20000,Addition,Addition,Expired,DARTMOUTH,District 05,0,2,Dwelling - Single Detached,44.67123114172632,-63.58098350937029
13,BPRES-2024-03970,2024-04-16,60000,New Building,New Building,Expired,EAST LAWRENCETOWN,District 02,0,1,Accessory Structure,44.65418539313267,-63.34022328063946
14,BPRES-2025-02460,2025-02-27,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.639066279794605,-63.681276055362126
15,BPRES-2026-00092,,20000,Renovation,Renovation,Application Incomplete,TERENCE BAY,District 13,0,1,Accessory Structure,44.46369295218445,-63.72099067729344
16,BP-2021-01856,2021-02-26,150000,Renovation,Renovation,Expired (Closed),HALIFAX,District 07,0,1,Commercial,44.64384331054259,-63.58029407392168
17,BP-2021-07215,2021-05-19,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,1,Dwelling - Single Detached,44.7867814029062,-63.766188591721885
18,BPCOM-2022-05232,,340000,New Building,New Building,Withdrawn,DARTMOUTH,District 06,0,2,Commercial,44.69643031933263,-63.594307756795004
19,BPCOM-2023-16193,2024-01-11,40000,Renovation,Renovation,Completed,LOWER SACKVILLE,District 15,0,1,Commercial,44.77180517627832,-63.69509574671013
20,BPCOM-2025-07991,2026-04-15,7000000,New Building,New Building,Issued,HALIFAX,District 10,0,2,Institutional and Governmental,44.67032139188415,-63.64862172576427
21,BPRES-2021-13383,2021-08-23,425000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.79068615553283,-63.76617406650804
22,BPRES-2022-01225,2022-03-17,300000,New Building,New Building,Completed,TIMBERLEA,District 12,1,3,Dwelling - Single Detached,44.64015246111085,-63.721727919076926
23,BPRES-2022-07916,,82000,New Building,New Building,Withdrawn,,District 01,1,1,Dwelling - Single Detached,44.93497791968403,-63.49659001594762
24,BPRES-2022-15416,2023-01-27,67000,New Building,New Building,Expired,WAVERLEY,District 01,1,2,Dwelling - Backyard Suite,44.782272587961565,-63.59248524616501
25,BPRES-2023-08053,2024-04-05,60000,New Building,New Building,Completed,RIVER LAKE,District 02,1,1,Dwelling - Seasonal,44.92390947977502,-62.74544940993426
26,BPRES-2023-16373,2024-03-18,700000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.720652554286524,-63.71756149354174
27,BPRES-2024-07687,,90000,New Building,New Building,Withdrawn,WEST DOVER,District 13,0,2,Accessory Structure,44.49307941165518,-63.87181058314614
28,BPRES-2024-17077,,250000,Addition,Addition,Applicant Revisions,DARTMOUTH,District 03,2,2,Dwelling - Multiple Units,44.6642035194943,-63.54609986012296
29,BPRES-2025-06384,2026-01-26,50000,New Building,New Building,Completed,DARTMOUTH,District 06,2,3,Dwelling - Semi-Detached,44.714085258343616,-63.539417717757935
30,BPRES-2025-14976,2026-05-26,9000,Renovation,Renovation,Issued,HALIFAX,District 09,1,2,Dwelling - Multiple Units,44.64837459685214,-63.59588690443603
31,BPRES-2026-04144,2026-06-12,400000,New Building,New Building,Issued,UPPER TANTALLON,District 13,1,3,Dwelling - Single Detached,44.69442995060911,-63.88190225368967
32,BP-2021-00603,2021-01-22,180000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.781785579591926,-63.748903855617954
33,BP-2021-05982,2021-04-20,2000,Renovation,Renovation,Expired,DARTMOUTH,District 03,0,1,Dwelling - Single Detached,44.6656032835218,-63.54129870338368
34,BP-2021-08749,2021-06-17,30000,New Building,New Building,Completed,HEAD OF ST MARGARETS BAY,District 13,0,1,Accessory Structure,44.67094237469761,-63.918977023101164
35,BPCOM-2021-19241,,900000,Renovation,Renovation,Applicant Revisions,HALIFAX,District 09,0,2,Commercial,44.64456804856731,-63.61829827347219
36,BPCOM-2022-12674,2022-10-24,300000,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,1,Commercial,44.702325673140116,-63.56429052094754
37,BPCOM-2023-09948,2023-09-19,35000,Renovation,Renovation,Expired,LOWER SACKVILLE,District 15,0,1,Commercial,44.758844372095425,-63.66836308427226
38,BPCOM-2024-05976,2024-05-24,30000,Renovation,Renovation,Completed,PORTERS LAKE,District 02,0,1,Commercial,44.7427789750993,-63.27980364660476
39,BPCOM-2025-01421,2025-03-06,40000,Renovation,Renovation,Completed,HALIFAX,District 08,0,8,Mixed Use - Residential & Other Use(s),44.661916025421164,-63.59744163976179
40,BPCOM-2025-16123,2025-10-31,209405,Renovation,Renovation,Completed,DARTMOUTH,District 05,0,2,Commercial,44.665018321337655,-63.56975704658656
41,BPRES-2021-11261,2021-06-25,450000,New Building,New Building,Completed,BEAVER BANK,District 15,1,2,Dwelling - Single Detached,44.81474750507468,-63.696744891283956
42,BPRES-2021-15721,2021-10-14,16000,New Building,New Building,Expired (Closed),HALIFAX,District 08,0,1,Accessory Structure,44.663851841376186,-63.59479398978238
43,BPRES-2021-19656,2022-08-10,400000,New Building,New Building,Completed,BOUTILIERS POINT,District 13,1,2,Dwelling - Single Detached,44.674107030911166,-63.927231121863876
44,BPRES-2022-02843,2022-04-21,200000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.63847099975497,-63.68077970796554
45,BPRES-2022-05916,2022-05-16,40000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,0,1,Accessory Structure,44.803550892975714,-63.73783471980768
46,BPRES-2022-09662,2022-08-04,200000,New Building,New Building,Completed,EAST PENNANT,District 11,1,2,Dwelling - Backyard Suite,44.46381682179589,-63.635749279022285
47,BPRES-2022-13449,2022-10-14,490000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.70585199096138,-63.72129727005634
48,BPRES-2023-01878,2023-11-14,800000,New Building,New Building,Issued,HALIFAX,District 11,4,2,Dwelling - Multiple Units,44.62400723395196,-63.619706120061466
49,BPRES-2023-06145,2023-07-25,230000,Renovation,Renovation,Expired,MIDDLE SACKVILLE,District 14,0,1,Dwelling - Single Detached,44.80123517974788,-63.73700438509463
50,BPRES-2023-10267,2023-08-04,10500,Renovation,Renovation,Completed,HALIFAX,District 11,0,2,Dwelling - Single Detached,44.6071039957073,-63.602297903772346
51,BPRES-2023-14283,2024-01-15,45000,New Building,New Building,Issued,PROSPECT BAY,District 13,0,1,Accessory Structure,44.50797035974365,-63.77980515682817
52,BPRES-2024-02044,2024-05-10,291000,Addition,Addition,Completed,BEAVER BANK,District 15,0,2,Dwelling - Single Detached,44.8560719368504,-63.68499837788377
53,BPRES-2024-05741,2024-05-13,35000,New Building,New Building,Completed,UPPER HAMMONDS PLAINS,District 14,0,1,Accessory Structure,44.745364519597466,-63.822846831729784
54,BPRES-2024-09665,2024-07-23,15871,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,1,Dwelling - Single Detached,44.68763892004272,-63.538683748575515
55,BPRES-2024-15237,2025-08-07,3000,Renovation,Renovation,Issued,HALIFAX,District 07,0,2,Dwelling - Single Detached,44.62396154705991,-63.57377488916391
56,BPRES-2025-00290,2025-09-03,680000,New Building,New Building,Issued,,District 02,6,1,Dwelling - Townhouse,44.75066882081569,-63.29687412921254
57,BPRES-2025-04571,2025-04-17,100000,New Building,New Building,Completed,LUCASVILLE,District 14,0,2,Accessory Structure,44.75891995334493,-63.749689534411395
58,BPRES-2025-08424,2025-06-05,40000,New Building,New Building,Issued,BROOKSIDE,District 13,0,1,Accessory Structure,44.531667929116864,-63.71044574818629
59,BPRES-2025-12805,2025-12-18,375000,New Building,New Building,Issued,FALL RIVER,District 01,1,1,Dwelling - Single Detached,44.82109893809082,-63.616594145571675
60,BPRES-2025-16967,2025-12-08,400000,New Building,New Building,Issued,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.79518525974702,-63.75449417807844
61,BPRES-2026-02375,2026-03-06,700000,New Building,New Building,Issued,HAMMONDS PLAINS,District 14,1,2,Dwelling - Single Detached,44.69428036156861,-63.79803816373263
62,BPRES-2026-06298,2026-06-24,28000,New Building,New Building,Issued,DARTMOUTH,District 06,0,1,Accessory Structure,44.706702079243165,-63.546201246817134
63,BP-2020-00593,2021-02-03,75000,New Building,New Building,Completed,HUBLEY,District 13,1,1,Dwelling - Single Detached,44.681048703950125,-63.82448432340363
64,BP-2021-01133,2021-03-05,180003,Addition,Addition,Expired,DARTMOUTH,District 05,0,2,Dwelling - Single Detached,44.683701905433225,-63.5621277143999
65,BP-2021-02528,,800000,New Building,New Building,Withdrawn,MIDDLE SACKVILLE,District 14,0,3,Commercial,44.777416919257696,-63.73322808706184
66,BP-2021-03838,2021-08-25,22100,Addition,Addition,Expired (Closed),UPPER TANTALLON,District 13,0,1,Commercial,44.68866967010135,-63.883655701208376
67,BP-2021-05092,2021-12-16,1000000,New Building,New Building,Completed,LOWER SACKVILLE,District 15,0,1,Commercial,44.7753645849725,-63.696100899643206
68,BP-2021-06575,2022-01-14,25000,New Building,New Building,Completed,DARTMOUTH,District 03,0,1,Accessory Structure,44.662581966489704,-63.507635569772596
69,BP-2021-07969,,28000,Renovation,Renovation,Withdrawn,UPPER TANTALLON,District 13,1,3,Dwelling - Single Detached,44.73036236107354,-63.88663535154684
70,BP-2021-09460,2021-06-25,60000,Renovation,Renovation,Completed,HALIFAX,District 11,1,2,Dwelling - Multiple Units,44.6160786755619,-63.619798707417765
71,BPCOM-2021-15018,2021-10-04,35000,Renovation,Renovation,Completed,HALIFAX,District 09,0,15,Commercial,44.64812268837553,-63.60444247316049
72,BPCOM-2022-01942,2023-10-26,120000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,0,1,Accessory Structure,44.725934175814565,-63.748752104185165
73,BPCOM-2022-09255,,1600000,New Building,New Building,Withdrawn,DARTMOUTH,District 05,3,2,Dwelling - Multiple Units,44.665794517670534,-63.55956710178893
74,BPCOM-2022-15838,2023-01-10,75000,Renovation,Renovation,Completed,HALIFAX,District 07,0,3,Commercial,44.644602087679004,-63.57971982979965
75,BPCOM-2023-05984,2023-05-17,13525,Renovation,Renovation,Completed,SEAFORTH,District 02,0,1,Commercial,44.66936871456202,-63.25574881088257
76,BPCOM-2023-13873,2023-11-01,503970,Renovation,Renovation,Completed,DARTMOUTH,District 03,0,1,Commercial,44.66688051356636,-63.54885060662835
77,BPCOM-2024-02267,2024-04-12,550000,New Building,New Building,Completed,HALIFAX,District 11,6,2,Dwelling - Multiple Units,44.60210501811543,-63.611887680411755
78,BPCOM-2024-07997,2024-07-29,580000,New Building,New Building,Completed,DARTMOUTH,District 06,0,1,Commercial,44.68841244509001,-63.597703005532246
79,BPCOM-2024-16927,2025-01-17,8800000,New Building,New Building,Issued,LOWER SACKVILLE,District 15,44,5,Dwelling - Multiple Units,44.752547223163646,-63.662490626635474
80,BPCOM-2025-03626,2025-07-04,1000000,Renovation,Renovation,Completed,DARTMOUTH,District 05,0,1,Commercial,44.67942850107609,-63.58349029232841
81,BPCOM-2025-12621,2025-08-27,350000,Renovation,Renovation,Completed,HALIFAX,District 08,0,10,Commercial,44.658343562106154,-63.60322178206833
82,BPCOM-2026-00374,,80000,Renovation,Renovation,Withdrawn,HALIFAX,District 07,0,22,Mixed Use - Residential & Other Use(s),44.64386987195683,-63.56984458600852
83,BPCOM-2026-07955,,500000,Renovation,Renovation,Submitted,DARTMOUTH,District 05,0,2,Commercial,44.68656042112191,-63.55952448193897
84,BPRES-2021-12359,2021-08-13,40000,New Building,New Building,Expired,WEST CHEZZETCOOK,District 02,0,1,Accessory Structure,44.72604341394606,-63.26656506373151
85,BPRES-2021-14512,2021-10-20,234000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Backyard Suite,44.7031723346302,-63.70938121187818
86,BPRES-2021-16820,,40000,Addition,Addition,Amendment Applicant Revisions,TANTALLON,District 13,0,1,Dwelling - Seasonal,44.67759023081248,-63.895939104461824
87,BPRES-2021-18665,2021-12-08,12000,New Building,New Building,Completed,LANTZ,District 01,0,1,Accessory Structure,44.977897071622145,-63.47408292762221
88,BPRES-2022-00300,2022-01-14,36565,Renovation,Renovation,Completed,HALIFAX,District 12,0,2,Dwelling - Single Detached,44.6664421800863,-63.664694210609085
89,BPRES-2022-02090,2022-03-17,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,2,Dwelling - Single Detached,44.637322117623405,-63.679030777995784
90,BPRES-2022-03434,2022-03-25,400000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.78883745022041,-63.74135790591074
91,BPRES-2022-05148,2022-05-12,8500,Renovation,Renovation,Completed,TIMBERLEA,District 12,1,3,Dwelling - Multiple Units,44.64188145850474,-63.70568139877423
92,BPRES-2022-06767,2022-06-06,150000,Addition,Addition,Expired,ENFIELD,District 01,0,2,Dwelling - Single Detached,44.928360675429566,-63.53164431327557
93,BPRES-2022-08749,2022-06-28,30100,Renovation,Renovation,Completed,LAWRENCETOWN,District 02,0,2,Dwelling - Single Detached,44.64961493055038,-63.40430939712018
94,BPRES-2022-10579,2023-01-23,85000,New Building,New Building,Completed,LOWER SACKVILLE,District 15,0,2,Accessory Structure,44.76417739170997,-63.63791573794555
95,BPRES-2022-12576,2023-03-20,330000,New Building,New Building,Completed,TIMBERLEA,District 12,1,3,Dwelling - Single Detached,44.639871872367245,-63.72178078701806
96,BPRES-2022-14364,2022-11-09,5000,New Building,New Building,Completed,FLETCHERS LAKE,District 01,0,1,Accessory Structure,44.84433717786696,-63.60193702568406
97,BPRES-2023-00710,2023-01-27,113865,Renovation,Renovation,Expired,HALIFAX,District 07,0,2,Dwelling - Single Detached,44.62663682100079,-63.57683645133167
98,BPRES-2023-02887,2023-04-20,600000,New Building,New Building,Completed,LOWER SACKVILLE,District 15,1,1,Dwelling - Single Detached,44.75766415745806,-63.684989750811305
99,BPRES-2023-05029,2023-05-09,250000,Addition,Addition,Expired,HAMMONDS PLAINS,District 14,0,2,Dwelling - Single Detached,44.76769465231365,-63.76945998470684
100,BPRES-2023-06994,,160000,New Building,New Building,Application Incomplete,,District 02,1,1,Dwelling - Single Detached,44.943021891237414,-62.26364125531362
101,BPRES-2023-08950,2023-11-07,72500,Addition,Addition,Completed,LAWRENCETOWN,District 02,1,1,Dwelling - Multiple Units,44.68710019824455,-63.39943120637814
102,BPRES-2023-11429,2023-08-30,425000,New Building,New Building,Completed,HUBLEY,District 13,1,1,Dwelling - Single Detached,44.670685319358064,-63.82178280908707
103,BPRES-2023-13218,2023-10-12,400000,New Building,New Building,Completed,HALIFAX,District 11,4,2,Dwelling - Semi-Detached,44.60094476480313,-63.60512399568898
104,BPRES-2023-15319,2024-01-22,775000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,1,2,Dwelling - Single Detached,44.72254729152527,-63.83360898036793
105,BPRES-2024-00854,2024-01-26,150000,Renovation,Renovation,Completed,LOWER SACKVILLE,District 15,0,2,Dwelling - Multiple Units,44.76499996104856,-63.68210423295168
106,BPRES-2024-03153,2024-04-09,265000,New Building,New Building,Completed,EAST SHIP HARBOUR,District 02,1,1,Dwelling - Single Detached,44.777304736513116,-62.77902637890484
107,BPRES-2024-04838,2024-04-24,500000,New Building,New Building,Completed,BEECHVILLE,District 12,2,2,Dwelling - Semi-Detached,44.639863982343655,-63.67852566027336
108,BPRES-2024-06753,2024-06-17,7000,New Building,New Building,Completed,LEWIS LAKE,District 13,1,2,Dwelling - Single Detached,44.679384756811324,-63.83350350788922
109,BPRES-2024-08604,2025-06-02,150000,New Building,New Building,Completed,DARTMOUTH,District 03,1,2,Dwelling - Backyard Suite,44.6652217902339,-63.53999066937383
110,BPRES-2024-10761,2024-09-09,299000,New Building,New Building,Completed,COLE HARBOUR,District 04,2,1,Dwelling - Single Detached,44.658137828792064,-63.455986180273584
111,BPRES-2024-13749,2024-12-05,137000,Renovation,Renovation,Completed,LOWER SACKVILLE,District 15,1,1,Dwelling - Backyard Suite,44.77865753352579,-63.686358066355325
112,BPRES-2024-16202,2024-11-26,700000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.80256406317024,-63.76538415374711
113,BPRES-2024-18232,2024-12-20,209000,New Building,New Building,Issued,DUNCANS COVE,District 11,0,1,Accessory Structure,44.49602979542013,-63.52550624403131
114,BPRES-2025-01363,2025-05-16,286000,New Building,New Building,Completed,BEAVER BANK,District 15,1,1,Dwelling - Single Detached,44.83632433747058,-63.66153961476289
115,BPRES-2025-03643,2025-05-21,450000,New Building,New Building,Issued,OSTREA LAKE,District 02,1,2,Dwelling - Single Detached,44.757335141676876,-63.10612294299823
116,BPRES-2025-05453,2025-05-06,198000,Addition,Addition,Completed,LAKE LOON,District 04,0,1,Dwelling - Single Detached,44.70891118028248,-63.48504642963357
117,BPRES-2025-07457,2025-05-26,23000,Renovation,Renovation,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Multiple Units,44.792574140805506,-63.712561836469845
118,BPRES-2025-09460,2025-08-06,382000,New Building,New Building,Completed,,District 02,1,1,Dwelling - Backyard Suite,44.72490622964744,-63.23104687754933
119,BPRES-2025-11830,2025-08-18,400000,New Building,New Building,Issued,HALIFAX,District 11,4,3,Dwelling - Multiple Units,44.58664726070412,-63.5887556860014
120,BPRES-2025-13918,2025-09-17,350000,New Building,New Building,Issued,DARTMOUTH,District 06,2,3,Dwelling - Semi-Detached,44.713711844045854,-63.53987284401951
121,BPRES-2025-15977,2025-10-22,375000,New Building,New Building,Issued,FALL RIVER,District 01,1,2,Dwelling - Single Detached,44.840470774552,-63.64136164962753
122,BPRES-2025-18108,,5000,Renovation,Renovation,Applicant Revisions,DARTMOUTH,District 05,1,3,Dwelling - Multiple Units,44.68610934343934,-63.58353504122579
123,BPRES-2026-01287,2026-03-09,500000,New Building,New Building,Issued,BEDFORD,District 16,1,3,Dwelling - Single Detached,44.70965725292719,-63.72634282851633
124,BPRES-2026-03191,,20000,Renovation,Renovation,Application Incomplete,EASTERN PASSAGE,District 03,1,2,Dwelling - Multiple Units,44.62562748619983,-63.51272553524135
125,BPRES-2026-05181,,70000,New Building,New Building,Applicant Revisions,WHITES LAKE,District 13,0,1,Accessory Structure,44.54351137446391,-63.73885468379963
126,BPRES-2026-07542,,50000,Addition,Addition,In Review,HAMMONDS PLAINS,District 14,0,2,Dwelling - Single Detached,44.72405203488428,-63.82214117476142
127,BP-2020-00283,2021-01-19,31000,Addition,Addition,Expired (Closed),COLE HARBOUR,District 04,0,1,Dwelling - Single Detached,44.648887952688234,-63.46677775086221
128,BP-2021-00279,2021-09-28,10439629,New Building,New Building,Completed,HALIFAX,District 08,92,12,Mixed Use - Residential & Other Use(s),44.65613129771794,-63.59982635322202
129,BP-2021-00833,2021-02-10,10000,New Building,New Building,Cancelled,LOWER SACKVILLE,District 15,0,1,Accessory Structure,44.77811009328242,-63.68771012881632
130,BP-2021-01533,2021-02-23,28700,Renovation,Renovation,Completed,WELLINGTON,District 01,0,1,Dwelling - Single Detached,44.86465856625577,-63.61598220052856
131,BP-2021-02142,2021-02-23,450000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.70292364311553,-63.7177323535899
132,BP-2021-02865,2021-03-05,350000,New Building,New Building,Completed,UPPER TANTALLON,District 13,1,2,Dwelling - Single Detached,44.70412106720298,-63.88922857001702
133,BP-2021-03491,2021-03-23,500000,New Building,New Building,Completed,MONTAGUE GOLD MINES,District 01,1,2,Dwelling - Single Detached,44.72464230972395,-63.52412207894702
134,BP-2021-04230,2021-06-09,250000,New Building,New Building,Completed,HALIFAX,District 11,2,3,Dwelling - Semi-Detached,44.6010065029411,-63.60151620636814
135,BP-2021-04773,2021-04-09,6000,New Building,New Building,Completed,LUCASVILLE,District 14,0,1,Accessory Structure,44.764848504478344,-63.716435905217025
136,BP-2021-05586,,41500,New Building,New Building,Applicant Revisions,COW BAY,District 03,0,1,Accessory Structure,44.620752326572436,-63.442826682749576
137,BP-2021-06228,2021-05-06,630000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.7044627622407,-63.71093861004966
138,BP-2021-06919,2022-08-18,37500,Addition,Addition,Issued,HUBLEY,District 13,1,2,Dwelling - Semi-Detached,44.677089370714796,-63.815900669016656
139,BP-2021-07563,2021-06-29,120000,Addition,Addition,Completed,HAMMONDS PLAINS,District 14,0,2,Dwelling - Single Detached,44.738759712180666,-63.80039605912332
140,BP-2021-08397,2021-10-06,5000,Renovation,Renovation,Completed,DARTMOUTH,District 05,0,2,Commercial,44.682296996113045,-63.59640279614357
141,BP-2021-09186,2023-10-26,17286648,New Building,New Building,Issued,DARTMOUTH,District 05,103,12,Dwelling - Multiple Units,44.672691681840114,-63.59162368835915
142,BP-2021-09948,2021-06-25,106000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,0,1,Accessory Structure,44.78232457856171,-63.75447255611646
143,BPCOM-2021-12879,2021-08-10,175000,Renovation,Renovation,Completed,BEDFORD,District 16,0,1,Commercial,44.696047105383656,-63.689574004280416
144,BPCOM-2021-17142,2021-11-29,10000,Renovation,Renovation,Expired (Closed),HALIFAX,District 09,0,1,Commercial,44.649368575944415,-63.61874247106554
145,BPCOM-2022-00129,2022-02-04,63000,Renovation,Renovation,Completed,DARTMOUTH,District 05,0,3,Commercial,44.666297319359415,-63.569186544964545
146,BPCOM-2022-03658,2022-05-04,353000,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,1,Commercial,44.69737772483023,-63.56364339220288
147,BPCOM-2022-07462,2022-06-27,30000,Renovation,Renovation,Expired,HALIFAX,District 11,0,1,Commercial,44.62362795833286,-63.61927663250155
148,BPCOM-2022-10862,2022-09-15,80000,Renovation,Renovation,Expired,HALIFAX,District 07,0,17,Commercial,44.648913137170794,-63.573131087533255
149,BPCOM-2022-14284,2022-12-20,341080,Renovation,Renovation,Completed,HALIFAX,District 07,0,9,Commercial,44.647297148804824,-63.57684441289074
150,BPCOM-2023-01100,2023-03-31,12864303.26,New Building,New Building,Issued,DARTMOUTH,District 06,176,6,Mixed Use - Residential & Other Use(s),44.67343034334863,-63.54058916033984
151,BPCOM-2023-03953,2023-11-09,99821132.85,New Building,New Building,Issued,HALIFAX,District 07,462,21,Mixed Use - Residential & Other Use(s),44.645176808228285,-63.571415720517095
152,BPCOM-2023-08005,2023-08-08,85000,Renovation,Renovation,Completed,HAMMONDS PLAINS,District 14,0,1,Commercial,44.728049278595066,-63.74950387572457
153,BPCOM-2023-11975,2023-10-11,100000,Renovation,Renovation,Completed,BEDFORD,District 16,0,2,Commercial,44.716515972343345,-63.70681589808718
154,BPCOM-2023-15274,2023-11-29,2224000,Renovation,Renovation,Completed,HALIFAX,District 09,0,3,Commercial,44.649368575944415,-63.61874247106554
155,BPCOM-2024-00681,2024-01-26,260000,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,1,Commercial,44.69783067202637,-63.563675212453205
156,BPCOM-2024-04325,2024-04-18,41000,Renovation,Renovation,Completed,SHAD BAY,District 13,0,2,Institutional and Governmental,44.5218299293384,-63.776421123961974
157,BPCOM-2024-06741,2025-03-04,350000,New Building,New Building,Issued,HAMMONDS PLAINS,Unidentified,1,1,Mixed Use - Residential & Other Use(s),44.72530224921251,-63.74092918383541
158,BPCOM-2024-09664,2024-09-04,129000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,0,1,Accessory Structure,44.732159042555125,-63.80676177826914
159,BPCOM-2024-15054,2024-10-24,208939.87,Renovation,Renovation,Completed,HALIFAX,District 07,0,16,Commercial,44.64966610556248,-63.57564691094759
160,BPCOM-2024-18851,2025-01-06,52000,Renovation,Renovation,Completed,HALIFAX,District 07,0,7,Commercial,44.64340647269803,-63.57650149878513
161,BPCOM-2025-02767,2025-05-28,67650,Renovation,Renovation,Issued,HALIFAX,District 08,0,2,Institutional and Governmental,44.652821030827866,-63.58656093960488
162,BPCOM-2025-05004,2025-06-30,1000000,Renovation,Renovation,Amendment Review,HALIFAX,District 07,0,3,Mixed Use - Residential & Other Use(s),44.64029103611846,-63.5875114006309
163,BPCOM-2025-10310,2025-08-14,323500,Renovation,Renovation,Issued,HALIFAX,District 09,0,12,Dwelling - Multiple Units,44.632044907556,-63.633897037773195
164,BPCOM-2025-14602,,70000,Addition,Addition,Withdrawn,HALIFAX,District 11,2,3,Dwelling - Multiple Units,44.60958254240611,-63.61625840707493
165,BPCOM-2025-17935,2025-12-08,20000,Renovation,Renovation,Completed,BEDFORD,District 16,0,4,Mixed Use - Residential & Other Use(s),44.719261163581116,-63.67127402848263
166,BPCOM-2026-01619,,45000000,New Building,New Building,Applicant Revisions,,District 15,424,4,Mixed Use - Residential & Other Use(s),44.81701636697849,-63.681614419967005
167,BPCOM-2026-05515,2026-05-20,6000,Renovation,Renovation,Issued,HALIFAX,District 08,0,2,Commercial,44.651165631403956,-63.58303656406624
168,BPRES-2021-10607,2022-01-21,600000,New Building,New Building,Completed,HALIFAX,District 11,2,2,Dwelling - Semi-Detached,44.61810285078784,-63.617903718320605
169,BPRES-2021-11847,2021-09-08,700000,New Building,New Building,Amendment Applicant Revisions,EAST PETPESWICK,District 02,1,3,Dwelling - Single Detached,44.693621413329694,-63.14993803214328
170,BPRES-2021-12961,2022-11-01,20000,New Building,New Building,Completed,CONROD SETTLEMENT,District 02,0,1,Accessory Structure,44.76648247204703,-63.236798622952215
171,BPRES-2021-14017,2021-09-08,20000,Renovation,Renovation,Completed,HALIFAX,District 11,0,2,Dwelling - Single Detached,44.62659195289071,-63.59608740493234
172,BPRES-2021-15143,2021-10-19,402000,New Building,New Building,Completed,,District 13,1,2,Dwelling - Single Detached,44.66267504731725,-63.96793568019195
173,BPRES-2021-16338,2021-11-02,30000,Addition,Addition,Completed,FALL RIVER,District 01,0,1,Dwelling - Single Detached,44.791881835336056,-63.61942995937361
