project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Old Pictou Road: from West Branch Road to 600 metres east of Baillies Road,4.6,Pictou,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Oregon Road: from Cabot Trail northerly to end of listing,3.85,Victoria,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Peck Meadow Road: from Greenfield Road easterly 3.7 km,3.7,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Pitchers Farm Road: from 3.6 km east of Ambrose Camerons Bridge southerly,4.5,Antigonish,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Pitchers Farm Road:  from Ambrose Camerons Bridge southerly 3.5 km,3.5,Antigonish,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Started,roads
Pleasant Street: from Landsdowne Road to River View Road,0.35,Digby,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Pleasant Valley Road: from Millbrook Road northerly to Salter Road,4.5,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2024-2025,2025-2026,Completed,roads
Point Aconi Road: from Sheri Lee Lane to end of listing,1.76,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Pomquet Lake Road: from Taylors Road to Pomquet Monks Head Road,1.95,Antigonish,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Porter Road: from 1.8 km west of Millsville Road to Millsville Road,1.8,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Powers Road: from Terrance Bay Road to end of cul-de-sac,2.0,Halifax,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Ragged Harbour South: from Long Cove Road southerly to end of listing,0.6,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Ramey Road: from Route 210 northerly to end of sand seal,0.75,Queens,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Raynardton Road: from Highway 103 northerly to Saunders Road,7.6,Yarmouth,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Red Bank Road: from Route 215 westerly to end of pavement,0.8,Hants,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Reid Road: from 0.8 km north of Plains Road northerly to East Folly Mountain Road,4.6,Colchester,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Rhines Road: from Route 236 to Cross Road,1.3,Hants,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2026-2027,Started,roads
Rhodenizer Road: from Trunk 10 northerly to end of listing,2.0,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
River Road: from end of pavement to Morganville Road,4.1,Digby,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
River Road: from Springville Road northerly,5.0,Pictou,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
River Road: from Trunk 8 westerly,1.5,Queens,Asphalt Projects for 2025-26,Pavement Strengthening,2025-2026,2025-2026,Completed,roads
Riverview Road: from end of pavement northerly to River Road,4.0,Digby,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Roberts Island Road: from Rickers Hill Road to end of listing,2.3,Yarmouth,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Robinson Road: from Meadow Drive easterly to Mill Village Road,1.7,Hants,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Rod MacKay Road: from Four Mile Brook Road to Route 376,3.33,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Ross Creek Road: from end of listing southerly 2.1 km,2.1,Kings,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Route 201: from Annapolis county line easterly to Argus Drive (various sections),1.9,Kings,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 204: from 2 km east of Jersey Road to Route 368,2.0,Cumberland,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 204: from Amherst town line easterly to Nappan Road,2.4,Cumberland,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Route 204: from Mansfield Road to 5 km west of Oxford town line,3.6,Cumberland,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 207: Realign a section of Route 207 (Lawrencetown Road),0.0,Halifax,Construction/Improvement Projects for 2026-27,Construction Arterial/Collector,2026-2027,2026-2027,Planned,roads
Route 209: from 200 metres east of Bayview Road (east intersection) easterly,2.0,Cumberland,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
"Route 215: from 100 metres east of Oxbow Road, slope failure",0.0,Hants,Construction/Improvement Projects for 2026-27,Construction Arterial/Collector,2026-2027,2026-2027,Planned,roads
Route 216: from 4.8 km south of Beacon Hill Court easterly to Beacon Hill Court,4.8,Cape Breton,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 219: from 7.6 km north of Trunk 19 northerly,2.5,Inverness,Asphalt Projects for 2027-28,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 224: from Route 357 easterly to Branch Road,7.0,Halifax,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 246: from 1 km south of Trunk 6 to Trunk 6,1.0,Colchester,Asphalt Projects for 2025-26,Pavement Strengthening,2025-2026,2025-2026,Completed,roads
Route 252: from Highway 105 northerly to Route 395,3.6,Inverness,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 277: from Hurshman Road to Milford Road,3.7,Hants,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Route 289: from 1.3 km west of Forest Glen Road to 0.5 km west of Brenton Cross Road,2.7,Colchester,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Route 289: from 6.5 km west of Salter Road to Salter Road,6.5,Pictou,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 289: from Cloverdale Road to Lilyvale Road,4.76,Colchester,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Route 308: from Trunk 3 southerly 2.0 km,2.0,Yarmouth,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 311: from 0.5 km south of Sutherland Road to Kemptown Road,3.7,Colchester,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Route 311: from Spiddle Hill Road to Kavanaugh Mill Road,2.7,Colchester,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Route 311 Loop: from Route 311 to Upper River John Road,3.5,Colchester,Asphalt Projects for 2025-26,Double Chip Resurfacing,2025-2026,2025-2026,Completed,roads
Route 333: from Indian Point Road northerly to Trunk 3,6.0,Halifax,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 337: from Antigonish town line northerly to Marl Road,5.9,Antigonish,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Route 344: from Mulgrave town line north to Highway 104,3.0,Guysborough,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Route 354: from 5.0 km north of Findley Road northerly,2.4,Hants,Asphalt Projects for 2025-26,Pavement Strengthening,2025-2026,2025-2026,Completed,roads
Route 357: from Trunk 7 northerly,6.0,Halifax,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2026-2027,Started,roads
Route 360: from Brow of Mountain Road to Harbourville Wharf,6.9,Kings,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Salmon River Road: from Loch Lomond Road easterly,6.46,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2026-2027,Started,roads
Sandy Lake Road: from Route 354 to end of listing,0.8,Halifax,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Sandy Point Road: from 2.2 km south of Shelburne town line southerly 4.0 km,4.0,Shelburne,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Sandy Point Road: from Shelburne town line southerly,2.2,Shelburne,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Sangsters Bridge Road: from Falmouth Back Road to end,1.2,Hants,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Schoolhouse Road: from Alder Point Road to Little Pond Road,1.28,Cape Breton,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Seaview Drive: from Route 327 to end of listing,0.25,Cape Breton,Subdivision Roads (determined in coordination with Municipalities),Paving Subdivision Roads,2024-2025,2024-2025,Completed,roads
Shankel Road: from Trunk 3 easterly to Trunk 3 (loop),0.45,Halifax,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Shore Road: shoreline protection,0.0,Queens,Construction/Improvement Projects for 2025-26,Construction Local Road,2024-2025,2026-2027,Started,roads
Shulie Road: from 2.8 km south of Sand River Bridge to Sand River Bridge,2.8,Cumberland,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Shulie Road: from Sand River Bridge northerly 5.3 km,5.3,Cumberland,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Silver Road: from end of sand seal easterly to Old Annapolis Road,0.7,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Silver Road: from Route 208 northerly to end of listing,1.6,Lunenburg,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Six Mile Brook Road: from Trunk 4 to Four Mile Brook Road,5.5,Pictou,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
South Bishop Road: from Trunk 1 northerly to Highway 101,2.0,Kings,Asphalt Projects for 2026-27,Pavement Strengthening,2026-2027,2026-2027,Planned,roads
South West Margaree Road: from Route 395 northerly 2.3 km,2.3,Inverness,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Spa Springs Road: from Route 362 easterly,3.1,Annapolis,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Spa Springs Road: from Stronach Mountain Road westerly,3.1,Annapolis,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Stark Road: from end of pavement northerly to Trunk 1,1.0,Hants,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Steels Cross Road: from Kempt Head Road to Kempt Head Road,2.72,Victoria,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Stewiacke Road: from 3.4 km west of South Branch Road easterly,3.4,Colchester,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Stillman Road: from Brookland Road to Six Mile Brook Road,3.8,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
St. Mary's Road: from 3.7 km east of College Bridge easterly,5.1,Halifax,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
St. Mary's Road: from College Lake Road easterly 3.7 km,3.7,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
St. Peters Forchu Road: from 0.4 km east of Ferguson Road easterly,4.0,Richmond,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
St. Peters Forchu Road: from St. Peters Forchu Road Extension northerly to Cannes Point Road,2.0,Richmond,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Sunnyville Road: from Tompkinsville Road southertly,0.28,Guysborough,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Tancook Ferry Infrastructure Development (Multiple Year Project),0.0,Lunenburg,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2026-2027,Started,roads
Tanner Settlement Road: from Route 332 northerly to Grimm Road,2.5,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Terence Bay Road: from Route 333 southerly to Regatta Road,3.9,Halifax,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Thomas Road: from River Road to Bear River First Nations Road,1.7,Digby,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Thomson Road: from 5 km north of Wentworth-Collingwood Road to Jungle Road,6.6,Cumberland,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Thomson Road: from Jungle Road to Route 204,3.0,Cumberland,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Tobin Road: from Highway 105 easterly to town limit,1.26,Cape Breton,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Tower Road: from Irving Young Road to end of listing,0.8,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Trunk 10: from North River Road to Annapolis county line,6.2,Lunenburg,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 12: from Highway 101 southerly,6.1,Kings,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 14: from Trunk 3 to Highway 103,3.0,Lunenburg,Asphalt Projects for 2025-26,Single Lift Overlay,2025-2026,2025-2026,Completed,roads
Trunk 19: from East Street northerly to 600 metres north of Whycocomagh Port Hood Road,6.0,Inverness,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 19: from Old Deepdale Road to James Street (multiple year project),0.62,Inverness,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 1: from Middleton town line to Old Mill Road,4.2,Annapolis,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 1: from St. Croix River Bridge to Windsor town line,7.9,Hants,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2024-2025,2025-2026,Completed,roads
Trunk 28: from Daley Road easterly to Ellsworth Avenue,3.0,Cape Breton,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 2: from 300 metres east of Route 302 to 1.1 km west of South Brook Road,6.1,Cumberland,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 30: from 340 metres west of White Point Road to 1 km west of Bay St. Lawrence Road,5.4,Victoria,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2024-2025,2025-2026,Completed,roads
Trunk 3: from Evelyn Richardson Memorial Elementary School westerly,4.2,Shelburne,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 3: from Forest Village Road easterly to county line,4.3,Lunenburg,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 3: from Woods Harbour United Baptist Church northerly 2.0 km,2.0,Shelburne,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 3: from Yarmouth town line easterly to Dominique Road,3.5,Yarmouth,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 4: Antigonish Active Transportation Corridor Conversion (Multiple Year Project),0.0,Antigonish,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2025-2026,2027-2028,Started,roads
Trunk 4: from 130 metres west of Macguire Drive easterly to Garth Wilson Avenue,1.15,Cape Breton,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 4: from 3.5 km west of Exit 18A easterly to Exit 18A,3.5,Colchester,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 4: from Aspen Grove easterly to Highway 125 east bound Exit 6 off ramp,3.3,Cape Breton,Asphalt Projects for 2026-27,Single Lift Overlay,2026-2027,2026-2027,Planned,roads
Trunk 4: from Wash Plant Access Road easterly to Gardiner Road,2.2,Cape Breton,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 4: Kings Road Upgrading from Highway 125 to Weidner Drive (Multiple Year Project),1.5,Cape Breton,Construction/Improvement Projects for 2025-26,Construction Arterial/Collector,2021-2022,2025-2026,Completed,roads
Trunk 4: Reeves Street from west of MacSween Street to 160 metres west of Trunk 4A,1.3,Inverness,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 4: Turning Lane at Heather Estates and Trunk 4,0.0,Cape Breton,Construction/Improvement Projects for 2025-26,Construction Arterial/Collector,2024-2025,2025-2026,Completed,roads
Trunk 6: from Beecham Road to Shinimicas River,6.4,Cumberland,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 6: from Colchester/Pictou county line westerly,5.9,Colchester,Asphalt Projects for 2025-26,Repaving Arterial/Collectors,2025-2026,2025-2026,Completed,roads
Trunk 6: from Hedgeville Road to Meadowville Station Road,6.0,Pictou,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Trunk 7: from Gammons Road to 100 metres east of Lower Quoddy Bridge,5.3,Halifax,Asphalt Projects for 2026-27,Repaving Arterial/Collectors,2026-2027,2026-2027,Planned,roads
Union Road: from Rod MacKay Road northerly to Rockfield Road,2.18,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Upper River John Road: from 1.8 km west of Route 326 easterly to Pictou/Colchester county line (0.6 km west of Joudrey Road),3.7,Colchester,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Upper Southwest Mabou Road: from Trunk 19 to Beaton Road,4.4,Inverness,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Valley Road: from Trunk 14 northerly to Route 202,4.5,Hants,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Vault Road: from Spa Springs Road to end of maintained section,3.4,Annapolis,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Venoit Road: from the Lower Branch Road easterly to the end of pavement,2.83,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Veterans Memorial Drive: from Robins Road westerly to Bay Street,3.3,Richmond,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Victoria Road: from Brow of Mountain Road northerly,1.6,Kings,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Walkerville Road: from Whiteside Road westerly,3.19,Richmond,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Wellington Dyke Road: from Church Street to Canard Street,2.3,Kings,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Wentworth Collingwood Road: from 2.5 km east of Hunter Road to Trunk 4,3.3,Cumberland,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Wentworth Road: from 200 metres east of roundabout (Highway 101 Exit 5A) easterly to Baxter Road,1.8,Hants,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
West Bay Road: from Cedar Drive westerly,3.7,Richmond,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
West Big Intervale Road: 2.2 km west of Cranton Cross Road easterly,2.6,Inverness,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
West Big Intervale Road: from Hatchery Road southerly 6.8 km,6.8,Inverness,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
West Dalhousie Road: from 1.6 km east of Trunk 8 easterly,1.6,Annapolis,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
West Dalhousie Road: from Trunk 8 easterly,1.6,Annapolis,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
West Porters Lake Road: from Trunk 7 to Bellefontaine Road,3.8,Halifax,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
West Street: from Liverpool town line northerly to Bridge Street,2.7,Queens,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
West Tatamagouche Road: from Lake Road easterly 4.1 km,4.1,Colchester,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Whistlers Cove Road: from 450 metres East of East Dover Road easterly to end,0.5,Halifax,Asphalt Projects for 2025-26,Double Chip Resurfacing,2024-2025,2025-2026,Completed,roads
Williams Point Road: from South River Road to end of listing,3.48,Antigonish,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Wyse Road: from Highway 212 (Old Guysborough Road) easterly to Cole Road,3.4,Halifax,Asphalt Projects for 2026-27,Double Chip Resurfacing,2026-2027,2026-2027,Planned,roads
Baileys Brook Bridge: Browns Mountain Road,,Pictou,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Bass River Bridge: Trunk 2 (multiple year project),,Colchester,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2024-2025,2025-2026,Completed,bridges
Beachbrook Bridge: Route 216,,Cape Breton,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Berwick Bridge: Route 360 (multiple year project),,Kings,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2025-2026,2025-2026,Completed,bridges
Broadway Culvert: Trunk 4,,Pictou,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Campbell Meadow Bridge: Brooklyn Street,,Kings,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Campbells Brook Bridge: Keltic Drive,,Cape Breton,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Started,bridges
Catalone Lake Truss Bridge: Mira Bay Drive,,Cape Breton,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Cherryfield Bridge: Cherryfield Road,,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Christmas Pond Bridge: Route 216,,Victoria,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2025-2026,2025-2026,Completed,bridges
Creek #2 Culvert: River Road,,Digby,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
Ditmar's Brook Culvert: Trunk 1,,Annapolis,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2024-2025,2025-2026,Completed,bridges
Dixon Bridge: Granville Road,,Annapolis,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
East Brook Bridge: Trunk 2 (Multiple Year Project),,Cumberland,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Started,bridges
East Tracadie Overpass on Highway 104: East Tracadie Road (multiple year project),,Antigonish,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Planned,bridges
Edmund Lynds Bridge: Route 311 (Multiple Year Project),,Colchester,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Planned,bridges
Fire Brook Bridge: Route 325,,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2025-2026,2025-2026,Completed,bridges
Five Islands River (Bass River) Bridge: Trunk 2,,Colchester,Bridge Replacement/Rehabilitation Projects for 2026-27,Other Bridge Projects,2026-2027,2026-2027,Planned,bridges
French Chapel Truss Bridge: East Margaree Cross Road,,Inverness,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
Gates Bridge: Gates Lane (Multiple Year Project),,Digby,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2025-2026,2025-2026,Completed,bridges
Geddes Bridge: Route 309,,Shelburne,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2026-2027,2026-2027,Planned,bridges
Great Bras d'Or Crossing Bridge: Highway 105 (Seal Island) (Multiple Year Project),,Victoria,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2022-2023,2028-2029,Started,bridges
Harris Brook Bridge: Clementsvale Road,,Annapolis,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2025-2026,2025-2026,Completed,bridges
Hawbolt Bridge (Chester Stone Arch): Victoria Street,,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2024-2025,2025-2026,Completed,bridges
Horne Settlement Underpass: Highway 102 (multiple year project),,Hants,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2027-2028,Started,bridges
Horton Bridge: Highway 101 East Bound,,Kings,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2024-2024,2025-2026,Started,bridges
James River Truss Bridge: Trunk 4 (multiple year project),,Antigonish,Bridge Replacement/Rehabilitation Projects for 2025-26,Major Bridge Projects,2025-2026,2025-2026,Completed,bridges
Jewels (Lorraine) Truss Bridge: Louisbourg Main-a-Dieu Road,,Cape Breton,Bridge Rehabilitation Projects,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
LaHave Island Bridge: Crescent Beach Road,,Lunenburg,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Started,bridges
Little Meander Bridge: McKay Road (multiple year project),,Hants,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2024-2025,2025-2026,Completed,bridges
Lower Portapique Bridge: Trunk 2,,Colchester,Bridge Replacement/Rehabilitation Projects for 2025-26,Bridge Rehabilitation,2025-2026,2025-2026,Completed,bridges
McKays Bridge: Clayton McKay Road,,Hants,Bridge Replacement/Rehabilitation Projects for 2026-27,Major Bridge Projects,2025-2026,2026-2027,Started,bridges
Medway River Bridge: Medway River Road (multiple year project),,Queens,Bridge Replacement/Rehabilitation Projects for 2025-26,Other Bridge Projects,2025-2026,2025-2026,Completed,bridges
