project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Grand Mira North Road: from Grand Mira South Road at Victoria Bridge southerly,4.6,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Grand Mira North Road: from Intervale Road northerly to Intervale Road,2.7,Cape Breton,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Grand Mira South Road: from 1.4 km south of asphalt to Grand Mira Gabarus Road,4.28,Cape Breton,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Grand Mira South Road: from 2.6 km south of Campbelldale Road northerly,1.1,Cape Breton,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Grand Mira South Road: from end of asphalt 1.4 km southerly,1.4,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Gray Road: from Route 203 northerly to north Kemptville Road,3.8,Yarmouth,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Greenfield Road: from 2.0 km south of Gaspereau River Road southerly,2.0,Kings,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Greenhill Road: from Ardoise School Road to Woodville Road,4.0,Hants,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Gull Island Road: from Trunk 3 southerly to end of listing,1.2,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Gullivers Cove Road: from Route 217 northerly,3.5,Digby,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Gunn Road: from Black River Road to MacInnis Road,5.1,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Gusset Road: from Baileys Brook Ardness Road to Route 245,3.0,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Hardscrabble Road: from Main Street to Lower Cove Road,2.5,Cumberland,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Harlow Road: from Rosette Road northerly to end of listing,1.5,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Hart Road: from Route 344 to Route 344,3.25,Guysborough,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Hay Cove Road: from North Side Loch Lomond Road northerly 2.3 km,2.3,Richmond,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Hectanooga Road: from Lake Doucette Road easterly,4.0,Digby,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Heron Road: from Four Mile Brook Road to Route 376,3.96,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Hicks Road: from Gull Island Road southerly to end of listing,2.2,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Highway 101: Cambridge Interchange and Connector (multiple year project),0.0,Kings,Major Construction Projects for 2025-26,100 Series Expansion & Other Major Road Upgrades,2024-2025,2027-2028,Started,roads
Highway 101: Exit 21 Rice Road Connector,0.7,Annapolis,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 101: from Annapolis county line (including ramps at Exit 17W) to Exit 17,3.1,Kings,Asphalt Projects for 2026-27,Repaving 100 Series Highways,2026-2027,2026-2027,Planned,roads
Highway 101: from Exit 21 westerly 5.2 km,5.2,Annapolis,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
