community_mix_rank,community,classes,total_area,dominant_class,largest_class_share,mix_index
137,ECUM SECUM,1,0.0729,Rural and Resource,100.00,0.00
137,ELMSVALE,1,41.1251,Mixed Use,100.00,0.00
137,FRENCH VILLAGE,1,2.1290,Mixed Use,100.00,0.00
137,GOVERNOR LAKE,1,2.1289,Park and Open Space,100.00,0.00
137,HARTLIN SETTLEMENT,1,0.1089,Mixed Use,100.00,0.00
137,HEAD OF JEDDORE,1,15.8262,Mixed Use,100.00,0.00
137,HIGGINSVILLE,1,0.0004,Mixed Use,100.00,0.00
137,LAKE EGMONT,1,117.6747,Mixed Use,100.00,0.00
137,LISCOMB SANCTUARY,1,0.0094,Rural and Resource,100.00,0.00
137,LONG LAKE,1,0.1016,Park and Open Space,100.00,0.00
137,LOWER SHIP HARBOUR,1,23.8900,Mixed Use,100.00,0.00
137,LOWER THREE FATHOM HARBOUR,1,0.0012,Rural and Resource,100.00,0.00
137,MALAY FALLS,1,148.2407,Rural and Resource,100.00,0.00
137,MARINETTE,1,0.0936,Rural and Resource,100.00,0.00
137,MCNABS ISLAND,1,2.6952,Park and Open Space,100.00,0.00
137,MIDDLE PORTERS LAKE,1,0.1458,Rural and Resource,100.00,0.00
137,MOOSE RIVER GOLD MINES,1,0.0276,Park and Open Space,100.00,0.00
137,MOOSELAND,1,0.0421,Rural and Resource,100.00,0.00
137,MYERS POINT,1,1.4989,Mixed Use,100.00,0.00
137,NECUM TEUCH,1,2.6035,Rural and Resource,100.00,0.00
137,NEWCOMB CORNER,1,2.1729,Mixed Use,100.00,0.00
137,OWLS HEAD,1,2.0898,Mixed Use,100.00,0.00
137,OYSTER POND,1,0.3725,Mixed Use,100.00,0.00
137,PACE SETTLEMENT,1,0.2324,Rural and Resource,100.00,0.00
137,PEGGYS COVE,1,0.3425,Park and Open Space,100.00,0.00
137,PEGGYS COVE PRESERVATION AREA,1,5.4836,Park and Open Space,100.00,0.00
137,PLEASANT POINT,1,0.8462,Mixed Use,100.00,0.00
137,PLEASANT VALLEY,1,1.5462,Mixed Use,100.00,0.00
137,SEAFORTH,1,2.2033,Rural and Resource,100.00,0.00
137,SMITHS SETTLEMENT,1,0.0040,Mixed Use,100.00,0.00
137,SPRY HARBOUR,1,0.3559,Rural and Resource,100.00,0.00
137,TEN MILE LAKE,1,346.2260,Mixed Use,100.00,0.00
137,TRAFALGAR,1,16.7486,Mixed Use,100.00,0.00
137,UPPER LAKEVILLE,1,0.1761,Mixed Use,100.00,0.00
137,WEST QUODDY,1,0.0019,Rural and Resource,100.00,0.00
