zone_class,polygons,area,area_share
Mixed Use,1057,1461.9596,40.20
Rural and Resource,1609,1338.8184,36.82
Park and Open Space,1825,539.7231,14.84
Residential,4938,164.6589,4.53
Other,538,70.3634,1.93
Industrial,355,47.5368,1.31
Institutional,324,7.9021,0.22
Commercial,429,5.6293,0.15
Unspecified,1,0.0174,0.00
