community,zone_class,polygons,area,area_share
UPPER SACKVILLE,Commercial,1,0.0015,0.01
UPPER SACKVILLE,Industrial,1,0.0243,0.21
UPPER SACKVILLE,Mixed Use,14,4.7322,41.36
UPPER SACKVILLE,Other,2,0.8240,7.20
UPPER SACKVILLE,Park and Open Space,1,0.0250,0.22
UPPER SACKVILLE,Residential,10,1.4839,12.97
UPPER SACKVILLE,Rural and Resource,15,4.3508,38.03
UPPER TANTALLON,Mixed Use,9,5.9273,44.11
UPPER TANTALLON,Other,15,0.6006,4.47
UPPER TANTALLON,Park and Open Space,1,0.8271,6.15
UPPER TANTALLON,Residential,57,5.9398,44.20
UPPER TANTALLON,Rural and Resource,3,0.1435,1.07
Unassigned,Other,2,0.0000,0.00
Unassigned,Residential,4,0.0000,0.00
Unassigned,Rural and Resource,1,0.0000,100.00
WAVERLEY,Commercial,17,0.2573,1.14
WAVERLEY,Industrial,7,4.3002,19.05
WAVERLEY,Institutional,3,0.4831,2.14
WAVERLEY,Other,5,0.9509,4.21
WAVERLEY,Park and Open Space,22,1.2397,5.49
WAVERLEY,Residential,60,7.2258,32.02
WAVERLEY,Rural and Resource,21,8.1117,35.94
WELLINGTON,Commercial,9,0.0258,0.09
WELLINGTON,Industrial,4,0.0452,0.16
WELLINGTON,Institutional,5,0.0579,0.21
WELLINGTON,Residential,17,0.5675,2.06
WELLINGTON,Rural and Resource,37,26.8056,97.47
WEST CHEZZETCOOK,Residential,2,0.4313,5.02
WEST CHEZZETCOOK,Rural and Resource,26,8.1675,94.98
WEST DOVER,Commercial,4,0.0175,0.42
WEST DOVER,Industrial,2,0.0062,0.15
WEST DOVER,Other,4,0.0337,0.81
WEST DOVER,Park and Open Space,36,0.9037,21.83
WEST DOVER,Residential,3,0.3867,9.34
WEST DOVER,Rural and Resource,18,2.7915,67.44
WEST JEDDORE,Mixed Use,3,6.6837,53.80
WEST JEDDORE,Rural and Resource,5,5.7396,46.20
WEST PENNANT,Park and Open Space,21,0.3123,9.78
WEST PENNANT,Rural and Resource,15,2.8801,90.22
WEST PETPESWICK,Mixed Use,4,6.1307,85.24
WEST PETPESWICK,Rural and Resource,9,1.0616,14.76
WEST PORTERS LAKE,Park and Open Space,6,0.5542,34.32
WEST PORTERS LAKE,Residential,6,0.2397,14.84
WEST PORTERS LAKE,Rural and Resource,21,0.8208,50.83
WEST QUODDY,Rural and Resource,1,0.0019,100.00
WESTPHAL,Commercial,20,0.2947,5.51
WESTPHAL,Industrial,4,0.1076,2.01
WESTPHAL,Institutional,10,0.2797,5.23
WESTPHAL,Mixed Use,1,0.1765,3.30
WESTPHAL,Other,6,1.6323,30.50
WESTPHAL,Park and Open Space,9,0.0441,0.82
WESTPHAL,Residential,111,2.4301,45.40
WESTPHAL,Rural and Resource,6,0.3873,7.24
WHITES LAKE,Commercial,7,0.0141,0.12
WHITES LAKE,Industrial,3,0.0492,0.43
WHITES LAKE,Institutional,2,0.0567,0.50
WHITES LAKE,Other,4,0.0094,0.08
WHITES LAKE,Park and Open Space,6,2.3044,20.23
WHITES LAKE,Residential,23,7.2788,63.89
WHITES LAKE,Rural and Resource,1,1.6798,14.74
WILLIAMSWOOD,Institutional,1,0.0174,0.14
WILLIAMSWOOD,Other,1,0.0210,0.16
WILLIAMSWOOD,Park and Open Space,11,4.5352,35.53
WILLIAMSWOOD,Residential,23,4.9637,38.89
WILLIAMSWOOD,Rural and Resource,8,3.2276,25.28
WINDSOR JUNCTION,Commercial,4,0.0166,0.37
WINDSOR JUNCTION,Industrial,5,0.1845,4.09
WINDSOR JUNCTION,Institutional,1,0.0029,0.06
WINDSOR JUNCTION,Other,1,0.0041,0.09
WINDSOR JUNCTION,Park and Open Space,1,0.0145,0.32
WINDSOR JUNCTION,Residential,30,2.9647,65.79
WINDSOR JUNCTION,Rural and Resource,28,1.3191,29.27
WYSES CORNER,Mixed Use,1,52.3256,87.83
WYSES CORNER,Park and Open Space,3,7.2490,12.17
