community,community_total_licenses,community_rank,license_type,type_count,type_share_pct,is_dominant_type
Truro,67,4,Special Premises,10,14.9,0
Truro,67,4,Club,7,10.4,0
Truro,67,4,Beverage Room,2,3.0,0
Bedford,64,5,Eating Establishment,43,67.2,1
Bedford,64,5,Special Premises,10,15.6,0
Bedford,64,5,Lounge,8,12.5,0
Bedford,64,5,Club,2,3.1,0
Bedford,64,5,Cabaret,1,1.6,0
Yarmouth,41,6,Eating Establishment,19,46.3,1
Yarmouth,41,6,Special Premises,9,22.0,0
Yarmouth,41,6,Lounge,8,19.5,0
Yarmouth,41,6,Club,5,12.2,0
New Glasgow,40,7,Eating Establishment,16,40.0,1
New Glasgow,40,7,Lounge,9,22.5,0
New Glasgow,40,7,Special Premises,8,20.0,0
New Glasgow,40,7,Club,6,15.0,0
New Glasgow,40,7,Beverage Room,1,2.5,0
Wolfville,38,8,Eating Establishment,14,36.8,1
Wolfville,38,8,Special Premises,11,28.9,0
Wolfville,38,8,Lounge,9,23.7,0
Wolfville,38,8,Club,4,10.5,0
Antigonish,36,9,Eating Establishment,16,44.4,1
Antigonish,36,9,Special Premises,9,25.0,0
Antigonish,36,9,Club,5,13.9,0
Antigonish,36,9,Lounge,5,13.9,0
Antigonish,36,9,Cabaret,1,2.8,0
Bridgewater,36,9,Eating Establishment,18,50.0,1
Bridgewater,36,9,Special Premises,9,25.0,0
Bridgewater,36,9,Lounge,6,16.7,0
Bridgewater,36,9,Club,2,5.6,0
Bridgewater,36,9,Cabaret,1,2.8,0
Lower Sackville,34,10,Eating Establishment,19,55.9,1
Lower Sackville,34,10,Club,6,17.6,0
Lower Sackville,34,10,Lounge,5,14.7,0
Lower Sackville,34,10,Special Premises,3,8.8,0
Lower Sackville,34,10,Beverage Room,1,2.9,0
Lunenburg,34,10,Eating Establishment,20,58.8,1
Lunenburg,34,10,Lounge,5,14.7,0
Lunenburg,34,10,Special Premises,5,14.7,0
Lunenburg,34,10,Club,4,11.8,0
Amherst,31,11,Eating Establishment,11,35.5,1
Amherst,31,11,Club,8,25.8,0
Amherst,31,11,Lounge,7,22.6,0
Amherst,31,11,Special Premises,4,12.9,0
Amherst,31,11,Beverage Room,1,3.2,0
Baddeck,27,12,Eating Establishment,15,55.6,1
Baddeck,27,12,Special Premises,10,37.0,0
Baddeck,27,12,Club,2,7.4,0
Windsor,27,12,Eating Establishment,13,48.1,1
Windsor,27,12,Lounge,7,25.9,0
Windsor,27,12,Special Premises,4,14.8,0
Windsor,27,12,Club,2,7.4,0
Windsor,27,12,Beverage Room,1,3.7,0
Digby,26,13,Eating Establishment,15,57.7,1
Digby,26,13,Lounge,5,19.2,0
Digby,26,13,Special Premises,4,15.4,0
Digby,26,13,Club,2,7.7,0
Glace Bay,24,14,Club,10,41.7,1
Glace Bay,24,14,Eating Establishment,7,29.2,0
Glace Bay,24,14,Lounge,4,16.7,0
Glace Bay,24,14,Special Premises,3,12.5,0
Liverpool,23,15,Eating Establishment,8,34.8,1
Liverpool,23,15,Lounge,6,26.1,0
Liverpool,23,15,Special Premises,6,26.1,0
Liverpool,23,15,Club,3,13.0,0
North Sydney,23,15,Eating Establishment,7,30.4,1
North Sydney,23,15,Special Premises,7,30.4,0
North Sydney,23,15,Club,5,21.7,0
North Sydney,23,15,Lounge,3,13.0,0
North Sydney,23,15,Cabaret,1,4.3,0
Inverness,21,16,Eating Establishment,8,38.1,1
Inverness,21,16,Lounge,6,28.6,0
Inverness,21,16,Special Premises,5,23.8,0
Inverness,21,16,Club,2,9.5,0
Annapolis Royal,20,17,Eating Establishment,9,45.0,1
Annapolis Royal,20,17,Special Premises,6,30.0,0
Annapolis Royal,20,17,Beverage Room,2,10.0,0
Annapolis Royal,20,17,Club,2,10.0,0
Annapolis Royal,20,17,Lounge,1,5.0,0
New Minas,20,17,Eating Establishment,13,65.0,1
New Minas,20,17,Lounge,4,20.0,0
New Minas,20,17,Special Premises,2,10.0,0
New Minas,20,17,Club,1,5.0,0
Chester,19,18,Eating Establishment,8,42.1,1
Chester,19,18,Club,4,21.1,0
Chester,19,18,Special Premises,3,15.8,0
Chester,19,18,Lounge,2,10.5,0
Chester,19,18,Beverage Room,1,5.3,0
Chester,19,18,Permanent Special Occasion,1,5.3,0
Pictou,18,19,Eating Establishment,7,38.9,1
Pictou,18,19,Club,5,27.8,0
Pictou,18,19,Lounge,4,22.2,0
Pictou,18,19,Special Premises,2,11.1,0
Shelburne,17,20,Eating Establishment,8,47.1,1
Shelburne,17,20,Club,4,23.5,0
Shelburne,17,20,Lounge,3,17.6,0
Shelburne,17,20,Special Premises,2,11.8,0
Kentville,16,21,Eating Establishment,5,31.3,1
Kentville,16,21,Club,4,25.0,0
Kentville,16,21,Special Premises,4,25.0,0
Kentville,16,21,Lounge,3,18.8,0
Port Hawkesbury,16,21,Eating Establishment,6,37.5,1
Port Hawkesbury,16,21,Lounge,5,31.3,0
Port Hawkesbury,16,21,Club,3,18.8,0
Port Hawkesbury,16,21,Special Premises,2,12.5,0
Enfield,15,22,Special Premises,6,40.0,1
Enfield,15,22,Eating Establishment,4,26.7,0
Enfield,15,22,Lounge,3,20.0,0
Enfield,15,22,Club,2,13.3,0
Cheticamp,14,23,Eating Establishment,7,50.0,1
Cheticamp,14,23,Club,4,28.6,0
Cheticamp,14,23,Lounge,3,21.4,0
Stellarton,13,24,Club,4,30.8,1
Stellarton,13,24,Eating Establishment,4,30.8,0
Stellarton,13,24,Special Premises,3,23.1,0
Stellarton,13,24,Lounge,2,15.4,0
Tatamagouche,13,24,Eating Establishment,6,46.2,1
Tatamagouche,13,24,Special Premises,4,30.8,0
Tatamagouche,13,24,Cabaret,1,7.7,0
Tatamagouche,13,24,Club,1,7.7,0
Tatamagouche,13,24,Lounge,1,7.7,0
Mahone Bay,12,25,Eating Establishment,9,75.0,1
Mahone Bay,12,25,Club,1,8.3,0
Mahone Bay,12,25,Lounge,1,8.3,0
Mahone Bay,12,25,Special Premises,1,8.3,0
Parrsboro,11,26,Club,3,27.3,1
Parrsboro,11,26,Eating Establishment,3,27.3,0
Parrsboro,11,26,Lounge,2,18.2,0
Parrsboro,11,26,Special Premises,2,18.2,0
Parrsboro,11,26,Beverage Room,1,9.1,0
Bible Hill,10,27,Eating Establishment,4,40.0,1
Bible Hill,10,27,Lounge,3,30.0,0
Bible Hill,10,27,Club,2,20.0,0
Bible Hill,10,27,Special Premises,1,10.0,0
Canning,10,27,Special Premises,4,40.0,1
Canning,10,27,Eating Establishment,3,30.0,0
