figure,category,count,share_pct
total,,90,100.0
top_category,ASSAULT,38,42.2
category,ASSAULT,38,42.2
category,BREAK AND ENTER,10,11.1
category,THEFT FROM VEHICLE,36,40.0
category,THEFT OF VEHICLE,6,6.7
