species_rank,species_common,species_scientific,tree_count,share_of_all_pct
128,Northern Pin Oak,Quercus ellipsoidalis,28,0.04
129,Bigtooth Maple,Acer grandidentatum,27,0.03
130,Butternut,Juglans cinerea,27,0.03
131,Russian Olive,Elaeagnus angustifolia,26,0.03
132,Witch Hazel,Hamamelis virginiana,26,0.03
133,Alder Buckthorn,Frangula alnus,24,0.03
134,Japanese Persimmon,Diospyros virginiana,24,0.03
135,Downy Serviceberry,Amelanchier arborea,23,0.03
136,Eastern Cottonwood,Populus deltoides,23,0.03
137,Nootka Cypress,Chamaecyparis nootkatensis,22,0.03
138,Shingle Oak,Quercus imbricaria,21,0.03
139,Dogwood,Cornus (genus),20,0.03
140,Striped Maple,Acer pensylvanicum,20,0.03
141,Common Ninebark,Physocarpus opulifolius,19,0.02
142,Fir,Abies (genus),19,0.02
143,Black Birch,Betula lenta,18,0.02
144,Hickory,Carya (genus),18,0.02
145,Overcup Oak,Quercus lyrata,18,0.02
146,Privet,Ligustrum (genus),18,0.02
147,Leatherleaf viburnum,Viburnum rhytidophyllum,17,0.02
148,Eastern Serviceberry,Amelanchier canadensis,16,0.02
149,Spotted Oak,Quercus shumardii,16,0.02
150,Star Magnolia,Magnolia stellata,15,0.02
151,Black Ash,Fraxinus nigra,14,0.02
152,Jack Pine,Pinus banksiana,14,0.02
153,Mountain Ash,Sorbus (genus),14,0.02
154,Amur Chokecherry,Prunus maackii,13,0.02
155,Bitternut Hickory,Carya cordiformis,13,0.02
156,Bristly Locust,Robinia hispida,13,0.02
157,European Larch,Larix decidua,13,0.02
158,Morden Hawthorn,Crataegus mordenensis,13,0.02
159,Siberian Crabapple,Malus baccata,13,0.02
160,White Fir,Abies concolor,13,0.02
161,American Mountain Ash,Sorbus americana,12,0.02
162,Red Alder,Alnus rubra,12,0.02
163,Red Osier Dogwood,Cornus sericea,12,0.02
164,Cedar Elm,Ulmus crassifolia,11,0.01
165,Corkscrew Willow,Salix matsudana,11,0.01
166,Oakleaf Mountain Ash,Sorbus thuringiaca,10,0.01
167,Saucer Magnolia,Magnolia soulangeana,10,0.01
168,White Hickory,Carya tomentosa,10,0.01
169,Chinese Elm,Ulmus parvifolia,9,0.01
170,Japanese Angelica,Aralia elata,9,0.01
171,Cedar of Lebanon,Cedrus libani,8,0.01
172,Holly,Ilex (genus),8,0.01
173,Slippery Elm,Ulmus rubra,8,0.01
174,Blue Ash,Fraxinus quadrangulata,7,0.01
175,English Walnut,Juglans regia,7,0.01
176,Honeysuckle,Lonicera (genus),7,0.01
177,Japanese spindle,Euonymus japonicus,7,0.01
178,Oregon ash,Fraxinus latifolia,7,0.01
179,Black Willow,Salix nigra,6,0.01
180,Common Hawthorn,Crataegus monogyna,6,0.01
181,Red Elderberry,Sambucus racemosa,6,0.01
182,Rhododendron,Rhododendron (genus),6,0.01
183,Southern Catalpa,Catalpa bignonioides,6,0.01
184,Spirea,Spiraea (genus),6,0.01
185,Weigela,Weigela (genus),6,0.01
186,American Chestnut,Castanea dentata,5,0.01
187,Cucumber Tree,Magnolia acuminata,5,0.01
188,Poplar,Populus (genus),5,0.01
189,Quince Tree,Cydonia oblonga,5,0.01
190,Golden Chain Tree,Laburnum x watereri,4,0.01
191,Guelder-rose,Viburnum opulus,4,0.01
192,Japanese Hornbeam,Carpinus japonica,4,0.01
193,Pawpaw,Asimina triloba,4,0.01
194,Pitch Pine,Pinus rigida,4,0.01
195,Siberian Peashrub,Caragana arborescens,4,0.01
196,Swiss Pine,Pinus cembra,4,0.01
197,Yellow Bird Magnolia,Magnolia x brooklynensis,4,0.01
198,American Holly,Ilex opaca,3,0.00
199,Bigleaf Maple,Acer macrophyllum,3,0.00
200,Devil's Walking Stick,Aralia spinosa,3,0.00
