"facility_name","address","town","postal_code","facility_type","nursing_homes_nh_no_of_beds","nursing_homes_nh_no_of_respite_beds","residential_care_facilities_rcf_no_of_beds","rcf_respite_beds","single_entry_access_sea_participating","x_coordinate","y_coordinate","location","zone","the_geom","facility_id"
"Evergreen Home for Special Care","655 Park Street","Kentville","B4N 3V7","Nursing Home","116.0","3.0","0.0","0.0","Y","-64.540058","45.076292","
,  
(45.076292, -64.540058)","Western","POINT (378780.9704999998 4992578.247199999)","EHSC"
"Elk Court","91 Carter Road","Brookfield","B0N 1C0","Nursing Home","35.0","1.0","0.0","0.0","Y","-63.277128","45.257989","
,  
(45.257989, -63.277128)","Northern","POINT (478256.14969999995 5011646.2226)","EKCT"
"Fishermen's Memorial Hospital","14 High Street","Lunenburg","B0J 2C0","Nursing Home","16.0","0.0","0.0","0.0","Y","-64.326952","44.382276","
,  
(44.382276, -64.326952)","Western","POINT (394297.9628999997 4915188.002599999)","FMVM"
"Foyer Celeste","8064 Highway 1","Meteghan","B0W 2J0","Residential Care Facility","0.0","0.0","19.0","0.0","Y","-66.169521","44.183646","
,  
(44.183646, -66.169521)","Western","POINT (246667.61610000022 4897155.4542)","FYCL"
"Foyer Pére Fiset","15092 Cabot Trail","Cheticamp","B0E 1H0","Nursing Home and Residential Care Facility","60.0","1.0","10.0","0.0","Y","-61.015741","46.623439","
,  
(46.623439, -61.015741)","Eastern","POINT (651909.0025000004 5165230.7732)","FYPF"
"Glace Bay Health Care Facility","300 South Street","Glace Bay","B1A 1W5","Nursing Home","18.0","0.0","0.0","0.0","Y","-59.938573","46.183212","
,  
(46.183212, -59.938573)","Eastern","POINT (736264.9929 5118959.5013999995)","GBHC"
"Gables Lodge","260 Church Street","Amherst","B4H 3C9","Nursing Home","96.0","1.0","0.0","0.0","Y","-64.189519","45.824933","
,  
(45.824933, -64.189519)","Northern","POINT (407602.9595999997 5075283.3221)","GBLG"
"Glen Haven Manor","739 East River Road","New Glasgow","B2H 5E9","Nursing Home","199.0","1.0","0.0","0.0","Y","-62.643936","45.574935","
,  
(45.574935, -62.643936)","Northern","POINT (527780.9223999996 5046882.5517)","GHVM"
"Grace Haven","9791 Highway 1","Paradise","B0S 1C0","Residential Care Facility","0.0","0.0","20.0","0.0","Y","-65.24009","44.859623","
,  
(44.859623, -65.24009)","Western","POINT (323015.57349999994 4969796.9607)","GRHV"
"Grand View Manor Continuing Care Community","110 B Commercial Street","Berwick","B0P 1E0","Nursing Home","142.0","0.0","0.0","0.0","Y","-64.728171","45.036005","
,  
(45.036005, -64.728171)","Western","POINT (363878.8809000002 4988402.248400001)","GVMC"
"Mayflower Meadows","89 Payzant Drive","Windsor","B0N 2T0","Nursing Home","31.0","1.0","0.0","0.0","Y","-64.120374","44.986384","
,  
(44.986384, -64.120374)","Central","POINT (411676.31159999967 4982047.2081)","HBPL"
"Harbour View Haven","25 Blockhouse Hill Road","Lunenburg","B0J 2C0","Nursing Home","143.0","1.0","0.0","0.0","Y","-64.302473","44.377074","
,  
(44.377074, -64.302473)","Western","POINT (396238.8026999999 4914578.8836)","HBVH"
"High-Crest New Glasgow","253 Forbes Street","New Glasgow","B2H 4P5","Residential Care Facility","0.0","0.0","29.0","0.0","Y","-62.641853","45.58563","
,  
(45.58563, -62.641853)","Northern","POINT (527938.1801000005 5048071.1415)","HCNG"
"High-Crest Place","222 Provost Street","New Glasgow","B2H 2R3","Residential Care Facility","0.0","0.0","27.0","0.0","Y","-62.645145","45.585717","
,  
(45.585717, -62.645145)","Northern","POINT (527681.5278000003 5048079.9999)","HCPL"
"Highland Crest Residential Care Facility","44 Hillcrest Street","Antigonish","B2G 1Z3","Residential Care Facility","0.0","0.0","35.0","0.0","Y","-61.990472","45.617684","
,  
(45.617684, -61.990472)","Eastern","POINT (578706.6053999998 5052065.9651)","HCRC"
"High-Crest Sherbrooke","53 Court Street Unit 1","Sherbrooke","B0J 3C0","Nursing Home","39.0","0.0","0.0","0.0","Y","-61.981123","45.140878","
,  
(45.140878, -61.981123)","Eastern","POINT (580105.8276000004 4999104.1007)","HCSB"
"High-Crest Springhill","11 Sproule Street","Springhill","B0M 1X0","Nursing Home","75.0","1.0","0.0","0.0","Y","-64.049336","45.649513","
,  
(45.649513, -64.049336)","Northern","POINT (418235.85929999966 5055641.4531)","HCSH"
"Highland Manor","175 New Haven Road","Neil's Harbour","B0C 1N0","Nursing Home","19.0","0.0","0.0","0.0","Y","-60.322165","46.810967","
,  
(46.810967, -60.322165)","Eastern","POINT (704295.8844999997 5187639.290200001)","HLMN"
"Hillsview Acres","14 Middlefield Road","Middlefield","B0T 1E0","Residential Care Facility","0.0","0.0","29.0","0.0","Y","-64.863724","44.209164","
,  
(44.209164, -64.863724)","Western","POINT (351102.5592 4896792.193499999)","HLVA"
"Heart of the Valley Long Term Care Centre","89 North Street","Middleton","B0S 1P0","Nursing Home","49.0","1.0","0.0","0.0","Y","-65.066728","44.950569","
,  
(44.950569, -65.066728)","Western","POINT (336969.93680000026 4979536.367000001)","HOTV"
"Hillside Pines Home For Special Care","77 Exhibition Drive","Bridgewater","B4V 3K6","Nursing Home","50.0","0.0","0.0","0.0","Y","-64.520648","44.368871","
,  
(44.368871, -64.520648)","Western","POINT (378840.7120000003 4913967.7136)","HPSC"
"Harbourstone Enhanced Care","84 Kenwood Drive","Sydney River","B1S 3V7","Nursing Home","270.0","2.0","0.0","0.0","Y","-60.213818","46.10704","
,  
(46.10704, -60.213818)","Eastern","POINT (715320.9166000001 5109713.1985)","HSEC"
"Harbour View Facility","22 Richard Street","Sydney Mines","B1V 2H7","Nursing Home","28.0","0.0","0.0","0.0","Y","-60.222207","46.234744","
,  
(46.234744, -60.222207)","Eastern","POINT (714175.6906000003 5123879.7018)","HVHP"
"Harbourview Lodge Continuing Care Centre","22651 Highway 7","Sheet Harbour","B0J 3B0","Nursing Home","32.0","0.0","0.0","0.0","Y","-62.531867","44.920995","
,  
(44.920995, -62.531867)","Central","POINT (536946.6908999998 4974279.885199999)","HVLG"
"Inverary Manor","72 Maple Street","Inverness","B0E 1N0","Nursing Home","71.0","0.0","0.0","0.0","Y","-61.303994","46.226151","
,  
(46.226151, -61.303994)","Eastern","POINT (630788.5558000002 5120571.7948)","INVM"
"Ivy Meadows Continuing Care Centre","125 Knowles Crescent","Beaverbank","B4G 1E7","Nursing Home","36.0","0.0","0.0","0.0","Y","-63.710915","44.902329","
,  
(44.902329, -63.710915)","Central","POINT (443873.7856999999 4972345.585000001)","IVMC"
"Ivey's Terrace Nursing Home","11 Centennial Drive","Trenton","B0K 1X0","Nursing Home","36.0","0.0","0.0","0.0","Y","-62.631414","45.623116","
,  
(45.623116, -62.631414)","Northern","POINT (528733.4435 5052239.3793)","IVTR"
"Kiknu","390 Castle Bay Road","Eskasoni 3","B1T 1J8","Nursing Home","48.0","0.0","0.0","0.0","Y","-60.662674","45.919041","
,  
(45.919041, -60.662674)","Eastern","POINT (681246.6617999999 5087708.1459)","KKNU"
"Karlaine Place","104 Pictou Road","Bible Hill","B2N 2S3","Residential Care Facility","0.0","0.0","8.0","0.0","Y","-63.259793","45.375542","
,  
(45.375542, -63.259793)","Northern","POINT (479658.2934999997 5024701.6237)","KLPL"
"London Hall","694 Broad Street","Bedford","B4B 2E3","Nursing Home","20.0","0.0","0.0","0.0","Y","-63.707285","44.707766","
,  
(44.707766, -63.707285)","Central","POINT (443972.46889999975 4950730.438999999)","LDNH"
"Lohnes Rest Homes","97 Lakeview Drive","Barss Corner","B0R 1A0","Residential Care Facility","0.0","0.0","8.0","0.0","Y","-64.644259","44.584283","
,  
(44.584283, -64.644259)","Western","POINT (369473.08050000016 4938084.8412999995)","LNRH"
"Mary's Abide-A-While Home","188 Water Street","Shelburne","B0T 1W0","Residential Care Facility","0.0","0.0","14.0","0.0","Y","-65.324707","43.765688","
,  
(43.765688, -65.324707)","Western","POINT (312884.5148 4848474.0975)","MAAW"
"Mahone Bay Nursing Home","198 Main Street","Mahone Bay","B0J 2E0","Nursing Home","95.0","1.0","0.0","0.0","Y","-64.395441","44.448524","
,  
(44.448524, -64.395441)","Western","POINT (388967.6372999996 4922637.3926)","MBNH"
"My Cape Breton Home for Seniors (North Sydney)","77 Campbell Street","North Sydney","B2A 2C8","Residential Care Facility","0.0","0.0","16.0","0.0","Y","-60.269414","46.204772","
,  
(46.204772, -60.269414)","Eastern","POINT (710650.8273999998 5120423.414999999)","MCBN"
"My Cape Breton Home for Seniors (Sydney)","137 Riverdale Drive","Westmount","B1R 0A9","Residential Care Facility","0.0","0.0","16.0","0.0","Y","-60.221439","46.118362","
,  
(46.118362, -60.221439)","Eastern","POINT (714687.8158999998 5110950.487)","MCBS"
