"facility_name","address","town","postal_code","facility_type","nursing_homes_nh_no_of_beds","nursing_homes_nh_no_of_respite_beds","residential_care_facilities_rcf_no_of_beds","rcf_respite_beds","single_entry_access_sea_participating","x_coordinate","y_coordinate","location","zone","the_geom","facility_id"
"Rosecrest - The Meadows","321 Cobequid Road","Lower Sackville","B4C 4E6","Nursing Home","144.0","0.0","0.0","0.0","Y","-63.653411","44.760877","
,  
(44.760877, -63.653411)","Central","POINT (448287.09329999983 4956594.254799999)","RCTM"
"Rosedale Home for Special Care","4927 Highway 10","New Germany","B0R 1E0","Nursing Home","39.0","0.0","0.0","0.0","Y","-64.711159","44.537211","
,  
(44.537211, -64.711159)","Western","POINT (364052.59470000025 4932965.520300001)","RDSC"
"RK MacDonald Nursing Home","64 Pleasant Street","Antigonish","B2G 1W7","Nursing Home","136.0","1.0","0.0","0.0","Y","-61.991333","45.625248","
,  
(45.625248, -61.991333)","Eastern","POINT (578628.6754999999 5052905.0263)","RKMD"
"Richmond Villa","9361 Pepperall Street","St Peters","B0E 3B0","Nursing Home and Residential Care Facility","59.0","1.0","8.0","0.0","Y","-60.874942","45.658967","
,  
(45.658967, -60.874942)","Eastern","POINT (665555.0756999999 5058353.1631000005)","RMVL"
"Roseway Manor","1604 Lake Road","Shelburne","B0T 1W0","Nursing Home","66.0","0.0","0.0","0.0","Y","-65.308961","43.748765","
,  
(43.748765, -65.308961)","Western","POINT (314099.4944000002 4846559.374)","RWMN"
"Ryan Hall","313 Hollingsworth Drive","Bridgewater","B4V 0A3","Nursing Home","65.0","0.0","0.0","0.0","Y","-64.505536","44.38355","
,  
(44.38355, -64.505536)","Western","POINT (380075.03029999975 4915575.9528)","RYHL"
"Seabright Resthome","11625 Peggy's Cove Road","Seabright","B3Z 2Y1","Residential Care Facility","0.0","0.0","6.0","0.0","Y","-63.926127","44.623165","
,  
(44.623165, -63.926127)","Central","POINT (426529.9436999997 4941505.84)","SBRH"
"South Cumberland Community Care Centre","50 Jenks Avenue","Parrsboro","B0M 1S0","Nursing Home","14.0","0.0","0.0","0.0","Y","-64.325939","45.409087","
,  
(45.409087, -64.325939)","Northern","POINT (396242.05140000023 5029250.318299999)","SCCC"
"Saunders Rest Home","9 Freeman Street","Bridgetown","B0S 1C0","Residential Care Facility","0.0","0.0","8.0","0.0","Y","-65.288853","44.840857","
,  
(44.840857, -65.288853)","Western","POINT (319104.20380000025 4967818.910700001)","SDRH"
"Shoreham Village Senior Citizens Association","50 Shoreham Village Crescent","Chester","B0J 1J0","Nursing Home","89.0","1.0","0.0","0.0","Y","-64.232205","44.544859","
,  
(44.544859, -64.232205)","Western","POINT (402117.45019999985 4933129.599099999)","SHVL"
"Surf Lodge Community Continuing Care Centre","73 Howe Street","Lockeport","B0T 1L0","Nursing Home","36.0","0.0","0.0","0.0","Y","-65.117478","43.701573","
,  
(43.701573, -65.117478)","Western","POINT (329382.37710000016 4840905.4991)","SLCC"
"Serenity Lodge Home Care","39 Russell McKeen Drive","Enfield","B2T 1A7","Residential Care Facility","0.0","0.0","6.0","0.0","Y","-63.53506","44.950874","
,  
(44.950874, -63.53506)","Northern","POINT (457792.98340000026 4977631.7936)","SLHC"
"St. Anne Community and Nursing Care Centre","2313 Highway 206","Arichat","B0E 1A0","Nursing Home","29.0","0.0","0.0","0.0","Y","-61.031911","45.511042","
,  
(45.511042, -61.031911)","Eastern","POINT (653729.7200999996 5041605.647299999)","STAC"
"Shiretown Nursing Home","280 Haliburton Road","Pictou","B0K 1H0","Nursing Home","53.0","0.0","0.0","0.0","Y","-62.729005","45.677669","
,  
(45.677669, -62.729005)","Northern","POINT (521105.0694000004 5058270.422)","STNH"
"Saint Vincent's Nursing Home","2080 Windsor Street","Halifax","B3K 5B2","Nursing Home","146.0","0.0","0.0","0.0","Y","-63.594191","44.647916","
,  
(44.647916, -63.594191)","Central","POINT (452882.7249999996 4944010.653000001)","STVC"
"Soldiers Memorial Hospital","462 Main Street","Middleton","B0S 1P0","Nursing Home","21.0","0.0","0.0","0.0","Y","-65.059339","44.946734","
,  
(44.946734, -65.059339)","Western","POINT (337541.9852 4979095.6274)","SVMB"
"Seaview Manor","275 South Street","Glace Bay","B1A 1W6","Nursing Home","113.0","0.0","0.0","0.0","Y","-59.936439","46.18449","
,  
(46.18449, -59.936439)","Eastern","POINT (736424.1171000004 5119107.846899999)","SVMN"
"Sagewood Continuing Care Centre","345 Cobequid Road","Lower Sackville","B4C 4E6","Nursing Home","50.0","0.0","0.0","0.0","Y","-63.652014","44.761403","
,  
(44.761403, -63.652014)","Central","POINT (448398.3178000003 4956651.351399999)","SWCC"
"Tibbetts Home for Special Care (Wilmot)","15074 Highway 1","Kingston","B0P 1R0","Residential Care Facility","0.0","0.0","25.0","0.0","Y","-64.969062","44.977041","
,  
(44.977041, -64.969062)","Western","POINT (344745.73450000025 4982284.942500001)","THSC"
"Taigh Solas","520 Purves Street","North Sydney","B2A 1E3","Nursing Home","22.0","0.0","0.0","0.0","Y","-60.235551","46.218208","
,  
(46.218208, -60.235551)","Eastern","POINT (713211.0603999998 5122005.829500001)","THSL"
"Taigh Na Mara","974 Main Street","Glace Bay","B1A 4Z8","Nursing Home","67.0","0.0","0.0","0.0","Y","-59.977687","46.19945","
,  
(46.19945, -59.977687)","Eastern","POINT (733177.7577 5120647.648700001)","TNMA"
"Townview Estates","310 Abenaki Road","Millbrook 27","B2N 6Y7","Residential Care Facility","0.0","0.0","51.0","0.0","Y","-63.301364","45.337793","
,  
(45.337793, -63.301364)","Northern","POINT (476387.64439999964 5020519.604900001)","TVET"
"Tidal View Manor (The Meadows)","339 Pleasant Street","Yarmouth","B5A 2K9","Nursing Home","104.0","1.0","0.0","0.0","Y","-66.103068","43.850509","
,  
(43.850509, -66.103068)","Western","POINT (250585.17360000033 4859950.0196)","TVMM"
"Tideview Terrace","74 Pleasant Street","Conway","B0V 1A0","Nursing Home","89.0","1.0","0.0","0.0","Y","-65.763293","44.609223","
,  
(44.609223, -65.763293)","Western","POINT (280733.5602000002 4943254.8291)","TVTR"
"Villa Acadienne","7974 Highway 1","Meteghan","B0W 2J0","Nursing Home","95.0","1.0","0.0","0.0","Y","-66.171983","44.180263","
,  
(44.180263, -66.171983)","Western","POINT (246456.35059999954 4896787.168199999)","VACD"
"Villa d'La Baie","8403 Highway 1","Meteghan","B0W 2J0","Nursing Home","47.0","0.0","0.0","0.0","Y","-66.154142","44.193704","
,  
(44.193704, -66.154142)","Western","POINT (247939.58880000003 4898225.7859000005)","VDLB"
"Victoria Haven Nursing Home","5 Third Street","Glace Bay","B1A 4G6","Nursing Home","53.0","1.0","0.0","0.0","Y","-59.964841","46.211586","
,  
(46.211586, -59.964841)","Eastern","POINT (734117.3038999997 5122034.4191)","VHNH"
"Valley View Villa","6125 Stellarton Trafalgar Road","Stellarton","B0K 1S0","Nursing Home","112.0","1.0","0.0","0.0","Y","-62.667148","45.539872","
,  
(45.539872, -62.667148)","Northern","POINT (525986.0864000004 5042979.2303)","VLVV"
"Villa Saint-Joseph Du Lac","255 Highway 1","Dayton","B5A 5A1","Nursing Home","79.0","0.0","0.0","0.0","Y","-66.111643","43.869245","
,  
(43.869245, -66.111643)","Western","POINT (249974.51190000027 4862057.196599999)","VSJL"
"Victoria Manor","14 Victoria Street West","Amherst","B4H 1B8","Residential Care Facility","0.0","0.0","40.0","0.0","Y","-64.214634","45.829729","
,  
(45.829729, -64.214634)","Northern","POINT (405659.92920000013 5075845.6458)","VTMN"
"Victoria Park Guest Home","350 King Street","Windsor","B0N 2T0","Residential Care Facility","0.0","0.0","12.0","0.0","Y","-64.133255","44.992791","
,  
(44.992791, -64.133255)","Central","POINT (410670.96410000045 4982773.1723)","VTPK"
"Vimy Court Continuing Care Residence","130 Vimy Road","Bible Hill","B2N 4J6","Nursing Home","60.0","0.0","0.0","0.0","Y","-63.260652","45.37933","
,  
(45.37933, -63.260652)","Northern","POINT (479592.3587999996 5025122.778999999)","VYCT"
"White Birches Retirement Residence","189 Fox Ranch Road","Amherst","B4H 3Y3","Residential Care Facility","0.0","0.0","24.0","0.0","Y","-64.179349","45.841412","
,  
(45.841412, -64.179349)","Northern","POINT (408419.95770000014 5077102.473300001)","WBRR"
"Wolfville Elms","705 Main Street","Wolfville","B4P 2N4","Residential Care Facility","0.0","0.0","23.0","0.0","Y","-64.379066","45.086931","
,  
(45.086931, -64.379066)","Western","POINT (391472.8909999998 4993531.4003)","WERC"
"Windsor Elms Village for Continuing Care Society","174 Falmouth Dyke Road","Falmouth","B0P 1L0","Nursing Home","107.0","1.0","0.0","0.0","Y","-64.170934","44.994553","
,  
(44.994553, -64.170934)","Central","POINT (407703.42619999964 4983011.364600001)","WEVC"
"Waterford Heights","716 King Street","New Waterford","B1H 3Z5","Nursing Home","24.0","0.0","0.0","0.0","Y","-60.085793","46.239863","
,  
(46.239863, -60.085793)","Eastern","POINT (724672.5859000003 5124826.2809)","WFHT"
"Whitehills Long Term Care Centre","297 Pockwock Road","Hammonds Plains","B4B 1N5","Nursing Home","58.0","0.0","0.0","0.0","Y","-63.805532","44.744839","
,  
(44.744839, -63.805532)","Central","POINT (436230.46169999987 4954920.648499999)","WHLC"
"Willow Lodge","100 Blair Avenue","Tatamagouche","B0K 1V0","Nursing Home","61.0","0.0","0.0","0.0","Y","-63.297188","45.711164","
,  
(45.711164, -63.297188)","Northern","POINT (476868.3630999997 5061998.3168)","WLLG"
"Willows Manor","2844 Highway 2","Shubenacadie","B0N 2H0","Residential Care Facility","0.0","0.0","8.0","0.0","Y","-63.407603","45.088376","
,  
(45.088376, -63.407603)","Northern","POINT (467924.0684000002 4992848.137800001)","WLMN"
"Wynn Park Villa","32 Windsor Way","Truro","B2N 0B4","Nursing Home","60.0","0.0","0.0","0.0","Y","-63.302235","45.355423","
,  
(45.355423, -63.302235)","Northern","POINT (476326.9430999998 5022477.5593)","WNPV"
"Wolfville Nursing Home","601 Main Street","Wolfville","B4P 1E9","Nursing Home","66.0","0.0","0.0","0.0","Y","-64.372273","45.089781","
,  
(45.089781, -64.372273)","Western","POINT (392012.6529000001 4993839.2491)","WVEL"
"Wedgewood House for Seniors","19 Leverett Avenue","Kentville","B4N 2K5","Residential Care Facility","0.0","0.0","15.0","0.0","N","-64.491561","45.076851","
,  
(45.076851, -64.491561)","Western","POINT (382599.30119999964 4992568.714199999)","WWHS"
"Yarmouth Heights","35 Highway 304","Yarmouth","B5A 4J7","Nursing Home","21.0","0.0","0.0","0.0","Y","-66.123168","43.850502","
,  
(43.850502, -66.123168)","Western","POINT (248969.73869999964 4860009.886299999)","YMHT"
"Veteran's Place (Yarmouth Regional Hospital)","60 Vancouver Street","Yarmouth","B5A 2P5","Nursing Home","10.0","0.0","0.0","0.0","Y","-66.121569","43.850524","
,  
(43.850524, -66.121569)","Western","POINT (249098.22140000015 4860007.033)","YVMB"
