objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
752,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,103645.77,,1
35,Cape Breton Highlands National Park Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,95130.79,,2
48,Kejimkujik National Park And National Historic Site Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,38121.34,,3
77,Polletts Cove - Aspy Fault Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,27226.66,,4
664,Kelley River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,20925.38,,5
499,Medway Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,19583.00,,6
111,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,17790.07,,7
158,French River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,16417.99,,8
92,Tangier Grand Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,16029.86,,9
12,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,15672.94,,10
89,Ship Harbour Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,14807.84,,11
162,Cloud Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,10823.02,,12
150,Bonnet Lake Barrens Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,10366.99,,13
174,Five Bridge Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8625.92,,14
119,Waverley - Salmon River Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8620.97,,15
152,Canso Coastal Barrens Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8012.97,,16
182,French River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,7096.63,,17
536,South Panuke Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6842.52,,18
63,Margaree River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6831.53,,19
57,Toadfish Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6319.97,,20
172,Economy River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6040.70,,21
66,Middle River Framboise Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5636.55,,22
67,Middle River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5617.72,,23
750,Economy River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,5495.31,,24
76,Ogden Round Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5469.08,,25
82,Silver River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5293.91,,26
79,Raven Head Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5257.14,,27
39,Cloud Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4892.63,,28
495,Fourchu Coast Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4810.55,,29
121,White Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4533.32,,30
100,Terence Bay Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4429.28,,31
137,Cape Chignecto Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,4232.76,,32
138,Eigg Mountain - James River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4131.73,,33
3,Lake Rossignol Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4072.70,,34
662,Bowers Meadows Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4014.28,,35
74,North River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3986.93,,36
1096,Island Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,3916.73,,37
184,Gully Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3815.95,,38
183,Gabarus Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3749.26,,39
149,Boggy Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3708.45,,40
177,Humes River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3625.20,,41
103,Dunraven Bog Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3464.26,,42
498,Liscomb River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3357.24,,43
507,St. Marys River Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,3213.99,,44
50,Sable Island National Park Reserve Of Canada/Sable Island Bird Sanctuary,"National Park, Migratory Bird Sanctuary",Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,3102.18,,45
1104,Guysborough Headlands Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,3012.55,,46
176,The Stillwaters Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2969.24,,47
6,Liscomb River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2962.41,,48
113,Trout Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2861.14,,49
613,Chignecto Isthmus Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2784.99,,50
154,Baddeck River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2778.24,,51
68,Kluscap Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2776.89,,52
110,The Big Bog Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2707.51,,53
784,Pu'tlaqne'katik,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2641.78,,54
112,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2613.56,,55
595,Tracadie River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2525.83,,56
192,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2306.66,,57
88,Shelburne River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2266.82,,58
661,Walton River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2245.79,,59
129,Eigg Mountain - James River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2176.47,,60
702,Kejimkujik National Park And National Historic Site Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,2158.90,,61
80,Margaree River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2139.52,,62
1101,Big Plains Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,2118.25,,63
78,Portapique River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2060.34,,64
126,Scrag Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1960.41,,65
665,Wentworth Valley Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1954.23,,66
93,Devils Jaw Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1940.41,,67
161,Clattenburgh Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1912.51,,68
190,Pockwock Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1899.96,,69
52,Eastern Shore Islands Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1852.56,,70
58,Twelve Mile Stream Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1792.77,,71
2,Jim Campbells Barren Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1735.91,,72
136,Cape Chignecto Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,1722.80,,73
81,Roseway River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1691.04,,74
55,Tusket River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1663.36,,75
10,Ruiss Noir Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1602.50,,76
553,Indian Fields Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,1565.23,,77
87,Scatarie Island Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1496.09,,78
471,Holden Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1490.85,,79
681,Cape Mabou Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1457.45,,80
965,Eigg Mountain - James River Wilderness Area,Wilderness Area,"NS Environment and Climate Change, Town of Antigonish",Town of Antigonish,Designated,1333.93,,81
148,Blue Mountain - Birch Cove Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1316.87,,82
23,Baleine Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1268.26,,83
529,Katewe'katik,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1256.87,,84
41,Sissiboo River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1203.26,,85
530,Silver River Wilderness Area,"Wilderness Area, Conservation Easement","NS Environment and Climate Change, Nature Conservancy of Canada",NS Environment and Climate Change,Designated,1180.17,,86
102,Shelburne River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1177.79,,87
157,Calvary River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1174.40,,88
83,Rogues Roost Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1127.96,,89
189,North Mountain Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1080.01,,90
1120,Blue Mountain - Birch Cove Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,1037.09,,91
552,West Dover Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,1036.41,,92
519,Port La Tour Bogs Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1022.63,,93
169,Ghost Antler Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1007.30,,94
28,North River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,978.81,,95
191,Porcupine Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,974.31,,96
733,Portapique River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,973.75,,97
59,Boggy Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,973.25,,98
963,Chignecto Isthmus Wilderness Area,Wilderness Area,"NS Environment and Climate Change, Town of Amherst",Town of Amherst,Designated,963.27,,99
71,Bornish Hill Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,954.74,,100
541,Tidney River Conservation Lands,Land Trust or Conservation Easement,"NS Department of Natural Resources and Renewables, Nature Conservancy of Canada",NS Department of Natural Resources and Renewables,Considered protected,946.85,,101
56,Ship Harbour Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,929.35,,102
598,Carleton River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,919.21,,103
767,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,892.09,,104
594,Lake Charlotte Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,878.43,,105
650,Chase Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,873.56,,106
135,Blomidon Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,840.97,,107
7,Masons Mountain Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,830.76,,108
735,Sackville River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,804.27,,109
934,Silver River Wilderness Area,"Wilderness Area, Land Trust","NS Environment and Climate Change, Nature Conservancy of Canada",Nature Conservancy of Canada,Designated,804.23,,110
551,Taylor Head Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,799.64,,111
9,Petite Bog Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,798.80,,112
95,Polly Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,780.74,,113
527,Dollar Lake Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,770.75,,114
966,Alder Ground Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,753.69,,115
38,Chimney Corner Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,749.56,,116
91,Sugarloaf Mountain Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,746.45,,117
506,Barra Forest and MacNeils Vale Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,733.28,,118
1092,Long Lake Bog Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,726.26,,119
94,Devils Jaw Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,725.95,,120
14,Tusket Islands Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,706.24,,121
20,Seven Falls Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,692.99,,122
518,Port L'Hebert Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,691.31,,123
981,Archibald Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,687.41,,124
159,French River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,685.67,,125
482,Middle River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,660.70,,126
535,Smith Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,645.25,,127
118,Spinneys Heath Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,642.37,,128
1109,Douglas Meadow Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,638.31,,129
164,Cloud Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,621.42,,130
101,White Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,568.13,,131
960,Barneys River Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,566.88,,132
134,Blomidon Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,558.13,,133
147,Cains Mountain Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,554.81,,134
566,Cape Smokey Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,539.14,,135
62,John Lusby Marsh National Wildlife Area,National Wildlife Area,Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,537.69,,136
114,Skull Bog Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,524.14,,137
753,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,506.25,,138
144,Crystal Crescent Beach Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,498.93,,139
732,Sand Pond National Wildlife Area,National Wildlife Area,Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,492.40,,140
967,Alder Ground Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,489.08,,141
51,Denis Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,487.67,,142
65,McGill Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,476.58,,143
36,Blue Mountain - Birch Cove Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,451.11,,144
493,Cape Split Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,448.56,,145
666,River Inhabitants Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,436.46,,146
766,Medway Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,430.19,,147
104,Snowshoe Lakes Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,419.21,,148
741,Wallace Bay National Wildlife Area,National Wildlife Area,Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,419.10,,149
1077,Clyde River Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,415.96,,150
60,Chignecto National Wildlife Area/Amherst Point Bird Sanctuary,"National Wildlife Area, Migratory Bird Sanctuary",Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,408.56,,151
475,Tusket River Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,407.04,,152
497,Indian Man Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,404.74,,153
503,Quinns Meadow Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,404.65,,154
180,Long Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,400.95,,155
30,Raven Head Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,398.28,,156
1111,Harpers Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,395.80,,157
145,Dollar Lake Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,395.17,,158
514,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,389.24,,159
188,Loon Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,384.37,,160
72,Duncans Cove Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,369.10,,161
720,Old Annapolis Road Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,367.37,,162
106,River Inhabitants Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,360.97,,163
179,Little Beaver Lakes Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,360.40,,164
581,Five Islands Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,352.91,,165
1113,South Panuke Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,348.58,,166
73,Great Barren and Quinan Lakes Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,347.11,,167
22,Tennycape River Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,346.06,,168
105,Quinns Meadow Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,341.89,,169
90,Ship Harbour Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,331.78,,170
70,Blandford Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,318.89,,171
1051,Cape Negro Island Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,316.68,,172
1095,Point Michaud Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,309.23,,173
11,Rush Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,307.07,,174
633,Margaree Brook Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,297.76,,175
280,Deep Cove Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,289.32,,176
120,Waverley - Salmon River Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,287.48,,177
85,Long Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,284.88,,178
961,Big Meadow Brook Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,283.60,,179
751,Wallace Bay National Wildlife Area,National Wildlife Area,Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,281.39,,180
45,Bennery Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,278.61,,181
53,Fossil Coast Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,277.33,,182
722,Glendyer Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,276.22,,183
516,Northwest Brook Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,270.85,,184
968,Angevine Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,270.78,,185
736,Owls Head Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,267.39,,186
434,French River Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,267.32,,187
19,Seal Island Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,266.58,,188
531,Ship Harbour Long Lake Wilderness Area,"Wilderness Area, Conservation Easement",NS Environment and Climate Change,NS Environment and Climate Change,Designated,266.19,,189
477,Third Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,252.67,,190
1093,Mulgrave Hills Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,247.49,,191
1091,Wolfville Watershed Nature Preserve,Land Trust or Conservation Easement,Nova Scotia Nature Trust and Town of Wolfville,Town of Wolfville,Considered protected,237.95,,192
723,Porcupine Brook Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,237.61,,193
675,Brier Island Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,231.45,,194
5,Lake Rossignol Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,230.85,,195
707,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,222.83,,196
949,Silver River Wilderness Area,"Wilderness Area, Land Trust","NS Environment and Climate Change, Nature Conservancy of Canada",Nature Conservancy of Canada,Designated,221.25,,197
42,Tait Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,216.42,,198
679,Borgles Island Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,215.65,,199
637,Long Lake Bog Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,209.05,,200
279,Holden Lake Wilderness Area,Wilderness Area,"NS Environment and Climate Change, Nova Scotia Power Inc.",Nova Scotia Power Inc.,Designated,205.26,,201
480,North East Bay Conservation Lands,Land Trust or Conservation Easement,"NS Department of Natural Resources and Renewables, Nature Conservancy of Canada",NS Department of Natural Resources and Renewables,Considered protected,202.79,,202
651,Steepbank Brook Nature Reserve,Nature Reserve,"NS Environment and Climate Change, NS Department of Natural Resources and Renewables",NS Environment and Climate Change,Designated,202.20,,203
175,Eagles Nest Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,187.78,,204
13,Trout Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,185.90,,205
1138,St. Marys River Crows Nest Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,184.32,,206
972,Abraham Lake Nature Reserve,"Nature Reserve, Land Trust","NS Environment and Climate Change, Nature Conservancy of Canada",Nature Conservancy of Canada,Designated,182.30,,207
815,Gold River Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,178.74,,208
64,McGill Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,177.53,,209
473,Blue Mountain Wilderness Connector,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,177.51,,210
1060,Haley Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,176.70,,211
596,Johnson Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,174.40,,212
1115,Gully Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,174.30,,213
537,Tangier Grand Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,169.37,,214
538,Tupper Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,166.88,,215
