objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
33,Wentworth Conservation Lands (1),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,41.46,,423
1034,Acaciaville Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,41.41,,424
674,Brier Island Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,41.06,,425
464,Tusket River Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,41.05,,426
17,Mabou Highlands Conservation Lands (2),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,40.54,,427
970,Ashfield Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,40.31,,428
98,Ponhook Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,40.26,,429
788,Baddeck River Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,40.12,,430
415,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,40.03,,431
879,Mabou Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,39.76,,432
18,Mabou Highlands Conservation Lands (5),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,39.73,,433
590,Lime Hill Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,39.41,,434
611,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,39.30,,435
740,Sand Pond National Wildlife Area,National Wildlife Area,Canadian Wildlife Service. Environment and Climate Change Canada,Canadian Wildlife Service. Environment and Climate Change Canada,Designated,39.30,,436
489,Atlantic Coastal Plain Flora Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,39.15,,437
627,Mabou Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,39.02,,438
