"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"759","Mabou Highlands Conservation Lands (4)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"27.1243676","4044.0535035533376","271243.67604975885"
"760","Musquodoboit River Valley Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.9945586","909.7051499789347","29945.586000009178"
"761","Plaister Cliffs Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"1.12741217","562.654792202426","11274.121650001709"
"762","McKinnons Harbour Conservation Lands","Land Trust or Conservation Easement",,"Bras d'Or Preservation Nature Trust","Bras d'Or Preservation Nature Trust","Considered protected",,,"0.97092083","808.0902428235881","9709.208300026175"
"763","McKinnons Harbour Conservation Lands","Land Trust or Conservation Easement",,"Bras d'Or Preservation Nature Trust","Bras d'Or Preservation Nature Trust","Considered protected",,,"17.09371646","2811.6540977574687","170937.16464978812"
"764","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"1.64721369","1332.217291342209","16472.13688698196"
"765","Eigg Mountain - James River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designation decision made",,,"69.92009837","6011.691191443601","699200.9837457088"
"766","Medway Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designation decision made",,,"430.18582479","22081.665154105813","4301858.247915297"
"767","Tobeatic Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"892.09191234","24572.207817012863","8920919.123381466"
"768","Baddeck Bay Consevation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Bras d'Or Preservation Nature Trust and private owner(s)","Considered protected",,,"22.51268584","2801.9989110514357","225126.858400129"
"769","Baddeck Bay Consevation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Bras d'Or Preservation Nature Trust and private owner(s)","Considered protected",,,"16.11968394","1774.4860827731281","161196.83944995844"
"770","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"13.10332044","2432.2473980428226","131033.20440000652"
"771","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"18.00685463","3068.8161051488905","180068.54630013462"
"772","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"37.78185399","2913.9358001149767","377818.5399144762"
"773","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"4.40795512","1058.8221035173656","44079.551231984755"
"774","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"2.70502127","779.0907845570667","27050.2127053772"
"775","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"3.94307327","1493.8256649158895","39430.732674748106"
"776","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"14.49364916","2001.3051354928498","144936.49164870707"
"777","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"13.85175632","1940.3367547098635","138517.5631996423"
"778","Mosher's Bay Conservation Lands","Land Trust or Conservation Easement",,"Kingsburg Coastal Conservancy","Kingsburg Coastal Conservancy","Considered protected",,,"3.41159332","1147.9995111328567","34115.93317396531"
"779","Mosher's Bay Conservation Lands","Land Trust or Conservation Easement",,"Kingsburg Coastal Conservancy","Kingsburg Coastal Conservancy","Considered protected",,,"7.953685670000001","1366.1259294899226","79536.85673169378"
"780","Mosher's Bay Conservation Lands","Land Trust or Conservation Easement",,"Kingsburg Coastal Conservancy","Kingsburg Coastal Conservancy","Considered protected",,,"0.76430578","385.5202647224705","7643.057827119234"
"781","Mosher's Bay Conservation Lands","Land Trust or Conservation Easement",,"Kingsburg Coastal Conservancy","Kingsburg Coastal Conservancy","Considered protected",,,"4.70862306","1360.2698346270865","47086.2306429074"
"782","Pugwash Victoria Island Easement","Land Trust or Conservation Easement",,"Seagull Foundation","Nature Conservancy of Canada and Seagull Foundation","Considered protected",,,"12.76763156","2168.841493248404","127676.31555006104"
"783","Gerard Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust and private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"5.22784519","1394.4784036544793","52278.45191712045"
"784","Pu'tlaqne'katik","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2641.78146612","123136.77870612498","26417814.661178816"
"785","Purgatory Point Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"2.26839086","771.2680767979086","22683.908599965685"
"786","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"32.16488804","2951.958728533134","321648.8803998175"
"787","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"19.67096097","2368.555662910496","196709.60969994223"
"788","Baddeck River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"40.11961727","2969.2384442521497","401196.17274960014"
"789","Baddeck River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"2.26304558","622.757558329742","22630.4557999066"
"790","River Inhabitants Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"12.56971514","2046.3960059193719","125697.15136927909"
"791","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"49.40695188","4080.6535496603815","494069.5188177657"
"792","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"5.777789110000001","1306.5250585653305","57777.891142692366"
"793","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"4.47725429","1140.881414305618","44772.542870884194"
"794","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"3.11195431","835.4388978466062","31119.543064010773"
"795","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"3.91819408","1011.5040688012646","39181.94078485586"
"796","MacFarlane Woods Nature Reserve","Nature Reserve",,"Private owner(s)","NS Environment and Climate Change, private owner(s)","Designated",,,"10.53606886","1626.50633979013","105360.6885604421"
"797","Ponhook Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"5.10298391","1343.8929449902478","51029.839146968276"
"798","Ponhook Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"57.07251517","3900.4210599323465","570725.1516622516"
"799","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"17.76540503","3439.2725908900384","177654.05034730115"
"800","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"16.48183739","3423.3787498546894","164818.37390556783"
"801","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"15.1427546","1989.8955912164479","151427.54597694846"
"802","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"4.46497371","1149.6409394767827","44649.73709479768"
"803","Salmon Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"41.83089218","3155.8192248373066","418308.92176998645"
"804","Purgatory Point Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"41.65033094","5480.170392464696","416503.3093996199"
"805","Purgatory Point Conservation Lands","Land Trust or Conservation Easement",,"Private owner(s)","Nova Scotia Nature Trust and private owner(s)","Considered protected",,,"1.6180994","1637.0780938612577","16180.993950364566"
