"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"1","Atlantic Coastal Plain Flora Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"64.80942548","4169.582519459696","648094.2547506999"
"2","Jim Campbells Barren Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1735.91125021","20252.35967141608","17359112.502079733"
"3","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4072.69617855","102219.53325712448","40726961.785540365"
"4","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"45.32410132","3874.6057138724536","453241.0132261454"
"5","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"230.84988938","13799.599500794335","2308498.8938074587"
"6","Liscomb River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2962.41346012","29169.359651045204","29624134.60120398"
"7","Masons Mountain Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"830.76334213","11750.60441998934","8307633.421317041"
"8","Montrose Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"25.54494372","2675.3450686997344","255449.437224283"
"9","Petite Bog Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"798.79778535","15489.512906751623","7987977.853461229"
"10","Ruiss Noir Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1602.49781298","27296.26032941707","16024978.12978391"
"11","Rush Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"307.06819273","12471.058544542659","3070681.9272974306"
"12","Tobeatic Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"15672.94158784","358649.6341320601","156729415.87840602"
"13","Trout Brook Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"185.90411598","12567.74677685848","1859041.1598071181"
"14","Tusket Islands Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"706.23941167","63758.840447442606","7062394.116678203"
"15","Frederick Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"61.26100893","4251.405707157992","612610.0892949114"
"16","Mabou Highlands Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"68.77204386","4720.5050940793535","687720.4385982108"
"17","Mabou Highlands Conservation Lands (2)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"40.53567716","4868.05383654178","405356.77163148345"
"18","Mabou Highlands Conservation Lands (5)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"39.72886823","2786.7744792018416","397288.6822912204"
"19","Seal Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"266.57807505","12928.062433068644","2665780.750535689"
"20","Seven Falls Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"692.98930962","19866.638403357483","6929893.09621673"
"21","Slade Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"24.62146877","3803.8225668356054","246214.6876990329"
"22","Tennycape River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"346.05992774","12734.38019250332","3460599.277380461"
"23","Baleine Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1268.25794734","36617.95223635268","12682579.473366097"
"24","Black River Bog Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"109.1288808","10018.29130139901","1091288.8080053967"
"25","Kennetcook River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"124.56692481","7641.868970915349","1245669.2481395951"
"26","Lake Egmont Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"89.25488551","3809.3478955074","892548.8551406974"
"27","MacAulays Hill Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"104.77144725","10287.804975373612","1047714.4724763352"
"28","North River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"978.80678239","44327.959273192566","9788067.82387094"
"29","Quinns Meadow Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"46.1212545","4857.914272136915","461212.54499554227"
"30","Raven Head Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"398.28074181","18676.55641126469","3982807.4180930783"
"31","Wentworth Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"54.12746485","6618.249545908091","541274.6485462108"
"32","St. Marys River - Hardwood Hill Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"59.8083832","4372.5096855479605","598083.8319602795"
"33","Wentworth Conservation Lands (1)","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"41.46461477","2828.5040403279095","414646.1477280185"
"34","Cape Breton Highlands National Park Of Canada","National Park",,"Parks Canada Agency. Environment and Climate Change Canada","Parks Canada Agency. Environment and Climate Change Canada","Designated",,,"4.92411398","2091.1403937308905","49241.139834899455"
"35","Cape Breton Highlands National Park Of Canada","National Park",,"Parks Canada Agency. Environment and Climate Change Canada","Parks Canada Agency. Environment and Climate Change Canada","Designated",,,"95130.78701977","186885.92309955088","951307870.1976564"
"36","Blue Mountain - Birch Cove Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"451.1056145","27753.834800407487","4511056.145005225"
"37","Cedar Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"23.14875577","2447.0026703314443","231487.55769526295"
"38","Chimney Corner Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"749.5639343","29475.55867003683","7495639.3429823015"
"39","Cloud Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4892.63108872","98969.45835264357","48926310.88720448"
"40","Dalhousie Mountain Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"46.35647536","2678.7631968407613","463564.7536069409"
"41","Sissiboo River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1203.26128195","53479.62393293728","12032612.819484403"
"42","Tait Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"216.41586817","10316.82356358405","2164158.681671101"
"43","Terence Bay Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"56.97948583","5473.0944643185385","569794.8583386551"
"44","Aylesford Mountain Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"86.46760714","4481.328553850701","864676.0713625887"
"45","Bennery Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"278.61002701","7164.477874802566","2786100.27013209"
"46","Diligent River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"112.39185691","6063.02955392983","1123918.5691273378"
"47","Dochertys Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"12.00695954","1605.7905372241555","120069.59541217724"
"48","Kejimkujik National Park And National Historic Site Of Canada","National Park",,"Parks Canada Agency. Environment and Climate Change Canada","Parks Canada Agency. Environment and Climate Change Canada","Designated",,,"38121.34476784","80892.39890210833","381213447.67841864"
"49","Sable Island National Park Reserve Of Canada","National Park",,"Parks Canada Agency. Environment and Climate Change Canada","Parks Canada Agency. Environment and Climate Change Canada","Designated",,,"2.33716047","1252.981164400161","23371.60465612148"
"50","Sable Island National Park Reserve Of Canada/Sable Island Bird Sanctuary","National Park, Migratory Bird Sanctuary",,"Parks Canada Agency. Environment and Climate Change Canada","Parks Canada Agency. Environment and Climate Change Canada","Designated",,,"3102.17564314","93405.56900138682","31021756.431356892"
"51","Denis Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"487.66654231","10131.680117651731","4876665.423078841"
"52","Eastern Shore Islands Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1852.5568112","305943.2725249223","18525568.112005275"
"53","Fossil Coast Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"277.32911905","18157.987749877713","2773291.1905416097"
"54","Tiddville Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"29.77387963","2988.9234546413913","297738.79631386325"
"55","Tusket River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1663.36292184","74887.34377335127","16633629.218446182"
"56","Ship Harbour Long Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"929.35260802","55436.82583794628","9293526.080204552"
"57","Toadfish Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"6319.96872648","122108.16071813909","63199687.2648302"
"58","Twelve Mile Stream Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1792.77438375","74994.18020555333","17927743.837479558"
"59","Boggy Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"973.2512172","49739.48433590393","9732512.172012668"
"60","Chignecto National Wildlife Area/Amherst Point Bird Sanctuary","National Wildlife Area, Migratory Bird Sanctuary",,"Canadian Wildlife Service. Environment and Climate Change Canada","Canadian Wildlife Service. Environment and Climate Change Canada","Designated",,,"408.56112954","12903.971161200861","4085611.2953804727"
"61","John Lusby Marsh National Wildlife Area","National Wildlife Area",,"Canadian Wildlife Service. Environment and Climate Change Canada","Canadian Wildlife Service. Environment and Climate Change Canada","Designated",,,"14.44300851","2348.8080035491303","144430.0851180319"
"62","John Lusby Marsh National Wildlife Area","National Wildlife Area",,"Canadian Wildlife Service. Environment and Climate Change Canada","Canadian Wildlife Service. Environment and Climate Change Canada","Designated",,,"537.68908134","33407.76568312953","5376890.813384411"
"63","Margaree River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"6831.5316112","233714.82140454516","68315316.11198308"
"64","McGill Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"177.52872806","7034.007720960775","1775287.2805551405"
"65","McGill Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"476.58324478","26670.78794626236","4765832.447780947"
"66","Middle River Framboise Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"5636.54652671","50155.001977177104","56365465.267100185"
"67","Middle River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"5617.7171345","101106.37831998775","56177171.344966106"
"68","Kluscap Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2776.89234372","33361.220525278055","27768923.437171504"
"69","Sea Wolf Island National Wildlife Area","National Wildlife Area",,"Canadian Wildlife Service. Environment and Climate Change Canada","Canadian Wildlife Service. Environment and Climate Change Canada","Designated",,,"75.60788641","4736.070213474583","756078.8640887457"
"70","Blandford Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"318.88831856","17704.543630624845","3188883.1855973573"
"71","Bornish Hill Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"954.73865579","15167.694650675247","9547386.557858324"
"72","Duncans Cove Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"369.10139423","15508.042002820548","3691013.942314254"
"73","Great Barren and Quinan Lakes Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"347.11471099","25245.83919209743","3471147.1098601655"
"74","North River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"3986.93276123","71504.87003012402","39869327.61229122"
"75","North River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"47.4724985","3155.6112014847126","474724.98498002876"
"76","Ogden Round Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"5469.07989248","72604.99707240127","54690798.92483801"
"77","Polletts Cove - Aspy Fault Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"27226.65586413","157177.35009448283","272266558.6412498"
"78","Portapique River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2060.34389129","30511.128268187564","20603438.912920542"
"79","Raven Head Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"5257.14160947","91488.93068148076","52571416.09472637"
"80","Margaree River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2139.52469058","71339.33649529012","21395246.90578496"
"81","Roseway River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1691.03544954","47490.53592585442","16910354.49539933"
"82","Silver River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"5293.91241865","114113.08970838283","52939124.18654935"
"83","Rogues Roost Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1127.9620018","62399.56178268789","11279620.01803012"
"84","Indian Man Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"125.90773954","4421.129495700084","1259077.3954280615"
"85","Long Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"284.87863235","7537.883831132596","2848786.323521194"
"86","Martin Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"59.30857624","4358.405726449863","593085.7624472271"
"87","Scatarie Island Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1496.09228178","46412.23927580898","14960922.817825858"
"88","Shelburne River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2266.82420766","53223.97961139163","22668242.076597754"
"89","Ship Harbour Long Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"14807.8416374","317176.37246223696","148078416.37398383"
"90","Ship Harbour Long Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"331.77922393","25330.110987411175","3317792.2393146968"
"91","Sugarloaf Mountain Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"746.44902539","13660.65028902829","7464490.253928954"
"92","Tangier Grand Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"16029.85893974","105566.01158458117","160298589.39739653"
"93","Devils Jaw Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1940.41139728","68316.1283452092","19404113.97276557"
"94","Devils Jaw Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"725.95154307","15580.845544630543","7259515.430735385"
"95","Polly Brook Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"780.7412512","22543.129798020847","7807412.512003029"
"96","Mary Harper Nature Reserve","Nature Reserve, Land Trust",,"Bras d'Or Preservation Nature Trust","NS Environment and Climate Change, Bras d'Or Preservation Nature Trust","Designated",,,"26.47953997","2930.060425529353","264795.39972476894"
"97","Panuke Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"148.17415258","6288.7080497440575","1481741.5257733448"
"98","Ponhook Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"40.26364486","19422.8762795344","402636.4485970806"
"99","Tangier Grand Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"137.9098154","9841.687470094967","1379098.1540466666"
"100","Terence Bay Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4429.28477498","119835.64784770327","44292847.74978355"
"101","White Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"568.13232133","30071.289778791408","5681323.213309324"
"102","Shelburne River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1177.79260959","50356.89596667642","11777926.095939785"
"103","Dunraven Bog Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"3464.25505618","30125.18146456874","34642550.561765246"
"104","Snowshoe Lakes Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"419.20588192","13310.163754863715","4192058.819208569"
"105","Quinns Meadow Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"341.88554872","10450.710766501674","3418855.487242942"
"106","River Inhabitants Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"360.96511667","11112.08151192074","3609651.1666998947"
"107","Roman Valley Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"56.8938321","2959.002241602616","568938.321032061"
"108","Sixth and Coades Lakes Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"54.9841863","5116.356397253692","549841.8629555014"
"109","Terence Bay Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"26.56418171","4463.2882279195455","265641.8170779192"
"110","The Big Bog Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2707.51150086","27683.398200315874","27075115.00856242"
"111","Tidney River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"17790.06627025","131319.20602465782","177900662.70252702"
"112","Tidney River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2613.56040767","48275.135573488355","26135604.07673666"
"113","Trout Brook Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2861.14043859","24569.39476712177","28611404.385878954"
"114","Skull Bog Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"524.1396589","14755.987610288928","5241396.588993031"
"115","Rogues Roost Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"63.40715891277654","3134.7034216772786","634071.5891277654"
"116","Toadfish Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"121.15120782","6316.977271300136","1211512.0781652594"
"117","Sixth and Coades Lakes Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"70.34162171","7197.509133648448","703416.2171482156"
"118","Spinneys Heath Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"642.36745409","15884.914396168453","6423674.540895675"
"119","Waverley - Salmon River Long Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"8620.97129781","107880.19139302934","86209712.97807346"
"120","Waverley - Salmon River Long Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"287.47921515","11436.078798620074","2874792.151451046"
"121","White Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4533.32382145","57322.25635798411","45333238.21451429"
"122","White Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"20.73074596","2176.1693904470108","207307.4595973415"
"123","Blomidon Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"15.2016891","1726.156080739669","152016.89097690932"
"124","Toadfish Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"23.76396606","4268.831191666706","237639.66056740884"
"125","Toadfish Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"52.65476776","3775.1700303666557","526547.6776337185"
"126","Scrag Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1960.41313854","23702.218718881846","19604131.38542969"
"127","MacFarlane Woods Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"12.13278772","1397.783558353934","121327.87721906528"
"128","MacFarlane Woods Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"12.89645034","1547.3904734349894","128964.50342480648"
"129","Eigg Mountain - James River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2176.47309175","94624.09906598719","21764730.917526737"
"130","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"1.96408805","916.8845052847395","19640.880497475122"
"131","Sporting Lake Nature Reserve","Nature Reserve, Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"23.2171075","3931.4175979473844","232171.07502042962"
"132","Tusket River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"22.50784566","2152.828580739983","225078.45664342336"
"133","Tusket River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"16.14508957","2006.2708639606635","161450.89573603618"
"134","Blomidon Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"558.13104881","10459.623583834295","5581310.488090338"
"135","Blomidon Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"840.96502103","20525.005082753636","8409650.210290853"
"136","Cape Chignecto Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"1722.80327529","21242.504888325304","17228032.7528562"
"137","Cape Chignecto Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"4232.76371114","82423.32970233286","42327637.11144992"
"138","Eigg Mountain - James River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4131.73039531","100824.53297730951","41317303.953063354"
"139","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.34759348","951.9224193034512","23475.93483507493"
"140","Black River Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"2.23430036","1003.201947276656","22343.003556447406"
"141","Washabuck River Nature Reserve","Nature Reserve, Land Trust",,"Nova Scotia Nature Trust","NS Environment and Climate Change, Nova Scotia Nature Trust","Designated",,,"67.59421849","4449.905994917492","675942.1849411881"
"142","West Branch Medway River Nature Reserve","Nature Reserve, Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"81.85272578","5099.071236830873","818527.2578111172"
"143","Cape Smokey Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"161.4485942","7607.560407159222","1614485.9420058134"
"144","Crystal Crescent Beach Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"498.93130081","19913.00622106166","4989313.008091806"
"145","Dollar Lake Provincial Park","Provincial Park",,"NS Department of Natural Resources and Renewables","NS Department of Natural Resources and Renewables","Designated",,,"395.16747796","16072.95538548347","3951674.779562949"
"146","Grassy Island Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"0.69066219","423.7024986533679","6906.621923521326"
"147","Cains Mountain Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"554.81431858","23734.470850641843","5548143.185843348"
"148","Blue Mountain - Birch Cove Lakes Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1316.86707347","37993.91729402275","13168670.734677373"
"149","Boggy Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"3708.44986141","39534.10131466746","37084498.61407958"
"150","Bonnet Lake Barrens Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"10366.99248578","98912.7474732036","103669924.85781859"
"151","Bonnet Lake Barrens Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"20.30352501","1886.7948293025968","203035.2501348576"
"152","Canso Coastal Barrens Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"8012.9706702","109348.43601604621","80129706.70198326"
"153","Shut-in Island Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"7.14025098","1620.506048780351","71402.50981762292"
"154","Baddeck River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2778.24392144","75853.1398056188","27782439.214412805"
"155","Lyons Marsh Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"59.68376889","4697.4645115581225","596837.6888531825"
"156","Blandford Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"20.40348613","1826.0878429230106","204034.8613095217"
"157","Calvary River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1174.39914599","45324.55375462561","11743991.459926033"
"158","French River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"16417.98932247","160389.64141969715","164179893.22470057"
"159","French River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"685.66952615","11789.985823914267","6856695.261532055"
"160","Johnstons Pond Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"28.23390039","6786.29118905891","282339.0039076681"
"161","Clattenburgh Brook Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1912.50870166","25734.158283773697","19125087.016645346"
