fiscal_year,fiscal_year_start,zone,facility_type,site,temporary_hours,scheduled_hours,total_hours,is_zero_closure
2013-14,2013,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2014-15,2014,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2015-16,2015,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2016-17,2016,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2017-18,2017,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2018-19,2018,4,Community,Hants Community Hospital,0.0,0.0,0.0,1
2019-20,2019,4,Community,Hants Community Hospital,25.5,0.0,25.5,0
2020-21,2020,4,Community,Hants Community Hospital,10.5,0.0,10.5,0
2021-22,2021,4,Community,Hants Community Hospital,59.8,0.0,59.8,0
2022-23,2022,4,Community,Hants Community Hospital,1188.0,0.0,1188.0,0
2023-24,2023,4,Community,Hants Community Hospital,738.0,0.0,738.0,0
2012-13,2012,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2013-14,2013,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2014-15,2014,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2015-16,2015,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2016-17,2016,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2017-18,2017,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2018-19,2018,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2019-20,2019,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2020-21,2020,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2021-22,2021,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2022-23,2022,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2023-24,2023,4,Regional,Dartmouth General Hospital,0.0,0.0,0.0,1
2012-13,2012,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2013-14,2013,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2014-15,2014,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2015-16,2015,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2016-17,2016,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2017-18,2017,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2018-19,2018,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2019-20,2019,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2020-21,2020,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2021-22,2021,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2022-23,2022,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2023-24,2023,4,Tertiary,QEII Health Sciences Centre,0.0,0.0,0.0,1
2023-24,2023,4,UTC,Eastern Shore Memorial Hospital,0.0,0.0,0.0,1
2023-24,2023,4,UTC,Musquodoboit Valley Memorial Hospital,0.0,0.0,0.0,1
2012-13,2012,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2013-14,2013,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2014-15,2014,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2015-16,2015,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2016-17,2016,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2017-18,2017,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2018-19,2018,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2019-20,2019,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2020-21,2020,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2021-22,2021,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2022-23,2022,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
2023-24,2023,IWK,Tertiary,IWK Health Centre,0.0,0.0,0.0,1
