"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"12month_rolling","Obstetrics/Gynaecology","All","Saciragic, Lana",,,,,"15","36","32","76"
"12month_rolling","Ophthalmology","Cataract Surgery","Hussain, Ahsen Ayyaz",,,,,"142","418","69","207"
"12month_rolling",,"AV Fistula Creation/Closure",,"Total","Provincial","2025","2","19","63","25","70"
"12month_rolling","Urology","Male Circumcision  (Adult)","Massaro, Peter",,,,,"315","576","463","495"
"2024_q3",,"Bowel Resection - Laparoscopic",,"Zone 1","Valley Regional","2024","3","15","270","40","82"
"3month_rolling",,"Bowel Resection",,"Zone 1","Valley Regional","2025","2","44","260","41","96"
"2023_q2",,"Wound Management",,"Total","Provincial","2023","2",,,"21","196"
"2023_q4",,"Prostate Surgery - Laparoscopic",,"Zone 4","QE2","2023","4","29","132","150","242"
"2024_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 1","South Shore Regional","2024","2","85","215","78","234"
"2025_q2",,"Sacral Nerve Stimulation",,"Zone 4","QE2","2025","2",,,"135","225"
"2024_q2",,"Female Incontinence Surgery",,"Zone 4","QE2","2024","2",,,"137","272"
"3month_rolling",,"Glaucoma (Eye Pressure Lowering Surgery)",,"Zone 4","QE2","2025","2","39","642","20","76"
"2023_q2",,"Ear Tubes  (Pediatric)",,"Zone 3","St. Martha's Regional","2023","2","57","120","85","123"
"2025_q2",,"Breast Reduction Surgery",,"Zone 4","QE2","2025","2","1091","2121","82","335"
"2024_q1",,"Surgery for Hearing or Balance Problems of the Ear",,"IWK","IWK","2024","1","98","295","119","250"
"12month_rolling","Urology","Sacral Nerve Stimulation","Cox, Ashley",,,,,"89","91","132","230"
"2024_q4",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Total","Provincial","2024","4","116","610","108","321"
"2024_q1",,"Knee Replacement",,"Zone 4","QE2","2024","1","101","316","417","1342"
"12month_rolling","Orthopaedic","Hip Replacement","Wilson, David",,,,,"92","142","21","57"
"12month_rolling","Otolaryngology (ENT)","All","Graham, Elise",,,,,"143","393","86","178"
"2024_q4",,"Septoplasty",,"Zone 4","Dartmouth General","2024","4","164","1024","103","222"
"2024_q3",,"Thoroscopy / Pleuroscopy",,"Total","Provincial","2024","3",,,"15","378"
"2023_q3",,"Nerve or Brain Stimulation",,"Zone 4","QE2","2023","3","89","125","22","54"
"2024_q2",,"Prostate Surgery - Laparoscopic",,"Total","Provincial","2024","2","20","42","174","239"
"2024_q3",,"Knee Replacement",,"Zone 4","QE2","2024","3","116","287","360","1111"
"2024_q1",,"Bowel Resection - Open",,"Total","Provincial","2024","1","30","180","42","92"
"2024_q3",,"Gallbladder Surgery",,"Zone 2","Colchester East Hants Health Centre","2024","3","28","141","83","156"
"2024_q4",,"Bladder Cancer Surgery",,"Zone 2","Colchester East Hants Health Centre","2024","4","16","44","31","77"
"2024_q4",,"Hernia Repair  (Adult)",,"Zone 4","Dartmouth General","2024","4","119","660","118","307"
"2023_q3",,"Male Reproductive System Surgery",,"Total","Provincial","2023","3","82","250","118","642"
"2024_q1",,"Septoplasty",,"Total","Provincial","2024","1","73","489","90","304"
"2023_q2",,"Septoplasty",,"Zone 1","Valley Regional","2023","2","366","427","75","174"
"2024_q4",,"Carpal Tunnel Surgery",,"Zone 3","St. Martha's Regional","2024","4",,,"171","251"
"2024_q2",,"Tonsillectomy and/or Adenoidectomy  (Adult)",,"Zone 4","Dartmouth General","2024","2",,,"97","594"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","Yaffe, Paul",,,,,"208","453","93","133"
"2024_q3",,"Hernia Repair - Umbilical",,"Zone 4","QE2","2024","3","171","373",,
"12month_rolling","Orthopaedic","Amputations","Burgesson, Bernard",,,,,"31","648","24","58"
"2024_q2",,"Palmar Fascia Excision for Dupuytren's Disease",,"Total","Provincial","2024","2","149","716","87","265"
"2025_q1",,"Gastric Surgery",,"Zone 4","QE2","2025","1","10","21","31","51"
"2024_q2",,"Hysteroscopy",,"Zone 3","St. Martha's Regional","2024","2","29","157","70","123"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","O'Sullivan, Colleen M",,,,,"221","410","29","64"
"3month_rolling",,"Gallbladder Surgery",,"Total","Provincial","2025","2","41","191","64","201"
"12month_rolling","General Surgery","Gallbladder Surgery","Nader, Nabil",,,,,"19","61","43","70"
