"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2025_q2",,"Breast Cancer Surgery",,"Zone 1","South Shore Regional","2025","2","24","76","20","31"
"12month_rolling","Urology","Cystoscopy","MacLellan, Dawn",,,,,"53","70","30","102"
"12month_rolling","Thoracic Surgery","Lung Surgery","Ednie, Alexander",,,,,"28","55","34","71"
"12month_rolling","Orthopaedic","Knee Scope","O'Brien, David A",,,,,"97","181","91","161"
"3month_rolling",,"Breast Cancer Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","2","16","34","32","55"
"2024_q1",,"Kidney Stone Surgery",,"Total","Provincial","2024","1","25","104","55","142"
"2024_q2",,"Knee Replacement Revision",,"Zone 4","Dartmouth General","2024","2",,,"68","138"
"2024_q2",,"Hernia Repair - Umbilical",,"Zone 4","Dartmouth General","2024","2","220","543","76","171"
"12month_rolling","Plastic Surgery","Breast Reduction Surgery","Boehm, Kaitlin",,,,,,,"575","580"
"2023_q2",,"Hernia Repair  (Pediatric)",,"Total","Provincial","2023","2","66","123","119","324"
"3month_rolling",,"Female Incontinence Surgery",,"IWK","IWK","2025","2",,,"217","307"
"3month_rolling",,"Cataract Surgery",,"Zone 1","Soldiers Memorial","2025","2","55","385","55","127"
"12month_rolling","Otolaryngology (ENT)","Ear Tubes  (Adult)","Balys, Richard L",,,,,"290","558","77","95"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Kupfer, Nathalie",,,,,"43","204","41","97"
"2023_q2",,"Bowel Resection",,"Zone 4","QE2","2023","2","17","100","34","248"
"12month_rolling",,"Hernia Repair - Ventral",,"Zone 4","QE2","2025","2","188","803","102","840"
"12month_rolling","Plastic Surgery","All","Bezuhly, Michael",,,,,"101","199","117","279"
"12month_rolling","Thoracic Surgery","Lung Surgery","Wallace, Alison",,,,,"36","67","26","71"
"2024_q2",,"Shoulder Arthroscopy",,"Zone 3","Cape Breton Regional","2024","2","188","329","86","127"
"2023_q4",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 3","Cape Breton Regional","2023","4","16","32",,
"2023_q3",,"Gastrointestinal Tract Surgery",,"Zone 1","Yarmouth Regional","2023","3",,,"21","73"
"2024_q3",,"Oculo Plastic Surgery",,"Zone 3","Cape Breton Regional","2024","3",,,"202","323"
"2023_q4",,"Male Reproductive System Surgery",,"Zone 4","QE2","2023","4","66","231","62","224"
"12month_rolling","Ophthalmology","Cataract Surgery","de Saint Sardos, Alexandre Guy William",,,,,"140","193","63","125"
"2023_q4",,"Bowel Resection",,"Zone 4","QE2","2023","4","22","262","31","134"
"2025_q1",,"Ear Tubes  (Pediatric)",,"Total","Provincial","2025","1","58","321","62","132"
"12month_rolling","Orthopaedic","All","McKinnon, Christy",,,,,"45","149","65","286"
"12month_rolling","Obstetrics/Gynaecology","Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)","Black, Brittany",,,,,"70","104","99","245"
"2025_q1",,"Breast Reconstruction",,"Total","Provincial","2025","1","113","1029","96","352"
"12month_rolling",,"Salivary Gland Surgery",,"Zone 4","Dartmouth General","2025","2","17","55","47","172"
"12month_rolling","Neurosurgery","Spinal Cord Stimulation Surgery","Weise, Lutz",,,,,"52","423","64","120"
"2025_q2",,"Hernia Repair - Incisional",,"Zone 4","QE2","2025","2","70","483","90","552"
"2023_q4",,"Hernia Repair  (Adult)",,"Zone 1","South Shore Regional","2023","4","33","164","75","140"
"12month_rolling","Neurosurgery","Craniotomy or Craniectomy","Weise, Lutz",,,,,"177","406","92","143"
"12month_rolling",,"Hernia Repair - Umbilical",,"Zone 3","Glace Bay","2025","2","371","746","57","410"
"2025_q2",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 2","Aberdeen Hospital","2025","2","37","57",,
"2025_q2",,"AV Fistula Creation/Closure",,"Zone 4","QE2","2025","2",,,"18","65"
"12month_rolling",,"Hernia Repair - Inguinal/Femoral",,"Zone 2","Colchester East Hants Health Centre","2025","2","43","91","130","262"
"3month_rolling",,"Septoplasty",,"Zone 4","Hants Community Hospital","2025","2","142","235","102","172"
"2023_q4",,"Dental Extractions and Restorations  (Adult)",,"Zone 4","Dartmouth General","2023","4",,,"84","232"
"2024_q3",,"Bowel Resection - Open",,"Zone 1","South Shore Regional","2024","3","20","37","29","57"
"2024_q4",,"Back Surgery  (Pediatric)",,"IWK","IWK","2024","4",,,"195","517"
"2024_q1",,"Gallbladder Surgery",,"Zone 1","Yarmouth Regional","2024","1","22","34","46","102"
"2024_q1",,"Male Circumcision  (Pediatric)",,"IWK","IWK","2024","1",,,"39","545"
"12month_rolling",,"Cornea and External Disease",,"Zone 4","QE2","2025","2","71","233","135","344"
"2024_q1",,"Knee Replacement",,"Zone 2","Aberdeen Hospital","2024","1","152","281","78","303"
"12month_rolling",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 4","Dartmouth General","2025","2","18","172","31","87"
"2025_q2",,"Spinal Cord Stimulation Surgery",,"Total","Provincial","2025","2",,,"64","69"
"12month_rolling","Dental","Dental Extractions and Restorations  (Pediatric)","James, Lindsay",,,,,"130","490","144","689"
"2024_q2",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 4","Dartmouth General","2024","2","70","356","96","165"
"2024_q4",,"Cystoscopy",,"Zone 4","QE2","2024","4","42","122","49","144"
"2024_q2",,"Kidney / Upper Urinary Tract",,"Zone 3","Cape Breton Regional","2024","2",,,"32","106"
"2024_q2",,"Hysteroscopy",,"Zone 2","Aberdeen Hospital","2024","2","51","334","51","114"
"12month_rolling","Orthopaedic","Knee Scope","Wong, Ivan",,,,,"45","49","151","520"
"2024_q3",,"Sacral Nerve Stimulation",,"Zone 4","QE2","2024","3",,,"101","230"
"2023_q2",,"Surgery for Hearing or Balance Problems of the Ear",,"Zone 3","Cape Breton Regional","2023","2","28","59","81","120"
"12month_rolling",,"Insertion Vascular Access Catheter",,"Zone 2","Colchester East Hants Health Centre","2025","2",,,"7","57"
"12month_rolling","Obstetrics/Gynaecology","Tubal Ligation","Houck, Leslie",,,,,"59","259","43","108"
"12month_rolling","Neurosurgery","Nerve or Brain Stimulation","McNeely, P Daniel",,,,,"23","35","23","258"
"2025_q1",,"Male Reproductive System Surgery",,"IWK","IWK","2025","1","97","675","115","384"
"3month_rolling",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 1","Valley Regional","2025","2","301","1136","67","423"
"2024_q3",,"Breast Reduction Surgery",,"Zone 4","QE2","2024","3","1197","1573","76","152"
"2025_q2",,"Peritoneal Lavage or Catherization",,"Total","Provincial","2025","2",,,"19","60"
"2025_q2",,"Endometrial Ablation",,"Zone 2","Aberdeen Hospital","2025","2","57","125","75","155"
"12month_rolling","Thoracic Surgery","Chest Scopes  (Adult)","French, Daniel Gerard",,,,,"8","12","13","22"
"2024_q1",,"Hernia Repair - Inguinal/Femoral",,"Zone 2","Aberdeen Hospital","2024","1","132","314",,
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Osasere, Michael",,,,,"28","92","122","323"
"12month_rolling","General Surgery","Hemorrhoidectomy","Archibald, Alison",,,,,"220","446","50","203"
"12month_rolling","General Surgery","All","Dzierzanowski, Martin",,,,,"37","75","106","187"
"2025_q2",,"Breast Cancer Surgery",,"Zone 2","Aberdeen Hospital","2025","2","6","8","17","23"
"12month_rolling","Ophthalmology","All","Murphy, Jeremy",,,,,"90","140","91","158"
"2024_q3",,"Back Surgery  (Adult)",,"Total","Provincial","2024","3","104","534","87","253"
"12month_rolling",,"Cystoscopy",,"Zone 1","Valley Regional","2025","2","45","325","44","204"
"2025_q2",,"Hemorrhoidectomy",,"Total","Provincial","2025","2","83","463","80","246"
"2023_q2",,"Cataract Surgery",,"Zone 4","QE2","2023","2","77","212","66","276"
"12month_rolling",,"Aesthetic Surgery",,"Total","Provincial","2025","2","106","498","78","206"
"2025_q1",,"Surgery for Hearing or Balance Problems of the Ear",,"IWK","IWK","2025","1","64","335","77","174"
"2025_q2",,"Dental Extractions and Restorations  (Adult)",,"IWK","IWK","2025","2",,,"374","947"
"2023_q4",,"Cataract Surgery",,"Zone 4","QE2","2023","4","93","238","66","237"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","Joy, Edward",,,,,"25","55","33","74"
"12month_rolling",,"Ankle - Arthrodesis",,"Zone 4","QE2","2025","2","372","599","58","247"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Nader, Nabil",,,,,"11","30","19","33"
"2023_q2",,"Cystoscopy",,"Zone 1","South Shore Regional","2023","2","40","61","29","66"
"2023_q4",,"Nerve Surgery",,"Zone 4","QE2","2023","4","86","540","13","109"
"12month_rolling","General Surgery","Bariatric Surgery (for Weight Loss)","Stewart, Riley",,,,,"245","341","187","386"
"12month_rolling",,"Amputations",,"Zone 3","Cape Breton Regional","2025","2","21","81","16","114"
"2024_q1",,"Video-Assisted Thoracic Surgery",,"Zone 4","QE2","2024","1","23","46","41","84"
"2024_q3",,"Tendon / Ligament Repair",,"Total","Provincial","2024","3","70","309","64","387"
"2025_q1",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 3","St. Martha's Regional","2025","1","34","240","275","573"
"12month_rolling","General Surgery","AV Fistula Creation/Closure","Hiebert, Stephanie",,,,,"15","38","25","42"
"2024_q3",,"Pacemaker Insertion",,"Zone 2","Aberdeen Hospital","2024","3",,,"57","120"
"2023_q2",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","Yarmouth Regional","2023","2","14","97","40","53"
"2025_q1",,"Breast Cancer Surgery",,"Zone 1","Yarmouth Regional","2025","1","14","27","31","36"
"12month_rolling","General Surgery","Bowel Resection","McWilliams, Colin",,,,,"16","40","16","28"
"12month_rolling","Plastic Surgery","Carpal Tunnel Surgery","Singh, Ashvir",,,,,"40","137","87","172"
"2025_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 4","Dartmouth General","2025","1","115","380","122","159"
"12month_rolling","Orthopaedic","Cervical Spine (Neck) Surgery","Glennie, Raymond Andrew",,,,,"79","603","76","146"
"2024_q2",,"Tear Duct Surgery",,"Zone 4","QE2","2024","2","37","136",,
"12month_rolling","Obstetrics/Gynaecology","All","McIntyre, Alison",,,,,"28","364","35","72"
"2025_q2",,"Knee Replacement Revision",,"Zone 4","QE2","2025","2",,,"112","416"
"12month_rolling","Ophthalmology","All","Oladiwura, Dilys",,,,,"183","942","95","236"
"2025_q1",,"Hysteroscopy",,"Zone 1","Yarmouth Regional","2025","1","44","138","30","52"
"12month_rolling","General Surgery","Bowel Resection","Hossain, Farisa",,,,,"17","92","23","51"
"2024_q2",,"Breast Reduction Surgery",,"Total","Provincial","2024","2","989","1226","100","362"
"2024_q1",,"Gastrointestinal Tract Surgery",,"IWK","IWK","2024","1",,,"76","103"
"2023_q4",,"Sacral Nerve Stimulation",,"Total","Provincial","2023","4",,,"127","168"
"2023_q2",,"Carpal Tunnel Surgery",,"Zone 3","St. Martha's Regional","2023","2",,,"90","307"
"12month_rolling","Orthopaedic","Tendon / Ligament Repair","Dodd, Faith",,,,,"249","437","74","98"
"2023_q3",,"Carpal Tunnel Surgery",,"Total","Provincial","2023","3","70","335","73","228"
"2025_q1",,"Hernia Repair - Inguinal/Femoral",,"Zone 1","Valley Regional","2025","1","49","374","84","373"
"2023_q4",,"Hand / Upper Extremity",,"Total","Provincial","2023","4","112","378","97","419"
"12month_rolling","Plastic Surgery","Aesthetic Surgery","Bezuhly, Michael",,,,,"58","92","155","279"
"2023_q2",,"Gallbladder Surgery",,"Zone 3","St. Martha's Regional","2023","2","20","67","100","163"
"3month_rolling",,"Hernia Repair  (Adult)",,"Zone 1","Valley Regional","2025","2","84","854","75","170"
"12month_rolling",,"Hysteroscopy",,"Zone 2","Cumberland Regional","2025","2","46","53","40","168"
"12month_rolling","Obstetrics/Gynaecology","All","Bal, Navpreet",,,,,"57","945","48","168"
"2023_q2",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 1","Valley Regional","2023","2",,,"71","146"
"2024_q1",,"Gastrointestinal Tract Surgery",,"Total","Provincial","2024","1","43","231","48","120"
"2025_q1",,"Carotid Endarterectomy",,"Total","Provincial","2025","1",,,"10","26"
"2024_q2",,"Lung Surgery",,"Total","Provincial","2024","2","25","72","29","62"
"2024_q2",,"Insertion Vascular Access Catheter",,"IWK","IWK","2024","2",,,"40","166"
"2023_q4",,"Cataract Surgery",,"Zone 2","Colchester East Hants Health Centre","2023","4","170","371","60","140"
"12month_rolling",,"Vitreoretinal Diseases",,"Total","Provincial","2025","2","33","181","21","87"
"2024_q2",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven)",,"Total","Provincial","2024","2","29","332","42","58"
"12month_rolling","Otolaryngology (ENT)","Ear Tubes  (Pediatric)","Johnson, Liane",,,,,"74","383","86","145"
"2024_q2",,"Kidney Stone Surgery",,"Zone 4","Dartmouth General","2024","2","55","112",,
"12month_rolling",,"Gastrointestinal Tract Surgery",,"Zone 4","Hants Community Hospital","2025","2",,,"36","85"
"2023_q3",,"Gastrointestinal Tract Surgery",,"Zone 1","South Shore Regional","2023","3","17","63","18","44"
"2025_q1",,"Bladder Cancer Surgery",,"Zone 1","Yarmouth Regional","2025","1",,,"41","97"
"3month_rolling",,"Tonsillectomy and/or Adenoidectomy  (Adult)",,"Zone 3","Cape Breton Regional","2025","2","37","70",,
"12month_rolling","Otolaryngology (ENT)","Functional Endoscopic Sinus Surgery (FESS)","Fowler, James",,,,,"27","55","47","101"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Knapp, Gregory",,,,,"11","33","30","46"
"12month_rolling","Orthopaedic","Tendon / Ligament Repair","McPherson, John",,,,,"93","375","48","149"
"2025_q2",,"Maxillofacial Deformity Surgery",,"Zone 4","QE2","2025","2","314","635","177","483"
"2024_q2",,"Hysteroscopy",,"Zone 1","Valley Regional","2024","2","59","159","61","135"
"12month_rolling","General Surgery","All","Murdoch, John L",,,,,"181","421","57","177"
"12month_rolling","Ophthalmology","Vitreoretinal Diseases","Gupta, Rudra Rishi",,,,,"34","122","44","103"
"12month_rolling","Otolaryngology (ENT)","Functional Endoscopic Sinus Surgery (FESS)","Kujath, Magdalena",,,,,"58","209","173","355"
"12month_rolling","Ophthalmology","Cataract Surgery","Zaki, Amr M",,,,,"85","427","43","125"
"2024_q3",,"Orthopaedic Trauma",,"Zone 4","QE2","2024","3",,,"109","134"
"3month_rolling",,"Bowel Resection",,"Zone 2","Cumberland Regional","2025","2",,,"20","36"
"12month_rolling",,"Video-Assisted Thoracic Surgery",,"Total","Provincial","2025","2","27","65","29","70"
"12month_rolling","General Surgery","Bowel Resection - Open","Drohan, Ashley",,,,,"15","174","26","46"
"12month_rolling","Ophthalmology","Strabismus Surgery  (Adult)","Dahrab, Mishari M",,,,,"192","561","158","288"
"2023_q2",,"Carpal Tunnel Surgery",,"Zone 4","Dartmouth General","2023","2",,,"40","278"
"12month_rolling","Plastic Surgery","Hand / Upper Extremity","LeBlanc, Martin",,,,,"450","708","50","96"
"2024_q3",,"Hip Replacement Revision",,"Total","Provincial","2024","3","26","90","68","295"
"2025_q2",,"Cardioversion",,"Total","Provincial","2025","2",,,"10","11"
"12month_rolling","Plastic Surgery","All","Paletz, Justin L",,,,,"209","1308","34","105"
"12month_rolling","General Surgery","Breast Cancer Surgery","Dzierzanowski, Martin",,,,,"19","26","20","42"
"12month_rolling","Ophthalmology",,,,,"2025","2",,,"58","157"
"2024_q3",,"Nerve or Brain Stimulation",,"Zone 4","QE2","2024","3","17","21",,
"2025_q1",,"Temperomandibular Joint Surgery (TMJ)",,"Zone 4","QE2","2025","1","198","691","86","250"
"2025_q1",,"Tubal Ligation",,"Total","Provincial","2025","1","69","352",,
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Jad, Ahmed",,,,,"28","29","16","28"
"2023_q4",,"Knee Replacement Revision",,"Total","Provincial","2023","4","83","335","64","186"
"2024_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","Yarmouth Regional","2024","1","85","183","77","126"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","King, Jenelle",,,,,"10","25","13","24"
"2023_q2",,"Gallbladder Surgery",,"Zone 1","South Shore Regional","2023","2","33","71","25","97"
"12month_rolling","Ophthalmology","Strabismus Surgery  (Pediatric)","Dahrab, Mishari M",,,,,"198","236","137","318"
"2024_q4",,"Cardioversion",,"Total","Provincial","2024","4",,,"17","28"
"2024_q3",,"Cataract Surgery",,"Zone 1","South Shore Regional","2024","3","132","163","76","417"
"3month_rolling",,"Septoplasty",,"Zone 3","Glace Bay","2025","2",,,"305","347"
"2023_q4",,"Knee Replacement",,"Zone 1","Valley Regional","2023","4","389","442","412","637"
"3month_rolling",,"Cataract Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","2","102","199","101","133"
"2024_q3",,"Nose Surgery - Reconstructive or Aesthetic",,"Total","Provincial","2024","3","56","144","29","56"
"2024_q3",,"Tubal Ligation",,"Total","Provincial","2024","3","21","35",,
"2025_q1",,"Thyroid or Parathyroid Surgery",,"Zone 2","Cumberland Regional","2025","1","55","298","97","141"
"2025_q2",,"Nerve or Brain Stimulation",,"Total","Provincial","2025","2","20","23","37","87"
"2024_q3",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","St. Martha's Regional","2024","3",,,"40","48"
"12month_rolling","Otolaryngology (ENT)","Ear Tubes  (Pediatric)","Clifton, Neil",,,,,"58","116","34","83"
"12month_rolling",,"Hernia Repair - Laparoscopic Ventral",,"Total","Provincial","2025","2","85","455","79","312"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Vair, Brett",,,,,"36","189","44","87"
"2024_q1",,"Breast Cancer Surgery",,"Zone 1","Valley Regional","2024","1","20","48","29","42"
"12month_rolling",,"Bowel Resection - Open",,"Zone 2","Colchester East Hants Health Centre","2025","2","39","88","41","61"
"2025_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 1","South Shore Regional","2025","2","74","199","92","260"
"12month_rolling","General Surgery","Bowel Resection","Enright, Jonathan Boyde",,,,,"14","76","31","80"
"2025_q2",,"Breast Reduction Surgery",,"Zone 3","St. Martha's Regional","2025","2","182","213",,
"2024_q2",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 3","St. Martha's Regional","2024","2","125","272","173","297"
"2024_q1",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","Cape Breton Regional","2024","1","95","203","218","340"
"2025_q2",,"Gallbladder Surgery",,"Total","Provincial","2025","2","41","191","64","201"
"2024_q1",,"Cardiovascular Surgery",,"Zone 4","QE2","2024","1",,,"7","54"
"2024_q4",,"Brain Surgery  (Pediatric)",,"IWK","IWK","2024","4",,,"21","74"
"2024_q3",,"Hernia Repair - Inguinal/Femoral",,"Total","Provincial","2024","3","64","340","77","265"
"2024_q1",,"Hernia Repair  (Pediatric)",,"Total","Provincial","2024","1","70","149","218","436"
"2023_q2",,"Kidney Stone Surgery",,"Zone 3","Cape Breton Regional","2023","2",,,"69","288"
"12month_rolling","General Surgery","Bowel Resection - Open","Archibald, Alison",,,,,"14","170","33","50"
"2024_q1",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 4","QE2","2024","1","331","729","90","218"
"12month_rolling","General Surgery","Bowel Resection","Walsh, Mark J",,,,,"10","23","32","66"
"2024_q1",,"Shoulder Arthroscopy",,"Zone 2","Aberdeen Hospital","2024","1","249","431","99","168"
"2025_q1",,"Laryngology and Vocal Cord Surgery",,"Zone 4","QE2","2025","1","61","105","61","401"
"3month_rolling",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 3","Cape Breton Regional","2025","2","88","331","159","313"
"12month_rolling","Oral Maxillofacial","All","Powell, Joel",,,,,"68","152","125","260"
"3month_rolling",,"Hernia Repair  (Adult)",,"Zone 3","Cape Breton Regional","2025","2","156","608","83","195"
"2024_q1",,"AV Fistula Creation/Closure",,"Zone 4","QE2","2024","1",,,"47","97"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Johnson, Paul M",,,,,"24","236","33","97"
"2025_q1",,"Hernia Repair - Incisional",,"Zone 4","QE2","2025","1","200","501","132","277"
"2024_q3",,"Male Reproductive System Surgery",,"Zone 4","QE2","2024","3","87","190","106","313"
"2023_q2",,"Pelvic Floor Repair",,"Zone 2","Colchester East Hants Health Centre","2023","2","205","361",,
"12month_rolling","Orthopaedic","Hip Replacement","Armstrong, Luke",,,,,"174","461","120","293"
"12month_rolling","Orthopaedic","All","Smith, Thomas Duncan",,,,,,,"203","317"
"3month_rolling",,"Knee Replacement",,"Zone 3","Cape Breton Regional","2025","2","154","315","71","195"
"12month_rolling",,"Hip Arthroscopy",,"Total","Provincial","2025","2","70","277","205","505"
"2025_q1",,"Prostatectomy",,"Zone 4","QE2","2025","1","24","68","107","172"
"12month_rolling","Orthopaedic","Hip Replacement","Murphy, Nadia L",,,,,"181","624","175","241"
"3month_rolling",,"Thyroid or Parathyroid Surgery",,"Zone 2","Cumberland Regional","2025","2","63","208","77","133"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","Watson-Jessome, Jane",,,,,"42","42","43","101"
"12month_rolling","Orthopaedic","Back Surgery  (Adult)","Oxner, William",,,,,"101","623","78","130"
"2023_q4",,"Functional Endoscopic Sinus Surgery (FESS)",,"Total","Provincial","2023","4","35","204","104","255"
"12month_rolling","General Surgery","Bowel Resection","Nader, Nabil",,,,,"12","30","21","41"
"3month_rolling",,"Dental Extractions and Restorations  (Adult)",,"Zone 1","South Shore Regional","2025","2","74","199","92","260"
"2024_q4",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 3","Cape Breton Regional","2024","4","46","475","231","700"
"2024_q1",,"Hysteroscopy",,"Zone 2","Aberdeen Hospital","2024","1","44","504","34","58"
"2023_q3",,"Hemorrhoidectomy",,"Total","Provincial","2023","3","95","160","97","295"
"2025_q1",,"Bladder Cancer Surgery",,"Zone 1","South Shore Regional","2025","1",,,"30","53"
"2024_q1",,"Pelvic Floor Repair",,"IWK","IWK","2024","1","144","919","185","265"
"2023_q4",,"Carpal Tunnel Surgery",,"Zone 4","Hants Community Hospital","2023","4",,,"71","190"
"12month_rolling","General Surgery","Gallbladder Surgery","Murdoch, John L",,,,,"146","413","58","111"
"12month_rolling","Orthopaedic","All","Hewins, Edward",,,,,"141","391","123","267"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","O'Sullivan, Colleen M",,,,,"388","421","83","124"
"2024_q3",,"Whipple Procedures",,"Total","Provincial","2024","3","11","20","29","230"
"12month_rolling","Otolaryngology (ENT)","All","Hudson, Thomas",,,,,"14","61","26","68"
"2025_q1",,"Lymph Node Biopsy",,"Zone 4","QE2","2025","1","15","28","30","62"
"12month_rolling","Plastic Surgery","Orthopaedic Trauma","Singh, Ashvir",,,,,"7","25","4","30"
"2024_q2",,"Hernia Repair  (Adult)",,"Total","Provincial","2024","2","59","427","76","224"
"2023_q4",,"Back Surgery  (Pediatric)",,"IWK","IWK","2023","4",,,"253","617"
"12month_rolling","Thoracic Surgery","Esophagectomy / Esophageal Surgery","French, Daniel Gerard",,,,,"15","23","33","104"
"12month_rolling","Otolaryngology (ENT)","Nose Surgery - Reconstructive or Aesthetic","Taylor, S. Mark",,,,,"22","54","62","184"
"2024_q4",,"Knee Scope with ACL Repair",,"Zone 4","QE2","2024","4","72","133","98","239"
"2023_q2",,"Back Surgery  (Adult)",,"Total","Provincial","2023","2","70","477","122","306"
"12month_rolling","Orthopaedic","All","Dodd, Faith",,,,,"120","352","69","149"
"2023_q3",,"Prostate Cancer Surgery",,"Total","Provincial","2023","3","22","66","123","217"
"12month_rolling",,"Congenital Heart Surgery",,"IWK","IWK","2025","2",,,"33","76"
"2024_q1",,"Bowel Resection - Laparoscopic",,"Total","Provincial","2024","1","20","136","30","91"
"12month_rolling","Urology","Prostate Cancer Surgery","Mason, Ross",,,,,"36","78","117","225"
"2023_q3",,"Carpal Tunnel Surgery",,"Zone 1","Valley Regional","2023","3","163","356","122","192"
"2025_q1",,"Aesthetic Surgery",,"Total","Provincial","2025","1","171","575","49","188"
"2024_q3",,"Head and Neck Surgery",,"Zone 4","Dartmouth General","2024","3","11","83","87","359"
"2023_q3",,"Sacral Nerve Stimulation",,"Zone 4","QE2","2023","3",,,"93","143"
"2023_q3",,"Bowel Resection - Laparoscopic",,"Zone 3","Cape Breton Regional","2023","3","24","121","17","34"
"12month_rolling",,"Hernia Repair - Umbilical",,"Zone 2","Cumberland Regional","2025","2","69","139","56","109"
"2024_q4",,"Septoplasty",,"Zone 2","Cumberland Regional","2024","4",,,"109","222"
"2024_q2",,"Gallbladder Surgery",,"Zone 4","Hants Community Hospital","2024","2","48","182","26","89"
"2023_q3",,"Breast Reduction Surgery",,"Zone 4","QE2","2023","3","1187","1367","109","231"
"2023_q4",,"Coronary Artery Bypass Graft",,"Zone 4","QE2","2023","4",,,"7","30"
"3month_rolling",,"Shoulder Arthroscopy",,"Zone 1","Valley Regional","2025","2","234","600","143","250"
"3month_rolling",,"Functional Endoscopic Sinus Surgery (FESS)",,"Total","Provincial","2025","2","41","132","129","343"
"2024_q3",,"Hysterectomy  (Cancer Not Suspected)",,"IWK","IWK","2024","3","144","667","213","409"
"2024_q4",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 4","Dartmouth General","2024","4","16","103","37","53"
"2024_q3",,"Prostate Surgery",,"Zone 4","Dartmouth General","2024","3","43","104","134","335"
"12month_rolling","All Specialties",,,,,"2025","2",,,"65","257"
"2023_q3",,"Bowel Resection",,"Zone 1","Yarmouth Regional","2023","3",,,"16","62"
"12month_rolling",,"Osteotomy",,"Total","Provincial","2025","2","107","635","107","255"
"12month_rolling","General Surgery","Bowel Resection","Poushay, Heather",,,,,"19","61","12","19"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Watson-Jessome, Jane",,,,,"240","296","36","99"
"2024_q3",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 1","South Shore Regional","2024","3",,,"18","98"
"12month_rolling","Orthopaedic","Carpal Tunnel Surgery","Hewins, Edward",,,,,"215","391","85","147"
"12month_rolling","Orthopaedic","Knee Replacement","Howatt, Jonathan",,,,,"430","477","361","563"
"2024_q3",,"Knee Scope",,"Zone 4","Hants Community Hospital","2024","3","105","331","85","141"
"12month_rolling","Urology","All","Whelan, Emily",,,,,"54","363","47","167"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Murphy, Christopher",,,,,"21","40","29","50"
"3month_rolling",,"Carpal Tunnel Surgery",,"Zone 3","Inverness Consolidated Memorial","2025","2","147","235","67","72"
"2025_q1",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 4","Dartmouth General","2025","1","88","260","116","208"
"2025_q1",,"Kidney Removal",,"Zone 4","QE2","2025","1","15","48","80","145"
"2023_q3",,"Maxillofacial Deformity Surgery",,"Zone 4","QE2","2023","3","258","400","247","541"
"2025_q1",,"Knee Replacement Revision",,"Zone 4","QE2","2025","1",,,"84","334"
"12month_rolling","Vascular Surgery","Bowel Resection - Open","Heisler, Benjamin",,,,,"10","66","34","54"
"2023_q3",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 3","Glace Bay","2023","3",,,"100","280"
"3month_rolling",,"Hip Replacement Revision",,"Total","Provincial","2025","2","104","154","137","420"
"12month_rolling",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 4","QE2","2025","2","30","234","41","247"
"2024_q2",,"Thyroid or Parathyroid Surgery",,"Zone 3","Cape Breton Regional","2024","2","49","154","254","491"
"2025_q1",,"Cardiovascular Surgery",,"Zone 4","QE2","2025","1",,,"61","102"
