busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS1474,6042,Arklow Dr Before Ashley Dr (6042),1,INS,0,44.678066,-63.483383
BS1475,6043,Arklow Dr Before Civic 238 (6043),0,INS,0,44.68017,-63.488755
BS1476,6044,Arklow Dr Before John Stewart Dr (6044),1,INS,0,44.676484,-63.480199
BS1477,6045,Arklow Dr After Dalkeith Dr (6045),1,INS,0,44.67829,-63.487273
BS1478,6046,Ashgrove Ave Before Ancaster Ct (6046),0,INS,0,44.667456,-63.484917
BS1479,6047,Ashgrove Ave After Avondale Rd (6047),1,INS,0,44.67035,-63.482537
BS148,8276,Shore Rd After Normans Ln (8276),1,INS,0,44.607194,-63.489862
BS1480,6048,Ashgrove Ave After Cole Harbour Rd (6048),0,INS,1,44.671928,-63.483152
BS1481,6049,Ashgrove Ave Before Addison Pl (6049),0,INS,0,44.668483,-63.483117
BS1482,6050,Astral Dr Before Caldwell Rd (6050),1,INS,0,44.656783,-63.488831
BS1485,6053,Astral Dr After Brookfield Ave (6053),1,INS,0,44.655224,-63.481013
BS1486,6054,Astral Dr Before Brookfield Ave (6054),1,INS,0,44.655314,-63.481229
BS1487,6055,Astral Dr Before Carisbrooke Ln (6055),0,INS,0,44.650962,-63.475393
BS1488,6056,Astral Dr After Willowdale Dr (6056),1,INS,0,44.65726,-63.487339
BS1489,6057,Astral Dr Before Grenadier Dr (6057),1,INS,0,44.657108,-63.4826
BS149,8277,Shore Rd Before Normans Ln (8277),1,INS,1,44.606194,-63.488108
BS1490,6058,Astral Dr Before Shrewsbury Rd (6058),0,INS,0,44.651732,-63.47668
BS1491,6059,Astral Dr Before Spence Dr (6059),1,INS,0,44.657797,-63.485786
BS1492,6060,Astral Dr Before Spence Dr (6060),1,INS,0,44.65804,-63.485416
BS1496,8057,Portland St Before Canal St (8057),1,INS,0,44.667861,-63.562681
BS1497,8058,Portland St Before James St (8058),1,INS,0,44.669099,-63.557619
BS1498,8059,Portland St Before Lakefront Rd (8059),1,INS,0,44.667462,-63.548839
BS1499,8060,Portland St Before St Georges Ln (8060),1,INS,0,44.669202,-63.557559
BS15,8913,Hwy 7 After Laurie Ln (8913),0,INS,0,44.738765,-63.305593
BS1500,8062,Portland St After Rodney Rd (8062),1,INS,0,44.667755,-63.550567
BS1502,8065,Primrose St Before Victoria Rd (8065),1,INS,0,44.682325,-63.585846
BS1503,8066,Prince Albert Rd After Bartlin Rd (8066),1,INS,0,44.6804,-63.547918
BS1504,8067,Sinclair St Before Prince Albert Rd (8067),1,INS,0,44.677816,-63.555207
BS1505,8068,Prince Albert Rd After Celtic Dr (8068),1,INS,0,44.678836,-63.552239
BS1506,8069,Prince Albert Rd Before Celtic Dr (8069),1,INS,1,44.67896,-63.552172
BS1507,8070,Princess Margaret Blvd After Hudson Way (8070),1,INS,0,44.686048,-63.603063
BS1508,8071,Princess Margaret Blvd At Civic 40 (8071),1,INS,0,44.686817,-63.6065
BS1509,8072,Princess Margaret Blvd At Civic 55 (8072),1,INS,1,44.688155,-63.607059
BS1510,6807,Hammonds Plains Rd Before Lucasville Rd (6807),0,INS,0,44.733034,-63.761985
BS1511,6808,Hammonds Plains Rd Before Glen Arbour Way (6808),0,INS,0,44.733812,-63.783496
BS1512,8326,Spring Ave After Dorothea Dr (8326),1,INS,0,44.676109,-63.516786
BS1513,6809,Hammonds Plains Rd After Glen Arbour Way (6809),0,INS,0,44.73384,-63.783794
BS1514,6810,Hammonds Plains Rd After Pockwock Rd (6810),0,INS,0,44.734899,-63.790941
BS1515,6811,Hammonds Plains Rd After Lucasville Rd (6811),0,INS,0,44.732784,-63.760988
BS1516,6812,Hammonds Plains Rd After Crestfield Dr (6812),0,INS,0,44.724733,-63.737556
BS1517,6813,Hammonds Plains Rd After Northwood Rd (6813),0,INS,0,44.722027,-63.823287
BS1518,6814,Hammonds Plains Rd After Rockcliffe Cr (6814),0,INS,0,44.714123,-63.834224
BS1519,6815,Hammonds Plains Rd After Stillwater Lake Dr (6815),0,INS,0,44.707447,-63.848751
BS152,8280,Simmonds Rd After North Preston Rd (8280),0,INS,0,44.746213,-63.465211
BS1520,6816,Hammonds Plains Rd After St George Blvd (6816),0,INS,0,44.726595,-63.743191
BS1521,6817,Hammonds Plains Rd After St George Blvd (6817),0,INS,0,44.727052,-63.744399
BS1522,6818,Hammonds Plains Rd Before Brookshire Ct (6818),1,INS,0,44.720568,-63.687474
BS1523,6819,Hammonds Plains Rd At Civic 1541 (6819),0,INS,0,44.730724,-63.754067
BS1524,6820,Hammonds Plains Rd Before Civic 1881 (6820),0,INS,0,44.733835,-63.772252
BS1525,6821,Hammonds Plains Rd Before Civic 2465 (6821),0,INS,0,44.73405,-63.8056
BS1526,6822,Hammonds Plains Rd After Nottingham Dr (6822),0,INS,0,44.710158,-63.842669
BS1527,6823,Hammonds Plains Rd After Ellard Ln (6823),0,INS,0,44.730953,-63.754782
BS1528,6824,Hammonds Plains Rd After Winslow Dr (6824),0,INS,0,44.707388,-63.849156
BS1529,9003,Aerotech Dr Before Pratt & Whitney Dr (9003),0,INS,0,44.856304,-63.543733
BS153,8281,Simmonds Rd Before North Preston Rd (8281),0,INS,0,44.746165,-63.46498
BS1530,9004,Aerotech Dr After Pratt & Whitney Dr (9004),0,INS,0,44.856379,-63.543986
BS1531,8323,Spikenard St Before Louisburg Ln (8323),1,INS,0,44.680267,-63.531532
BS1539,7059,King St Before Ochterloney St (7059),1,INS,0,44.666524,-63.568195
BS154,8282,Simmonds Rd At Community Centre (8282),1,INS,1,44.745699,-63.46706
