facility_id,facility_name,town,postal_code,zone,facility_type,sea_participating,longitude,latitude,facility_total_beds,bed_type,is_core_bed,beds
CDEC,Cedarstone Enhanced Care,Truro,B2N 7H2,Northern,Nursing Home,Y,-63.275942,45.350124,125,nursing_respite,0,1
CDEC,Cedarstone Enhanced Care,Truro,B2N 7H2,Northern,Nursing Home,Y,-63.275942,45.350124,125,residential,1,0
CDEC,Cedarstone Enhanced Care,Truro,B2N 7H2,Northern,Nursing Home,Y,-63.275942,45.350124,125,residential_respite,0,0
CFDM,Carefield Manor,Dominion,B1G 1B3,Eastern,Residential Care Facility,Y,-60.02201,46.210733,16,nursing,1,0
CFDM,Carefield Manor,Dominion,B1G 1B3,Eastern,Residential Care Facility,Y,-60.02201,46.210733,16,nursing_respite,0,0
CFDM,Carefield Manor,Dominion,B1G 1B3,Eastern,Residential Care Facility,Y,-60.02201,46.210733,16,residential,1,16
CFDM,Carefield Manor,Dominion,B1G 1B3,Eastern,Residential Care Facility,Y,-60.02201,46.210733,16,residential_respite,0,0
CHGM,Chignecto Manor Co-Operative,Advocate Harbour,B0M 1A0,Northern,Residential Care Facility,Y,-64.778214,45.335725,14,nursing,1,0
CHGM,Chignecto Manor Co-Operative,Advocate Harbour,B0M 1A0,Northern,Residential Care Facility,Y,-64.778214,45.335725,14,nursing_respite,0,0
CHGM,Chignecto Manor Co-Operative,Advocate Harbour,B0M 1A0,Northern,Residential Care Facility,Y,-64.778214,45.335725,14,residential,1,14
CHGM,Chignecto Manor Co-Operative,Advocate Harbour,B0M 1A0,Northern,Residential Care Facility,Y,-64.778214,45.335725,14,residential_respite,0,0
CHVM,Camp Hill Veterans Memorial Building,Halifax,B3H 2E1,Central,Nursing Home,Y,-63.587366,44.644093,67,nursing,1,67
CHVM,Camp Hill Veterans Memorial Building,Halifax,B3H 2E1,Central,Nursing Home,Y,-63.587366,44.644093,67,nursing_respite,0,0
CHVM,Camp Hill Veterans Memorial Building,Halifax,B3H 2E1,Central,Nursing Home,Y,-63.587366,44.644093,67,residential,1,0
CHVM,Camp Hill Veterans Memorial Building,Halifax,B3H 2E1,Central,Nursing Home,Y,-63.587366,44.644093,67,residential_respite,0,0
CLCT,Celtic Court,Sydney,B1S 2R5,Eastern,Nursing Home,Y,-60.194658,46.121974,36,nursing,1,36
CLCT,Celtic Court,Sydney,B1S 2R5,Eastern,Nursing Home,Y,-60.194658,46.121974,36,nursing_respite,0,0
CLCT,Celtic Court,Sydney,B1S 2R5,Eastern,Nursing Home,Y,-60.194658,46.121974,36,residential,1,0
