OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D,x,y
47,GO,1530560,7/7/2026 12:00:00 AM,QUEEN ST,2132,THEFT FROM VEHICLE,-7076976.20945083,5565115.69571499
48,GO,1530886,7/8/2026 12:00:00 AM,NANTUCKET AVE,1420,ASSAULT,-7077093.16856406,5569782.28088128
49,GO,1530873,7/8/2026 12:00:00 AM,HAYES ST,1430,ASSAULT,-7078884.7948227,5556516.06385884
50,GO,1531341,7/8/2026 12:00:00 AM,GLORIA MCCLUSKEY AVE,1430,ASSAULT,-7078793.63422144,5578160.55972027
51,GO,1530785,7/8/2026 12:00:00 AM,GREEN ST,2142,THEFT FROM VEHICLE,-7076729.35962892,5564641.72137885
52,GO,1530858,7/8/2026 12:00:00 AM,INNOVATION DR,2142,THEFT FROM VEHICLE,-7091174.60813521,5577978.07064638
53,GO,1530976,7/8/2026 12:00:00 AM,NORTH ST,2142,THEFT FROM VEHICLE,-7079459.88958274,5567207.82377651
54,GO,1530791,7/8/2026 12:00:00 AM,BRULE ST,2142,THEFT FROM VEHICLE,-7078531.04674792,5571739.66279516
55,GO,1530747,7/8/2026 12:00:00 AM,PORTLAND PL,2120,BREAK AND ENTER,-7077828.0695358,5566881.14980832
56,GO,1530760,7/8/2026 12:00:00 AM,HIGHFIELD PARK DR,2142,THEFT FROM VEHICLE,-7078120.80268459,5572684.54832188
57,GO,1530828,7/8/2026 12:00:00 AM,MUMFORD RD,1420,ASSAULT,-7082305.369522,5565807.79436702
58,GO,1530761,7/8/2026 12:00:00 AM,SPRING GARDEN RD,2142,THEFT FROM VEHICLE,-7078161.52847447,5565194.20920715
59,GO,1531072,7/9/2026 12:00:00 AM,PORTLAND ST,1430,ASSAULT
60,GO,1530771,7/8/2026 12:00:00 AM,PINECREST DR,2142,THEFT FROM VEHICLE,-7078385.76197763,5572181.59830421
61,GO,1530956,7/9/2026 12:00:00 AM,MARKETWAY LANE,2120,BREAK AND ENTER,-7093328.33084077,5565273.55894932
62,GO,1531093,7/9/2026 12:00:00 AM,BARRINGTON ST,1430,ASSAULT,-7077005.67973278,5566079.02015941
63,GO,1531181,7/9/2026 12:00:00 AM,HERRING COVE RD,2142,THEFT FROM VEHICLE,-7081087.59686142,5559203.46434493
64,GO,1531110,7/9/2026 12:00:00 AM,SPINNAKER DR,2142,THEFT FROM VEHICLE,-7081857.8550109,5564409.56110373
65,GO,1531189,7/9/2026 12:00:00 AM,CALDWELL RD,1430,ASSAULT,-7066677.68145547,5565992.32904255
66,GO,1531124,7/9/2026 12:00:00 AM,LUNDYS LANE / WELLINGTON ST,2135,THEFT OF VEHICLE,-7077719.11747314,5564269.66960066
67,GO,1531157,7/9/2026 12:00:00 AM,OSTREA LAKE RD,2135,THEFT OF VEHICLE,-7020244.60929876,5575635.74889767
68,GO,1531095,7/9/2026 12:00:00 AM,SMITHS POINT RD,1430,ASSAULT,-6939160.68715623,5607448.04798902
69,GO,1531119,7/9/2026 12:00:00 AM,JOYCE CRT,1430,ASSAULT,-7056913.93712727,5580745.54026725
70,GO,1531184,7/9/2026 12:00:00 AM,BRUNSWICK ST,1420,ASSAULT,-7078353.46297307,5567557.92228681
71,GO,1531132,7/9/2026 12:00:00 AM,INGLIS ST,1460,ASSAULT,-7076813.67725143,5564129.80478401
72,GO,1531276,7/9/2026 12:00:00 AM,WINDMILL RD,2142,THEFT FROM VEHICLE,-7079419.47679532,5571580.74412057
73,GO,1531107,7/9/2026 12:00:00 AM,HILLTOP DR,1420,ASSAULT,-7090866.17187181,5584535.89450341
74,GO,1530984,7/9/2026 12:00:00 AM,MEADOWLARK CRES,2142,THEFT FROM VEHICLE,-7086146.12782372,5569444.55163745
75,GO,1531185,7/9/2026 12:00:00 AM,ROBIE ST,1430,ASSAULT,-7078920.09976479,5566126.34990685
76,GO,1530971,7/9/2026 12:00:00 AM,CLEARVIEW DR,1430,ASSAULT,-7088288.67213377,5578970.73503685
77,GO,1530963,7/9/2026 12:00:00 AM,CONNOLLY RD,2120,BREAK AND ENTER,-7090937.63950441,5586589.0228843
78,GO,1531407,7/10/2026 12:00:00 AM,NADIA DR,2142,THEFT FROM VEHICLE,-7079163.50119495,5571716.07710981
79,GO,1531438,7/10/2026 12:00:00 AM,BRAEMAR DR,1430,ASSAULT,-7073880.71305546,5572717.89285246
80,GO,1531249,7/10/2026 12:00:00 AM,WILLOW ST,2142,THEFT FROM VEHICLE,-7079479.35957836,5567034.67808349
81,GO,1531272,7/10/2026 12:00:00 AM,KEMPT RD,2142,THEFT FROM VEHICLE,-7082231.21893485,5568641.10328945
82,GO,1531454,7/10/2026 12:00:00 AM,ALDERNEY DR,2132,THEFT FROM VEHICLE,-7076616.27005241,5569038.79072218
83,GO,1531436,7/10/2026 12:00:00 AM,SOUTH PARK ST,1420,ASSAULT,-7077633.05751368,5565285.36790181
84,GO,1531345,7/10/2026 12:00:00 AM,ROBIE ST,2135,THEFT OF VEHICLE,-7079468.58939398,5567574.47334941
85,GO,1531472,7/10/2026 12:00:00 AM,HARVARD ST,2142,THEFT FROM VEHICLE,-7079994.78076259,5566177.56779867
86,GO,1531227,7/10/2026 12:00:00 AM,SACKVILLE DR,2120,BREAK AND ENTER,-7089578.48929517,5585180.56653832
87,GO,1531297,7/10/2026 12:00:00 AM,WALKER AVE,1430,ASSAULT,-7090254.67440957,5584611.28856902
88,GO,1531382,7/10/2026 12:00:00 AM,GOVERNORS CRT,2132,THEFT FROM VEHICLE,-7087033.91510313,5579485.75580531
89,GO,1531357,7/10/2026 12:00:00 AM,SKEENA ST,1430,ASSAULT,-7084285.16861796,5567681.02131569
90,GO,1531461,7/11/2026 12:00:00 AM,CUNARD ST,1430,ASSAULT,-7078421.75051916,5566988.34801539
