permit_number,issue_year,issue_month,community,district,work_type,primary_work_scope,project_value,net_new_units,storeys,permit_status,lat,lon
BPCOM-2021-15645,2021,10,HALIFAX,District 12,Renovation,Renovation,40000.0,0,11,Expired,44.650097456607256,-63.651748608617304
BPCOM-2021-15779,2021,10,HEAD OF ST MARGARETS BAY,District 13,Renovation,Renovation,170000.0,0,1,Completed,44.69119284891113,-63.89214772037899
BPCOM-2021-15974,,,HALIFAX,District 10,Renovation,Renovation,700.0,0,3,Applicant Revisions,44.681296436369976,-63.65931102488349
BPCOM-2021-16011,2022,1,WAVERLEY,District 01,Addition,Addition,1300000.0,0,3,Completed,44.78886454682316,-63.60660189485699
BPCOM-2021-16090,2021,12,HALIFAX,District 07,Renovation,Renovation,2695240.0,0,4,Cancelled,44.6492531406325,-63.577105218272834
BPCOM-2021-16180,2021,11,HALIFAX,District 07,Renovation,Renovation,35000.0,0,17,Completed,44.64150383294356,-63.57834517893211
BPCOM-2021-16427,2021,11,HALIFAX,District 08,Renovation,Renovation,1107710.0,0,9,Completed,44.650909834956046,-63.58200296369946
BPCOM-2021-16452,2021,12,HALIFAX,District 08,New Building,New Building,18010000.0,71,9,Completed,44.66043147954815,-63.59612195696095
BPCOM-2021-16574,2023,1,INDIAN HARBOUR,District 13,New Building,New Building,1000000.0,0,2,Completed,44.520387960849604,-63.937604898177085
BPCOM-2021-16712,2021,11,HATCHET LAKE,District 13,New Building,New Building,50000.0,0,1,Completed,44.584694445786354,-63.70171724793917
BPCOM-2021-17026,2021,12,DARTMOUTH,District 06,New Building,New Building,3500000.0,0,1,Completed,44.71676852957129,-63.56211133608885
BPCOM-2021-17062,2022,6,HALIFAX,District 10,New Building,New Building,26400000.0,238,17,Expired,44.65665592658424,-63.65137451538068
BPCOM-2021-17346,2021,12,DARTMOUTH,District 05,Renovation,Renovation,410925.0,0,2,Expired (Closed),44.66440814349242,-63.570051670461794
BPCOM-2021-17432,2022,1,DARTMOUTH,District 05,Renovation,Renovation,900400.0,0,3,Expired (Closed),44.66401999948769,-63.56935671636894
BPCOM-2021-17577,2021,11,DARTMOUTH,District 06,Renovation,Renovation,9950.0,0,3,Expired (Closed),44.695483336865664,-63.578376913840906
BPCOM-2021-17668,,,HALIFAX,District 09,Addition,Addition,64000.0,0,2,Withdrawn,44.64546934203425,-63.59757593166269
BPCOM-2021-17831,,,,District 15,New Building,New Building,450000.0,0,1,Withdrawn,44.78265174656955,-63.692148635505376
BPCOM-2021-18057,2023,2,INDIAN HARBOUR,District 13,New Building,New Building,600000.0,0,1,Completed,44.520387960849604,-63.937604898177085
BPCOM-2021-18205,2022,6,HALIFAX,District 09,Renovation,Renovation,238000.0,0,1,Completed,44.64626980116062,-63.62094261375594
BPCOM-2021-18271,2022,3,BEDFORD,Unidentified,New Building,New Building,13347566.0,75,4,Completed,44.72174360790854,-63.70790907968481
BPCOM-2021-18372,2022,1,HALIFAX,District 10,Renovation,Renovation,44000.0,0,8,Completed,44.657997551905126,-63.63410945459949
