permit_number,issue_year,issue_month,community,district,work_type,primary_work_scope,project_value,net_new_units,storeys,permit_status,lat,lon
BPRES-2022-11543,2022,9,HEAD OF CHEZZETCOOK,District 02,New Building,New Building,500000.0,1,1,Completed,44.74653224916645,-63.237872678413055
BPCOM-2024-11686,2025,9,HALIFAX,District 09,New Building,New Building,10000.0,0,2,Completed,44.64442176198298,-63.62378610783741
BPRES-2024-12070,2025,3,EAST PETPESWICK,District 02,New Building,New Building,350000.0,1,1,Amendment Applicant Revisions,44.700359962956696,-63.145418723442255
BPCOM-2021-10846,,,HALIFAX,District 08,Renovation,Renovation,90000.0,0,3,Withdrawn,44.666071745523354,-63.61443667427447
BPRES-2021-17583,2021,12,WELLINGTON,District 01,New Building,New Building,120000.0,1,3,Issued,44.8990631551204,-63.62374729097356
BPRES-2023-12340,2023,10,HEAD OF CHEZZETCOOK,District 02,New Building,New Building,1100000.0,4,1,Completed,44.754207535824115,-63.23315920056453
BPRES-2025-10564,2025,8,FALL RIVER,District 01,New Building,New Building,735000.0,1,2,Completed,44.836830699217614,-63.643849868234206
BP-2021-04479,2021,3,MIDDLE SACKVILLE,District 14,New Building,New Building,375000.0,1,2,Completed,44.78735393379536,-63.74275200344525
BPCOM-2023-02744,2023,3,HALIFAX,District 11,Renovation,Renovation,40000.0,0,1,Expired,44.59410970063679,-63.63911984370211
BPCOM-2026-03805,2026,5,WESTPHAL,District 04,Renovation,Renovation,150000.0,0,1,Issued,44.70509876780222,-63.4496445064686
BPRES-2022-04195,2022,5,HALIFAX,District 08,Renovation,Renovation,219100.0,0,1,Completed,44.66813163661252,-63.612967056339166
BPRES-2023-03954,2023,6,DARTMOUTH,District 05,Addition,Addition,20000.0,0,2,Expired,44.67123114172632,-63.58098350937029
BPRES-2024-03970,2024,4,EAST LAWRENCETOWN,District 02,New Building,New Building,60000.0,0,1,Expired,44.65418539313267,-63.34022328063946
BPRES-2025-02460,2025,2,BEECHVILLE,District 12,New Building,New Building,250000.0,1,3,Completed,44.639066279794605,-63.681276055362126
BPRES-2026-00092,,,TERENCE BAY,District 13,Renovation,Renovation,20000.0,0,1,Application Incomplete,44.46369295218445,-63.72099067729344
BP-2021-01856,2021,2,HALIFAX,District 07,Renovation,Renovation,150000.0,0,1,Expired (Closed),44.64384331054259,-63.58029407392168
BP-2021-07215,2021,5,MIDDLE SACKVILLE,District 14,New Building,New Building,375000.0,1,1,Completed,44.7867814029062,-63.766188591721885
BPCOM-2022-05232,,,DARTMOUTH,District 06,New Building,New Building,340000.0,0,2,Withdrawn,44.69643031933263,-63.594307756795004
BPCOM-2023-16193,2024,1,LOWER SACKVILLE,District 15,Renovation,Renovation,40000.0,0,1,Completed,44.77180517627832,-63.69509574671013
BPCOM-2025-07991,2026,4,HALIFAX,District 10,New Building,New Building,7000000.0,0,2,Issued,44.67032139188415,-63.64862172576427
BPRES-2021-13383,2021,8,MIDDLE SACKVILLE,District 14,New Building,New Building,425000.0,1,2,Completed,44.79068615553283,-63.76617406650804
BPRES-2022-01225,2022,3,TIMBERLEA,District 12,New Building,New Building,300000.0,1,3,Completed,44.64015246111085,-63.721727919076926
BPRES-2022-07916,,,,District 01,New Building,New Building,82000.0,1,1,Withdrawn,44.93497791968403,-63.49659001594762
BPRES-2022-15416,2023,1,WAVERLEY,District 01,New Building,New Building,67000.0,1,2,Expired,44.782272587961565,-63.59248524616501
BPRES-2023-08053,2024,4,RIVER LAKE,District 02,New Building,New Building,60000.0,1,1,Completed,44.92390947977502,-62.74544940993426
BPRES-2023-16373,2024,3,BEDFORD,District 16,New Building,New Building,700000.0,1,2,Completed,44.720652554286524,-63.71756149354174
BPRES-2024-07687,,,WEST DOVER,District 13,New Building,New Building,90000.0,0,2,Withdrawn,44.49307941165518,-63.87181058314614
BPRES-2024-17077,,,DARTMOUTH,District 03,Addition,Addition,250000.0,2,2,Applicant Revisions,44.6642035194943,-63.54609986012296
BPRES-2025-06384,2026,1,DARTMOUTH,District 06,New Building,New Building,50000.0,2,3,Completed,44.714085258343616,-63.539417717757935
BPRES-2025-14976,2026,5,HALIFAX,District 09,Renovation,Renovation,9000.0,1,2,Issued,44.64837459685214,-63.59588690443603
BPRES-2026-04144,2026,6,UPPER TANTALLON,District 13,New Building,New Building,400000.0,1,3,Issued,44.69442995060911,-63.88190225368967
BP-2021-00603,2021,1,MIDDLE SACKVILLE,District 14,New Building,New Building,180000.0,1,2,Completed,44.781785579591926,-63.748903855617954
BP-2021-05982,2021,4,DARTMOUTH,District 03,Renovation,Renovation,2000.0,0,1,Expired,44.6656032835218,-63.54129870338368
BP-2021-08749,2021,6,HEAD OF ST MARGARETS BAY,District 13,New Building,New Building,30000.0,0,1,Completed,44.67094237469761,-63.918977023101164
BPCOM-2021-19241,,,HALIFAX,District 09,Renovation,Renovation,900000.0,0,2,Applicant Revisions,44.64456804856731,-63.61829827347219
BPCOM-2022-12674,2022,10,DARTMOUTH,District 06,Renovation,Renovation,300000.0,0,1,Completed,44.702325673140116,-63.56429052094754
BPCOM-2023-09948,2023,9,LOWER SACKVILLE,District 15,Renovation,Renovation,35000.0,0,1,Expired,44.758844372095425,-63.66836308427226
BPCOM-2024-05976,2024,5,PORTERS LAKE,District 02,Renovation,Renovation,30000.0,0,1,Completed,44.7427789750993,-63.27980364660476
BPCOM-2025-01421,2025,3,HALIFAX,District 08,Renovation,Renovation,40000.0,0,8,Completed,44.661916025421164,-63.59744163976179
BPCOM-2025-16123,2025,10,DARTMOUTH,District 05,Renovation,Renovation,209405.0,0,2,Completed,44.665018321337655,-63.56975704658656
BPRES-2021-11261,2021,6,BEAVER BANK,District 15,New Building,New Building,450000.0,1,2,Completed,44.81474750507468,-63.696744891283956
BPRES-2021-15721,2021,10,HALIFAX,District 08,New Building,New Building,16000.0,0,1,Expired (Closed),44.663851841376186,-63.59479398978238
BPRES-2021-19656,2022,8,BOUTILIERS POINT,District 13,New Building,New Building,400000.0,1,2,Completed,44.674107030911166,-63.927231121863876
BPRES-2022-02843,2022,4,BEECHVILLE,District 12,New Building,New Building,200000.0,1,3,Completed,44.63847099975497,-63.68077970796554
BPRES-2022-05916,2022,5,MIDDLE SACKVILLE,District 14,New Building,New Building,40000.0,0,1,Completed,44.803550892975714,-63.73783471980768
BPRES-2022-09662,2022,8,EAST PENNANT,District 11,New Building,New Building,200000.0,1,2,Completed,44.46381682179589,-63.635749279022285
BPRES-2022-13449,2022,10,BEDFORD,District 16,New Building,New Building,490000.0,1,2,Completed,44.70585199096138,-63.72129727005634
BPRES-2023-01878,2023,11,HALIFAX,District 11,New Building,New Building,800000.0,4,2,Issued,44.62400723395196,-63.619706120061466
BPRES-2023-06145,2023,7,MIDDLE SACKVILLE,District 14,Renovation,Renovation,230000.0,0,1,Expired,44.80123517974788,-63.73700438509463
BPRES-2023-10267,2023,8,HALIFAX,District 11,Renovation,Renovation,10500.0,0,2,Completed,44.6071039957073,-63.602297903772346
BPRES-2023-14283,2024,1,PROSPECT BAY,District 13,New Building,New Building,45000.0,0,1,Issued,44.50797035974365,-63.77980515682817
BPRES-2024-02044,2024,5,BEAVER BANK,District 15,Addition,Addition,291000.0,0,2,Completed,44.8560719368504,-63.68499837788377
BPRES-2024-05741,2024,5,UPPER HAMMONDS PLAINS,District 14,New Building,New Building,35000.0,0,1,Completed,44.745364519597466,-63.822846831729784
BPRES-2024-09665,2024,7,DARTMOUTH,District 06,Renovation,Renovation,15871.0,0,1,Completed,44.68763892004272,-63.538683748575515
BPRES-2024-15237,2025,8,HALIFAX,District 07,Renovation,Renovation,3000.0,0,2,Issued,44.62396154705991,-63.57377488916391
BPRES-2025-00290,2025,9,,District 02,New Building,New Building,680000.0,6,1,Issued,44.75066882081569,-63.29687412921254
BPRES-2025-04571,2025,4,LUCASVILLE,District 14,New Building,New Building,100000.0,0,2,Completed,44.75891995334493,-63.749689534411395
BPRES-2025-08424,2025,6,BROOKSIDE,District 13,New Building,New Building,40000.0,0,1,Issued,44.531667929116864,-63.71044574818629
BPRES-2025-12805,2025,12,FALL RIVER,District 01,New Building,New Building,375000.0,1,1,Issued,44.82109893809082,-63.616594145571675
BPRES-2025-16967,2025,12,MIDDLE SACKVILLE,District 14,New Building,New Building,400000.0,1,2,Issued,44.79518525974702,-63.75449417807844
BPRES-2026-02375,2026,3,HAMMONDS PLAINS,District 14,New Building,New Building,700000.0,1,2,Issued,44.69428036156861,-63.79803816373263
BPRES-2026-06298,2026,6,DARTMOUTH,District 06,New Building,New Building,28000.0,0,1,Issued,44.706702079243165,-63.546201246817134
BP-2020-00593,2021,2,HUBLEY,District 13,New Building,New Building,75000.0,1,1,Completed,44.681048703950125,-63.82448432340363
BP-2021-01133,2021,3,DARTMOUTH,District 05,Addition,Addition,180003.0,0,2,Expired,44.683701905433225,-63.5621277143999
BP-2021-02528,,,MIDDLE SACKVILLE,District 14,New Building,New Building,800000.0,0,3,Withdrawn,44.777416919257696,-63.73322808706184
BP-2021-03838,2021,8,UPPER TANTALLON,District 13,Addition,Addition,22100.0,0,1,Expired (Closed),44.68866967010135,-63.883655701208376
BP-2021-05092,2021,12,LOWER SACKVILLE,District 15,New Building,New Building,1000000.0,0,1,Completed,44.7753645849725,-63.696100899643206
BP-2021-06575,2022,1,DARTMOUTH,District 03,New Building,New Building,25000.0,0,1,Completed,44.662581966489704,-63.507635569772596
BP-2021-07969,,,UPPER TANTALLON,District 13,Renovation,Renovation,28000.0,1,3,Withdrawn,44.73036236107354,-63.88663535154684
BP-2021-09460,2021,6,HALIFAX,District 11,Renovation,Renovation,60000.0,1,2,Completed,44.6160786755619,-63.619798707417765
BPCOM-2021-15018,2021,10,HALIFAX,District 09,Renovation,Renovation,35000.0,0,15,Completed,44.64812268837553,-63.60444247316049
BPCOM-2022-01942,2023,10,HAMMONDS PLAINS,District 14,New Building,New Building,120000.0,0,1,Completed,44.725934175814565,-63.748752104185165
BPCOM-2022-09255,,,DARTMOUTH,District 05,New Building,New Building,1600000.0,3,2,Withdrawn,44.665794517670534,-63.55956710178893
BPCOM-2022-15838,2023,1,HALIFAX,District 07,Renovation,Renovation,75000.0,0,3,Completed,44.644602087679004,-63.57971982979965
BPCOM-2023-05984,2023,5,SEAFORTH,District 02,Renovation,Renovation,13525.0,0,1,Completed,44.66936871456202,-63.25574881088257
BPCOM-2023-13873,2023,11,DARTMOUTH,District 03,Renovation,Renovation,503970.0,0,1,Completed,44.66688051356636,-63.54885060662835
BPCOM-2024-02267,2024,4,HALIFAX,District 11,New Building,New Building,550000.0,6,2,Completed,44.60210501811543,-63.611887680411755
BPCOM-2024-07997,2024,7,DARTMOUTH,District 06,New Building,New Building,580000.0,0,1,Completed,44.68841244509001,-63.597703005532246
BPCOM-2024-16927,2025,1,LOWER SACKVILLE,District 15,New Building,New Building,8800000.0,44,5,Issued,44.752547223163646,-63.662490626635474
BPCOM-2025-03626,2025,7,DARTMOUTH,District 05,Renovation,Renovation,1000000.0,0,1,Completed,44.67942850107609,-63.58349029232841
BPCOM-2025-12621,2025,8,HALIFAX,District 08,Renovation,Renovation,350000.0,0,10,Completed,44.658343562106154,-63.60322178206833
BPCOM-2026-00374,,,HALIFAX,District 07,Renovation,Renovation,80000.0,0,22,Withdrawn,44.64386987195683,-63.56984458600852
BPCOM-2026-07955,,,DARTMOUTH,District 05,Renovation,Renovation,500000.0,0,2,Submitted,44.68656042112191,-63.55952448193897
BPRES-2021-12359,2021,8,WEST CHEZZETCOOK,District 02,New Building,New Building,40000.0,0,1,Expired,44.72604341394606,-63.26656506373151
BPRES-2021-14512,2021,10,BEDFORD,District 16,New Building,New Building,234000.0,1,2,Completed,44.7031723346302,-63.70938121187818
BPRES-2021-16820,,,TANTALLON,District 13,Addition,Addition,40000.0,0,1,Amendment Applicant Revisions,44.67759023081248,-63.895939104461824
BPRES-2021-18665,2021,12,LANTZ,District 01,New Building,New Building,12000.0,0,1,Completed,44.977897071622145,-63.47408292762221
BPRES-2022-00300,2022,1,HALIFAX,District 12,Renovation,Renovation,36565.0,0,2,Completed,44.6664421800863,-63.664694210609085
BPRES-2022-02090,2022,3,BEECHVILLE,District 12,New Building,New Building,250000.0,1,2,Completed,44.637322117623405,-63.679030777995784
BPRES-2022-03434,2022,3,MIDDLE SACKVILLE,District 14,New Building,New Building,400000.0,1,2,Completed,44.78883745022041,-63.74135790591074
BPRES-2022-05148,2022,5,TIMBERLEA,District 12,Renovation,Renovation,8500.0,1,3,Completed,44.64188145850474,-63.70568139877423
BPRES-2022-06767,2022,6,ENFIELD,District 01,Addition,Addition,150000.0,0,2,Expired,44.928360675429566,-63.53164431327557
BPRES-2022-08749,2022,6,LAWRENCETOWN,District 02,Renovation,Renovation,30100.0,0,2,Completed,44.64961493055038,-63.40430939712018
BPRES-2022-10579,2023,1,LOWER SACKVILLE,District 15,New Building,New Building,85000.0,0,2,Completed,44.76417739170997,-63.63791573794555
BPRES-2022-12576,2023,3,TIMBERLEA,District 12,New Building,New Building,330000.0,1,3,Completed,44.639871872367245,-63.72178078701806
BPRES-2022-14364,2022,11,FLETCHERS LAKE,District 01,New Building,New Building,5000.0,0,1,Completed,44.84433717786696,-63.60193702568406
BPRES-2023-00710,2023,1,HALIFAX,District 07,Renovation,Renovation,113865.0,0,2,Expired,44.62663682100079,-63.57683645133167
BPRES-2023-02887,2023,4,LOWER SACKVILLE,District 15,New Building,New Building,600000.0,1,1,Completed,44.75766415745806,-63.684989750811305
BPRES-2023-05029,2023,5,HAMMONDS PLAINS,District 14,Addition,Addition,250000.0,0,2,Expired,44.76769465231365,-63.76945998470684
BPRES-2023-06994,,,,District 02,New Building,New Building,160000.0,1,1,Application Incomplete,44.943021891237414,-62.26364125531362
BPRES-2023-08950,2023,11,LAWRENCETOWN,District 02,Addition,Addition,72500.0,1,1,Completed,44.68710019824455,-63.39943120637814
BPRES-2023-11429,2023,8,HUBLEY,District 13,New Building,New Building,425000.0,1,1,Completed,44.670685319358064,-63.82178280908707
BPRES-2023-13218,2023,10,HALIFAX,District 11,New Building,New Building,400000.0,4,2,Completed,44.60094476480313,-63.60512399568898
BPRES-2023-15319,2024,1,HAMMONDS PLAINS,District 14,New Building,New Building,775000.0,1,2,Completed,44.72254729152527,-63.83360898036793
BPRES-2024-00854,2024,1,LOWER SACKVILLE,District 15,Renovation,Renovation,150000.0,0,2,Completed,44.76499996104856,-63.68210423295168
BPRES-2024-03153,2024,4,EAST SHIP HARBOUR,District 02,New Building,New Building,265000.0,1,1,Completed,44.777304736513116,-62.77902637890484
BPRES-2024-04838,2024,4,BEECHVILLE,District 12,New Building,New Building,500000.0,2,2,Completed,44.639863982343655,-63.67852566027336
BPRES-2024-06753,2024,6,LEWIS LAKE,District 13,New Building,New Building,7000.0,1,2,Completed,44.679384756811324,-63.83350350788922
BPRES-2024-08604,2025,6,DARTMOUTH,District 03,New Building,New Building,150000.0,1,2,Completed,44.6652217902339,-63.53999066937383
BPRES-2024-10761,2024,9,COLE HARBOUR,District 04,New Building,New Building,299000.0,2,1,Completed,44.658137828792064,-63.455986180273584
BPRES-2024-13749,2024,12,LOWER SACKVILLE,District 15,Renovation,Renovation,137000.0,1,1,Completed,44.77865753352579,-63.686358066355325
BPRES-2024-16202,2024,11,MIDDLE SACKVILLE,District 14,New Building,New Building,700000.0,1,2,Completed,44.80256406317024,-63.76538415374711
BPRES-2024-18232,2024,12,DUNCANS COVE,District 11,New Building,New Building,209000.0,0,1,Issued,44.49602979542013,-63.52550624403131
BPRES-2025-01363,2025,5,BEAVER BANK,District 15,New Building,New Building,286000.0,1,1,Completed,44.83632433747058,-63.66153961476289
BPRES-2025-03643,2025,5,OSTREA LAKE,District 02,New Building,New Building,450000.0,1,2,Issued,44.757335141676876,-63.10612294299823
BPRES-2025-05453,2025,5,LAKE LOON,District 04,Addition,Addition,198000.0,0,1,Completed,44.70891118028248,-63.48504642963357
BPRES-2025-07457,2025,5,MIDDLE SACKVILLE,District 14,Renovation,Renovation,23000.0,1,2,Completed,44.792574140805506,-63.712561836469845
BPRES-2025-09460,2025,8,,District 02,New Building,New Building,382000.0,1,1,Completed,44.72490622964744,-63.23104687754933
BPRES-2025-11830,2025,8,HALIFAX,District 11,New Building,New Building,400000.0,4,3,Issued,44.58664726070412,-63.5887556860014
BPRES-2025-13918,2025,9,DARTMOUTH,District 06,New Building,New Building,350000.0,2,3,Issued,44.713711844045854,-63.53987284401951
BPRES-2025-15977,2025,10,FALL RIVER,District 01,New Building,New Building,375000.0,1,2,Issued,44.840470774552,-63.64136164962753
BPRES-2025-18108,,,DARTMOUTH,District 05,Renovation,Renovation,5000.0,1,3,Applicant Revisions,44.68610934343934,-63.58353504122579
BPRES-2026-01287,2026,3,BEDFORD,District 16,New Building,New Building,500000.0,1,3,Issued,44.70965725292719,-63.72634282851633
BPRES-2026-03191,,,EASTERN PASSAGE,District 03,Renovation,Renovation,20000.0,1,2,Application Incomplete,44.62562748619983,-63.51272553524135
BPRES-2026-05181,,,WHITES LAKE,District 13,New Building,New Building,70000.0,0,1,Applicant Revisions,44.54351137446391,-63.73885468379963
BPRES-2026-07542,,,HAMMONDS PLAINS,District 14,Addition,Addition,50000.0,0,2,In Review,44.72405203488428,-63.82214117476142
BP-2020-00283,2021,1,COLE HARBOUR,District 04,Addition,Addition,31000.0,0,1,Expired (Closed),44.648887952688234,-63.46677775086221
BP-2021-00279,2021,9,HALIFAX,District 08,New Building,New Building,10439629.0,92,12,Completed,44.65613129771794,-63.59982635322202
BP-2021-00833,2021,2,LOWER SACKVILLE,District 15,New Building,New Building,10000.0,0,1,Cancelled,44.77811009328242,-63.68771012881632
BP-2021-01533,2021,2,WELLINGTON,District 01,Renovation,Renovation,28700.0,0,1,Completed,44.86465856625577,-63.61598220052856
BP-2021-02142,2021,2,BEDFORD,District 16,New Building,New Building,450000.0,1,2,Completed,44.70292364311553,-63.7177323535899
BP-2021-02865,2021,3,UPPER TANTALLON,District 13,New Building,New Building,350000.0,1,2,Completed,44.70412106720298,-63.88922857001702
BP-2021-03491,2021,3,MONTAGUE GOLD MINES,District 01,New Building,New Building,500000.0,1,2,Completed,44.72464230972395,-63.52412207894702
BP-2021-04230,2021,6,HALIFAX,District 11,New Building,New Building,250000.0,2,3,Completed,44.6010065029411,-63.60151620636814
BP-2021-04773,2021,4,LUCASVILLE,District 14,New Building,New Building,6000.0,0,1,Completed,44.764848504478344,-63.716435905217025
BP-2021-05586,,,COW BAY,District 03,New Building,New Building,41500.0,0,1,Applicant Revisions,44.620752326572436,-63.442826682749576
BP-2021-06228,2021,5,BEDFORD,District 16,New Building,New Building,630000.0,1,2,Completed,44.7044627622407,-63.71093861004966
BP-2021-06919,2022,8,HUBLEY,District 13,Addition,Addition,37500.0,1,2,Issued,44.677089370714796,-63.815900669016656
BP-2021-07563,2021,6,HAMMONDS PLAINS,District 14,Addition,Addition,120000.0,0,2,Completed,44.738759712180666,-63.80039605912332
BP-2021-08397,2021,10,DARTMOUTH,District 05,Renovation,Renovation,5000.0,0,2,Completed,44.682296996113045,-63.59640279614357
BP-2021-09186,2023,10,DARTMOUTH,District 05,New Building,New Building,17286648.0,103,12,Issued,44.672691681840114,-63.59162368835915
BP-2021-09948,2021,6,MIDDLE SACKVILLE,District 14,New Building,New Building,106000.0,0,1,Completed,44.78232457856171,-63.75447255611646
BPCOM-2021-12879,2021,8,BEDFORD,District 16,Renovation,Renovation,175000.0,0,1,Completed,44.696047105383656,-63.689574004280416
BPCOM-2021-17142,2021,11,HALIFAX,District 09,Renovation,Renovation,10000.0,0,1,Expired (Closed),44.649368575944415,-63.61874247106554
BPCOM-2022-00129,2022,2,DARTMOUTH,District 05,Renovation,Renovation,63000.0,0,3,Completed,44.666297319359415,-63.569186544964545
BPCOM-2022-03658,2022,5,DARTMOUTH,District 06,Renovation,Renovation,353000.0,0,1,Completed,44.69737772483023,-63.56364339220288
BPCOM-2022-07462,2022,6,HALIFAX,District 11,Renovation,Renovation,30000.0,0,1,Expired,44.62362795833286,-63.61927663250155
BPCOM-2022-10862,2022,9,HALIFAX,District 07,Renovation,Renovation,80000.0,0,17,Expired,44.648913137170794,-63.573131087533255
BPCOM-2022-14284,2022,12,HALIFAX,District 07,Renovation,Renovation,341080.0,0,9,Completed,44.647297148804824,-63.57684441289074
BPCOM-2023-01100,2023,3,DARTMOUTH,District 06,New Building,New Building,12864303.26,176,6,Issued,44.67343034334863,-63.54058916033984
BPCOM-2023-03953,2023,11,HALIFAX,District 07,New Building,New Building,99821132.85,462,21,Issued,44.645176808228285,-63.571415720517095
BPCOM-2023-08005,2023,8,HAMMONDS PLAINS,District 14,Renovation,Renovation,85000.0,0,1,Completed,44.728049278595066,-63.74950387572457
BPCOM-2023-11975,2023,10,BEDFORD,District 16,Renovation,Renovation,100000.0,0,2,Completed,44.716515972343345,-63.70681589808718
BPCOM-2023-15274,2023,11,HALIFAX,District 09,Renovation,Renovation,2224000.0,0,3,Completed,44.649368575944415,-63.61874247106554
BPCOM-2024-00681,2024,1,DARTMOUTH,District 06,Renovation,Renovation,260000.0,0,1,Completed,44.69783067202637,-63.563675212453205
BPCOM-2024-04325,2024,4,SHAD BAY,District 13,Renovation,Renovation,41000.0,0,2,Completed,44.5218299293384,-63.776421123961974
BPCOM-2024-06741,2025,3,HAMMONDS PLAINS,Unidentified,New Building,New Building,350000.0,1,1,Issued,44.72530224921251,-63.74092918383541
BPCOM-2024-09664,2024,9,HAMMONDS PLAINS,District 14,New Building,New Building,129000.0,0,1,Completed,44.732159042555125,-63.80676177826914
BPCOM-2024-15054,2024,10,HALIFAX,District 07,Renovation,Renovation,208939.87,0,16,Completed,44.64966610556248,-63.57564691094759
BPCOM-2024-18851,2025,1,HALIFAX,District 07,Renovation,Renovation,52000.0,0,7,Completed,44.64340647269803,-63.57650149878513
BPCOM-2025-02767,2025,5,HALIFAX,District 08,Renovation,Renovation,67650.0,0,2,Issued,44.652821030827866,-63.58656093960488
BPCOM-2025-05004,2025,6,HALIFAX,District 07,Renovation,Renovation,1000000.0,0,3,Amendment Review,44.64029103611846,-63.5875114006309
BPCOM-2025-10310,2025,8,HALIFAX,District 09,Renovation,Renovation,323500.0,0,12,Issued,44.632044907556,-63.633897037773195
BPCOM-2025-14602,,,HALIFAX,District 11,Addition,Addition,70000.0,2,3,Withdrawn,44.60958254240611,-63.61625840707493
BPCOM-2025-17935,2025,12,BEDFORD,District 16,Renovation,Renovation,20000.0,0,4,Completed,44.719261163581116,-63.67127402848263
BPCOM-2026-01619,,,,District 15,New Building,New Building,45000000.0,424,4,Applicant Revisions,44.81701636697849,-63.681614419967005
BPCOM-2026-05515,2026,5,HALIFAX,District 08,Renovation,Renovation,6000.0,0,2,Issued,44.651165631403956,-63.58303656406624
BPRES-2021-10607,2022,1,HALIFAX,District 11,New Building,New Building,600000.0,2,2,Completed,44.61810285078784,-63.617903718320605
BPRES-2021-11847,2021,9,EAST PETPESWICK,District 02,New Building,New Building,700000.0,1,3,Amendment Applicant Revisions,44.693621413329694,-63.14993803214328
BPRES-2021-12961,2022,11,CONROD SETTLEMENT,District 02,New Building,New Building,20000.0,0,1,Completed,44.76648247204703,-63.236798622952215
BPRES-2021-14017,2021,9,HALIFAX,District 11,Renovation,Renovation,20000.0,0,2,Completed,44.62659195289071,-63.59608740493234
BPRES-2021-15143,2021,10,,District 13,New Building,New Building,402000.0,1,2,Completed,44.66267504731725,-63.96793568019195
BPRES-2021-16338,2021,11,FALL RIVER,District 01,Addition,Addition,30000.0,0,1,Completed,44.791881835336056,-63.61942995937361
BPRES-2021-17203,2021,11,BEDFORD,District 16,New Building,New Building,400000.0,1,2,Completed,44.704956446536656,-63.716567201368186
BPRES-2021-18012,2021,11,BEDFORD,District 16,New Building,New Building,675000.0,1,3,Completed,44.70394568072134,-63.71730504984958
BPRES-2021-19121,2021,12,SEABRIGHT,District 13,New Building,New Building,32000.0,0,1,Expired (Closed),44.62574125229648,-63.92383752769038
BPRES-2021-20190,2022,1,WHITES LAKE,District 11,New Building,New Building,450000.0,1,1,Completed,44.51562470321932,-63.746440172755385
BPRES-2022-00765,,,EASTERN PASSAGE,District 03,Renovation,Renovation,16500.0,1,2,Withdrawn,44.62489559290553,-63.50802598379322
BPRES-2022-01614,2022,3,HAMMONDS PLAINS,District 14,Addition,Addition,120000.0,0,2,Expired,44.74491110100877,-63.79512498855108
BPRES-2022-02414,2022,4,HALIFAX,District 11,New Building,New Building,750000.0,1,2,Cancelled,44.61445283924494,-63.5753690182227
BPRES-2022-02995,2022,4,MILL LAKE,District 01,New Building,New Building,71000.0,0,1,Expired,45.12507757346294,-62.905089549470226
BPRES-2022-03822,2022,4,HUBLEY,District 13,New Building,New Building,170000.0,1,1,Completed,44.67935254609275,-63.80780243705468
BPRES-2022-04681,2022,7,DARTMOUTH,District 06,Addition,Addition,85000.0,0,1,Expired,44.72628550731608,-63.539773202001896
BPRES-2022-05546,2022,5,TIMBERLEA,District 12,New Building,New Building,200000.0,1,3,Issued,44.63910298219539,-63.72187526798269
BPRES-2022-06371,,,UPPER SACKVILLE,District 14,Addition,Addition,55000.0,0,1,Application Incomplete,44.82436361730261,-63.75854585218874
BPRES-2022-07329,2022,6,DARTMOUTH,District 06,New Building,New Building,35000.0,0,1,Completed,44.72792234562012,-63.5437203637696
BPRES-2022-08294,2022,8,HALIFAX,District 07,Renovation,Renovation,15000.0,0,2,Completed,44.62793884574399,-63.57735777688424
BPRES-2022-09139,2022,7,PORTERS LAKE,District 02,New Building,New Building,400000.0,1,1,Completed,44.75214970286763,-63.33782309589594
BPRES-2022-10124,,,WEST PORTERS LAKE,District 02,New Building,New Building,50000.0,1,1,Withdrawn,44.68878903595779,-63.30977280197957
BPRES-2022-11054,2022,8,HAMMONDS PLAINS,District 14,New Building,New Building,680000.0,1,2,Completed,44.71070659337335,-63.7696502917574
BPRES-2022-12041,2023,7,HALIFAX,District 11,Renovation,Renovation,15000.0,1,2,Completed,44.59101674312366,-63.599510537107506
BPRES-2022-13103,2022,10,PROSPECT,District 13,New Building,New Building,42000.0,0,1,Expired,44.476525770793614,-63.78002358250363
BPRES-2022-13824,2023,10,HAMMONDS PLAINS,District 14,New Building,New Building,11795327.0,105,3,Issued,44.74324008807364,-63.803837467442186
BPRES-2022-14880,2022,11,WILLIAMSWOOD,District 11,Renovation,Renovation,400000.0,0,2,Completed,44.53774036935277,-63.642766037935445
BPRES-2023-00054,,,BEDFORD,District 16,New Building,New Building,60500.0,1,1,Withdrawn,44.706681711997845,-63.665887643338536
BPRES-2023-01192,2025,8,HARRIETSFIELD,District 11,Addition,Addition,35000.0,0,2,Issued,44.56333646396723,-63.638623786276156
BPRES-2023-02450,,,FALL RIVER,District 01,New Building,New Building,700000.0,1,1,Withdrawn,44.82608263996672,-63.63956365373893
BPRES-2023-03516,2024,11,HALIFAX,District 11,New Building,New Building,608000.0,4,3,Issued,44.61577774013249,-63.62095392239779
BPRES-2023-04451,2023,8,HALIFAX,District 09,New Building,New Building,110500.0,1,2,Completed,44.648948823768656,-63.60023128442157
BPRES-2023-05635,2023,5,BEDFORD,District 16,New Building,New Building,1105000.0,1,2,Completed,44.70727767931559,-63.701381388980636
BPRES-2023-06590,2023,6,BEAVER BANK,District 15,New Building,New Building,50000.0,0,2,Completed,44.810005226596694,-63.681172072526444
BPRES-2023-07613,2023,7,GRAND LAKE,District 01,Addition,Addition,35000.0,0,1,Expired,44.8935150520348,-63.58639291583744
BPRES-2023-08637,2023,7,HALIFAX,District 11,New Building,New Building,400000.0,3,3,Completed,44.586218066598654,-63.58779524726457
BPRES-2023-09826,2023,8,HACKETTS COVE,District 13,New Building,New Building,25000.0,0,1,Expired,44.57297375645958,-63.92687031143158
