object_id,fiscal_year,fiscal_year_start,nsbi_sector,nsbi_county,county_is_geographic,deal_type,account_name,place_name,postalcode,nsbi_financial_contribution,has_contribution,latitude,longitude,is_mappable,in_ns_bounds
1229,2019-2020,2019,Film Production,Halifax,1,EGP,Lady Hammond Entertainment Inc.,Dartmouth,B3A 2Y1,1457.00,1,44.6434175,-63.6264312,1,1
1230,2019-2020,2019,Engineering & Professional,Halifax,1,EGP,Stantec,Dartmouth,B3A 0A3,5925.00,1,44.6841559,-63.5918173,1,1
1231,2019-2020,2019,Advanced Manufacturing,Colchester,1,EGP,My Home Apparel,Truro,B2Z 1A6,9366.00,1,45.3644052,-63.278915,1,1
1232,2019-2020,2019,Energy,Halifax,1,EGP,Green Power Labs Inc.,Dartmouth,B2Y4M9,14950.00,1,44.6611613,-63.5448726,1,1
1233,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,NewStar Marine & Scooter Inc.,Dartmouth,B2Y4K7,2740.00,1,44.6545343,-63.5442536,1,1
1234,2019-2020,2019,ICT (includes Digital Media),Halifax,1,SBDP,Nxtgen Care,Dartmouth,B2Y4J2,15000.00,1,44.6793567,-63.5545842,1,1
1235,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Survival Systems Ltd.,Dartmouth,B2Y 4W6,3299.00,1,44.6793567,-63.5545842,1,1
1236,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Mil-Aero Electronics Atlantic Inc.,Dartmouth,B2Y 4V9,5025.00,1,44.657868,-63.5422302,1,1
1237,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Mil-Aero Electronics Atlantic Inc.,Dartmouth,B2Y 4V9,2855.00,1,44.657868,-63.5422302,1,1
1238,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Mil-Aero Electronics Atlantic Inc.,Dartmouth,B2Y 4V9,319.00,1,44.657868,-63.5422302,1,1
1239,2019-2020,2019,Business Services,Halifax,1,EGP,Partner International Inc.,Dartmouth,B2Y 4T6,15000.00,1,44.6622587,-63.5464416,1,1
1240,2019-2020,2019,Oceans Technology,Halifax,1,SBDP,Ashored Innovations,Dartmouth,B2Y 4T5,10000.00,1,44.661946,-63.5587822,1,1
1241,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Ashored Innovations,Dartmouth,B2Y 4T5,7456.00,1,44.661946,-63.5587822,1,1
1242,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Dartmouth Ocean Technologies (DOT),Dartmouth,B2Y 4T5,12550.00,1,44.6619183,-63.5587822,1,1
1243,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Leeway Yachts Ltd.,Dartmouth,B2Y 4T5,3260.00,1,44.6619183,-63.5587822,1,1
1244,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Nova Graphene,Dartmouth,B2Y 4T5,14992.00,1,44.6619183,-63.5587822,1,1
1245,2019-2020,2019,Oceans Technology,Halifax,1,EGP,ReelData,Dartmouth,B2Y 4T5,4550.00,1,44.6619183,-63.5587822,1,1
1246,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Sensor Technology Ltd.,Dartmouth,B2Y 4T5,13994.00,1,44.6619183,-63.5587822,1,1
1247,2019-2020,2019,Advanced Manufacturing,Halifax,1,Payroll Rebate,Ultra Electronics Maritime Systems Inc.,Dartmouth,B2Y 4N2,2495600.00,1,44.6525985,-63.5419257,1,1
1248,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Ultra Electronics Maritime Systems Inc.,Dartmouth,B2Y 4N2,11761.00,1,44.6525985,-63.5419257,1,1
1249,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Graphite Innovation and Technologies Inc.,Dartmouth,B2Y 4M9,10640.00,1,44.6611613,-63.5448726,1,1
1250,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Prism Tradeshow Products Inc.,Dartmouth,B2Y 4M9,17240.00,1,44.6611613,-63.5448726,1,1
1251,2019-2020,2019,ICT (includes Digital Media),Halifax,1,SBDP,Rimot.IO Inc.,Dartmouth,B2Y 4M9,15000.00,1,44.6611613,-63.5448726,1,1
1252,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Rimot.IO Inc.,Dartmouth,B2Y 4M9,14985.00,1,44.6611613,-63.5448726,1,1
1253,2019-2020,2019,Life Sciences,Halifax,1,EGP,Clinical Logistics Inc.,Dartmouth,B2Y 4M9,8375.00,1,44.6611613,-63.5448726,1,1
1254,2019-2020,2019,Life Sciences,Halifax,1,EGP,Clinical Logistics Inc.,Dartmouth,B2Y 4M9,5075.00,1,44.6611613,-63.5448726,1,1
1255,2019-2020,2019,Life Sciences,Halifax,1,EGP,Clinical Logistics Inc.,Dartmouth,B2Y 4M9,1850.00,1,44.6611613,-63.5448726,1,1
1256,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Survival Systems Training Limited,Dartmouth,B2Y 4K9,14976.00,1,44.656447,-63.5431417,1,1
1257,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Survival Systems Training Limited,Dartmouth,B2Y 4K9,7275.00,1,44.656447,-63.5431417,1,1
1258,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Marimetrics Technologies,Dartmouth,B2Y 4A5,8170.00,1,44.6627214,-63.5590146,1,1
1259,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Marimetrics Technologies,Dartmouth,B2Y 4A5,4553.00,1,44.6627214,-63.5590146,1,1
1260,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Huminah Huminah Animation Limited,Dartmouth,B2Y 3P2,15000.00,1,44.6506452,-63.5467546,1,1
1261,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Huminah Huminah Animation Limited,Dartmouth,B2Y 3P2,3985.00,1,44.6506452,-63.5467546,1,1
1262,2019-2020,2019,Advanced Manufacturing,Halifax,1,PIVP,Spiri Robotics Inc.,Dartmouth,B2Y 2W1,15000.00,1,44.6619183,-63.5588011,1,1
1263,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Acoubit Communications Inc.,Dartmouth,B2Y 2W1,3250.00,1,44.6619183,-63.5588011,1,1
1264,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Marecomms Inc.,Dartmouth,B2Y 2W1,6223.00,1,44.6619183,-63.5588011,1,1
1265,2019-2020,2019,Oceans Technology,Halifax,1,EGP,Sedna Tech,Dartmouth,B2Y 2W1,10450.00,1,44.6619183,-63.5588011,1,1
1266,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Made With Local Snack Foods Inc.,Dartmouth,B2Y 2V9,5260.00,1,44.6650405,-63.5697606,1,1
