period,year,quarter,year_quarter_index,zone,facility,procedure,consult_median,consult_90th,consult_tail_gap,surgery_median,surgery_90th,surgery_tail_gap,surgery_target_days,consult_target_days,surgery_measured,surgery_breach,consult_measured,consult_breach
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,58,26,182,90,1,0,0,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Bowel Resection,,,,35,50,15,182,90,1,0,0,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,43,11,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Bowel Resection,,,,50,57,7,182,90,1,0,0,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Bowel Resection,,,,23,39,16,182,90,1,0,0,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Bowel Resection,,,,29,49,20,182,90,1,0,0,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,60,28,182,90,1,0,0,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Bowel Resection,,,,19,43,24,182,90,1,0,0,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,11,27,16,24,52,28,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,7,21,14,19,45,26,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,9,19,10,17,29,12,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,10,21,11,19,36,17,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,17,45,28,29,41,12,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,17,43,26,18,39,21,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,19,39,20,23,34,11,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,18,23,5,22,44,22,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,6,8,2,17,23,6,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,43,151,108,56,130,74,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,52,410,358,50,185,135,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,44,100,56,38,107,69,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,37,130,93,56,168,112,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,40,106,66,,,,182,90,0,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,65,156,91,26,48,22,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,95,197,102,43,204,161,182,90,1,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,47,123,76,63,133,70,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,52,209,157,29,94,65,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Endometrial Ablation,122,307,185,,,,182,90,0,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Endometrial Ablation,48,154,106,36,74,38,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Endometrial Ablation,39,137,98,46,184,138,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Endometrial Ablation,,,,29,176,147,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Endometrial Ablation,262,320,58,57,181,124,182,90,1,0,1,1
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Endometrial Ablation,165,588,423,33,75,42,182,90,1,0,1,1
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Endometrial Ablation,57,69,12,55,103,48,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Endometrial Ablation,64,177,113,139,266,127,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Endometrial Ablation,57,125,68,75,155,80,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Gallbladder Surgery,136,417,281,63,113,50,182,90,1,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Gallbladder Surgery,43,247,204,46,85,39,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Gallbladder Surgery,19,118,99,45,67,22,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Gallbladder Surgery,13,494,481,43,88,45,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Gallbladder Surgery,42,154,112,25,43,18,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Gallbladder Surgery,54,275,221,24,82,58,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Gallbladder Surgery,73,174,101,85,139,54,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Gallbladder Surgery,40,99,59,92,218,126,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Gallbladder Surgery,63,167,104,64,123,59,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,29,53,24,182,90,1,0,0,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,47,74,27,182,90,1,0,0,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,29,71,42,182,90,1,0,0,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,29,43,14,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,56,75,19,182,90,1,0,0,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,29,64,35,182,90,1,0,0,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,32,52,20,182,90,1,0,0,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,33,60,27,182,90,1,0,0,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Gastrointestinal Tract Surgery,,,,29,61,32,182,90,1,0,0,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),65,334,269,71,112,41,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),152,505,353,65,120,55,182,90,1,0,1,1
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),91,416,325,33,67,34,182,90,1,0,1,1
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),244,703,459,46,86,40,182,90,1,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),102,368,266,93,159,66,182,90,1,0,1,1
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),181,403,222,85,151,66,182,90,1,0,1,1
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),74,425,351,82,131,49,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),219,373,154,102,233,131,182,90,1,0,1,1
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hernia Repair (Adult),128,481,353,106,204,98,182,90,1,0,1,1
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,93,297,204,,,,182,90,0,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,54,505,451,,,,182,90,0,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,132,314,182,,,,182,90,0,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,130,368,238,,,,182,90,0,0,1,1
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,186,366,180,,,,182,90,0,0,1,1
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,105,262,157,,,,182,90,0,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,237,318,81,,,,182,90,0,0,1,1
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hernia Repair - Inguinal/Femoral,156,481,325,,,,182,90,0,0,1,1
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,57,171,114,,,,182,90,0,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,20,102,82,,,,182,90,0,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,321,978,657,,,,182,90,0,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,40,185,145,,,,182,90,0,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,29,101,72,,,,182,90,0,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,54,74,20,,,,182,90,0,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,85,132,47,,,,182,90,0,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hernia Repair - Laparoscopic Inguinal Femoral,37,57,20,,,,182,90,0,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hip Replacement,206,323,117,83,473,390,182,90,1,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Hip Replacement,216,311,95,55,329,274,182,90,1,0,1,1
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Hip Replacement,166,335,169,63,312,249,182,90,1,0,1,1
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hip Replacement,115,240,125,78,162,84,182,90,1,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hip Replacement,79,332,253,99,253,154,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hip Replacement,75,358,283,97,268,171,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hip Replacement,93,192,99,112,275,163,182,90,1,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hip Replacement,144,199,55,134,319,185,182,90,1,0,1,1
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hip Replacement,111,254,143,128,246,118,182,90,1,0,1,1
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),229,348,119,113,419,306,182,90,1,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),,,,97,211,114,182,90,1,0,0,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),93,286,193,137,184,47,182,90,1,0,1,1
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),42,93,51,146,358,212,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),43,110,67,75,153,78,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),54,273,219,62,458,396,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),39,42,3,94,134,40,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),45,497,452,90,190,100,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hysterectomy (Cancer Not Suspected),90,441,351,60,119,59,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Hysteroscopy,30,68,38,39,62,23,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Hysteroscopy,69,285,216,45,92,47,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Hysteroscopy,38,143,105,23,80,57,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Hysteroscopy,44,504,460,34,58,24,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Hysteroscopy,51,334,283,51,114,63,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Hysteroscopy,22,169,147,39,129,90,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Hysteroscopy,44,161,117,45,129,84,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Hysteroscopy,31,157,126,47,156,109,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Hysteroscopy,36,99,63,32,87,55,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Knee Replacement,197,337,140,88,604,516,182,90,1,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Knee Replacement,216,378,162,43,167,124,182,90,1,0,1,1
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Knee Replacement,222,428,206,78,442,364,182,90,1,0,1,1
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Knee Replacement,152,281,129,78,303,225,182,90,1,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Knee Replacement,133,407,274,102,372,270,182,90,1,0,1,1
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Knee Replacement,79,489,410,109,274,165,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Knee Replacement,121,658,537,117,271,154,182,90,1,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Knee Replacement,167,392,225,139,298,159,182,90,1,0,1,1
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Knee Replacement,178,281,103,114,342,228,182,90,1,0,1,1
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Knee Scope,85,208,123,32,151,119,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Knee Scope,51,175,124,91,135,44,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Knee Scope,62,224,162,69,182,113,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Knee Scope,90,312,222,49,118,69,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Knee Scope,38,109,71,95,189,94,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Knee Scope,112,188,76,62,124,62,182,90,1,0,1,1
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Knee Scope,73,230,157,85,151,66,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Knee Scope,71,270,199,58,164,106,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Knee Scope,50,133,83,77,140,63,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,22,49,27,182,90,1,0,0,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,44,65,21,182,90,1,0,0,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,30,59,29,182,90,1,0,0,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,44,66,22,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,54,114,60,182,90,1,0,0,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,57,120,63,182,90,1,0,0,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,58,94,36,182,90,1,0,0,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,52,74,22,182,90,1,0,0,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Pacemaker Insertion,,,,63,88,25,182,90,1,0,0,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,88,271,183,130,161,31,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,85,395,310,67,155,88,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,140,275,135,99,127,28,182,90,1,0,1,1
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,249,431,182,99,168,69,182,90,1,0,1,1
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,65,132,67,174,234,60,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,29,176,147,110,285,175,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,285,464,179,121,221,100,182,90,1,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,125,364,239,127,251,124,182,90,1,0,1,1
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,72,246,174,214,337,123,182,90,1,1,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,72,155,83,35,98,63,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,17,106,89,28,112,84,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,16,108,92,42,187,145,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,29,125,96,42,125,83,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,17,166,149,41,175,134,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,24,112,88,34,146,112,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,48,185,137,28,101,73,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,87,151,64,30,100,70,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Bladder Cancer Surgery,84,183,99,26,178,152,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Bladder Surgery,,,,50,118,68,182,90,1,0,0,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Bladder Surgery,,,,48,87,39,182,90,1,0,0,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Bladder Surgery,,,,46,79,33,182,90,1,0,0,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Bladder Surgery,,,,57,147,90,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Bladder Surgery,,,,44,98,54,182,90,1,0,0,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Bladder Surgery,,,,52,133,81,182,90,1,0,0,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Bladder Surgery,,,,54,93,39,182,90,1,0,0,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Bladder Surgery,,,,70,107,37,182,90,1,0,0,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Bladder Surgery,,,,56,83,27,182,90,1,0,0,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Bowel Resection,9,22,13,32,46,14,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Bowel Resection,23,121,98,21,37,16,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Bowel Resection,16,36,20,22,77,55,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Bowel Resection,20,93,73,22,69,47,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Bowel Resection,13,34,21,23,76,53,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Bowel Resection,14,61,47,20,59,39,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Bowel Resection,18,82,64,23,101,78,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Bowel Resection,18,164,146,24,181,157,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Bowel Resection,17,146,129,13,46,33,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,8,28,20,32,46,14,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,24,121,97,17,34,17,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,17,51,34,25,58,33,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,18,63,45,23,69,46,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,15,38,23,23,70,47,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,18,61,43,20,91,71,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,18,74,56,18,47,29,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,8,55,47,24,363,339,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Bowel Resection - Laparoscopic,17,146,129,13,35,22,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Breast Cancer Surgery,8,24,16,22,41,19,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Breast Cancer Surgery,7,14,7,19,31,12,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Breast Cancer Surgery,8,20,12,20,41,21,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Breast Cancer Surgery,7,25,18,19,39,20,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Breast Cancer Surgery,9,23,14,17,42,25,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Breast Cancer Surgery,7,16,9,19,39,20,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Breast Cancer Surgery,10,17,7,16,34,18,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Breast Cancer Surgery,8,21,13,16,39,23,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Breast Cancer Surgery,8,22,14,13,20,7,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Cataract Surgery,35,167,132,33,77,44,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Cataract Surgery,39,116,77,52,98,46,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Cataract Surgery,42,129,87,42,106,64,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Cataract Surgery,54,136,82,29,98,69,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Cataract Surgery,46,150,104,32,140,108,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Cataract Surgery,58,185,127,35,108,73,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Cataract Surgery,47,169,122,48,79,31,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Cataract Surgery,46,131,85,49,97,48,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Cataract Surgery,55,162,107,48,100,52,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,8,21,13,33,48,15,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,23,43,20,25,44,19,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,15,36,21,20,54,34,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,17,32,15,20,43,23,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,12,19,7,23,39,16,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,12,38,26,19,39,20,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,14,71,57,18,33,15,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,14,71,57,12,43,31,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 3,Cape Breton Regional,Colorectal Cancer Surgery,18,146,128,13,46,33,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 3,Cape Breton Regional,Cystoscopy,65,168,103,22,140,118,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 3,Cape Breton Regional,Cystoscopy,36,123,87,19,197,178,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 3,Cape Breton Regional,Cystoscopy,22,123,101,25,169,144,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 3,Cape Breton Regional,Cystoscopy,31,129,98,21,128,107,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 3,Cape Breton Regional,Cystoscopy,20,149,129,28,163,135,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 3,Cape Breton Regional,Cystoscopy,25,135,110,27,159,132,182,90,1,0,1,0
