"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"2335","4303","3472 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62184358","44.65691435","(44.65691435, -63.62184358)"
"2336","4303","3474 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62184276","44.65696742","(44.65696742, -63.62184276)"
"2337","4303","3476 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62184178","44.65703584","(44.65703584, -63.62184178)"
"2338","4303","3478 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62182464","44.65708517","(44.65708517, -63.62182464)"
"2339","4303","3480 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62178636","44.65719919","(44.65719919, -63.62178636)"
"2340","4303","3482 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6217855","44.65725586","(44.65725586, -63.6217855)"
"2341","4303","3484 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62178468","44.657309","(44.657309, -63.62178468)"
"2342","4303","3486 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6217725","44.65736556","(44.65736556, -63.6217725)"
"2343","4303","3488 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62177168","44.65741869","(44.65741869, -63.62177168)"
"2344","4303","3489 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6214262","44.65741604","(44.65741604, -63.6214262)"
