"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"2218","4302","25 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60299163","44.66935309","(44.66935309, -63.60299163)"
"2219","4302","27 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60291576","44.66936598","(44.66936598, -63.60291576)"
"2220","4302","29 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60292928","44.66931029","(44.66931029, -63.60292928)"
"2221","4302","35 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60286673","44.66927202","(44.66927202, -63.60286673)"
"2222","4302","43 Connor Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.59962173","44.66764448","(44.66764448, -63.59962173)"
"2223","4302","37 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60279597","44.66928228","(44.66928228, -63.60279597)"
"2224","4302","39 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60280814","44.66923013","(44.66923013, -63.60280814)"
"2225","4302","55 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60273932","44.66919184","(44.66919184, -63.60273932)"
"2226","4302","57 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60266609","44.66919932","(44.66919932, -63.60266609)"
"2227","4302","59 Jarvis Lane","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60267568","44.66915079","(44.66915079, -63.60267568)"
"2228","4302","5220 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6018679","44.6704179","(44.6704179, -63.6018679)"
"2229","4302","5222 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60190114","44.67038668","(44.67038668, -63.60190114)"
"2230","4302","5224 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60194226","44.6703384","(44.6703384, -63.60194226)"
"2231","4302","5226 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60197804","44.67030897","(44.67030897, -63.60197804)"
"2232","4302","5230 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60205744","44.67022863","(44.67022863, -63.60205744)"
"2233","4302","5228 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60201781","44.67026342","(44.67026342, -63.60201781)"
"2234","4302","5232 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60184599","44.67036285","(44.67036285, -63.60184599)"
"2235","4302","5234 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60191142","44.67029409","(44.67029409, -63.60191142)"
"2236","4302","5236 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60198703","44.67021726","(44.67021726, -63.60198703)"
"2237","4302","5240 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60224445","44.67012482","(44.67012482, -63.60224445)"
"2238","4302","5242 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60228157","44.67009091","(44.67009091, -63.60228157)"
"2239","4302","5238 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60220982","44.67016325","(44.67016325, -63.60220982)"
"2240","4302","5244 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60232764","44.67004806","(44.67004806, -63.60232764)"
"2241","4302","5246 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60236868","44.66999977","(44.66999977, -63.60236868)"
"2242","4302","5248 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60240838","44.66996318","(44.66996318, -63.60240838)"
"2243","4302","5250 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60216484","44.67013768","(44.67013768, -63.60216484)"
"2244","4302","5252 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60223018","44.67006799","(44.67006799, -63.60223018)"
"2245","4302","5260 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60255933","44.66990949","(44.66990949, -63.60255933)"
"2246","4302","5262 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60253088","44.66986877","(44.66986877, -63.60253088)"
"2247","4302","5264 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60258624","44.66988086","(44.66988086, -63.60258624)"
"2248","4302","5266 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6026221","44.66984336","(44.66984336, -63.6026221)"
"2249","4302","5268 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60258462","44.66981879","(44.66981879, -63.60258462)"
"2250","4302","5270 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60266183","44.66980228","(44.66980228, -63.60266183)"
"2251","4302","5272 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60269791","44.66975489","(44.66975489, -63.60269791)"
"2252","4302","5274 Duffus St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60273892","44.66971108","(44.66971108, -63.60273892)"
"2253","4303","3381 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62006148","44.65644072","(44.65644072, -63.62006148)"
"2254","4303","6701 Chisholm Ave","Halifax","65","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62105718","44.65839056","(44.65839056, -63.62105718)"
"2255","4303","3383 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62011335","44.65651675","(44.65651675, -63.62011335)"
"2256","4303","3385 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62015001","44.65659351","(44.65659351, -63.62015001)"
"2257","4303","3387 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62017566","44.65664679","(44.65664679, -63.62017566)"
"2258","4303","3389 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62030292","44.65673596","(44.65673596, -63.62030292)"
"2259","4303","3391 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62037982","44.6567384","(44.6567384, -63.62037982)"
"2260","4303","3393 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62047562","44.65674183","(44.65674183, -63.62047562)"
"2261","4303","3395 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62056637","44.65674436","(44.65674436, -63.62056637)"
"2262","4303","3397 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6215207","44.65667244","(44.65667244, -63.6215207)"
"2263","4303","3399 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62139105","44.65665704","(44.65665704, -63.62139105)"
"2264","4303","3401 Federal Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62126772","44.65663813","(44.65663813, -63.62126772)"
"2265","4303","3458 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61953035","44.65663193","(44.65663193, -63.61953035)"
"2266","4303","3462 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61959518","44.65676201","(44.65676201, -63.61959518)"
"2267","4301","3344 Federal Ave","Halifax","1","85027","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62019066","44.65474813","(44.65474813, -63.62019066)"
"2268","4303","3464 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6196195","44.6568207","(44.6568207, -63.6196195)"
"2269","4303","3466 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6196401","44.65687395","(44.65687395, -63.6196401)"
"2270","4303","3468 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61967454","44.65693456","(44.65693456, -63.61967454)"
"2271","4303","3470 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61970663","44.65698066","(44.65698066, -63.61970663)"
"2272","4302","3468 Barrington St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60161139","44.670154","(44.670154, -63.60161139)"
"2273","4302","3466 Barrington St","Halifax","1","61945","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.60161439","44.67011745","(44.67011745, -63.60161439)"
"2274","4303","3459 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61921514","44.65671141","(44.65671141, -63.61921514)"
"2275","4303","3460 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61956442","44.6567105","(44.6567105, -63.61956442)"
"2276","4303","3463 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61927028","44.65681893","(44.65681893, -63.61927028)"
"2277","4303","3465 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61929844","44.65687133","(44.65687133, -63.61929844)"
"2278","4303","3467 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61933162","44.65692829","(44.65692829, -63.61933162)"
"2279","4303","3469 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61935111","44.65697614","(44.65697614, -63.61935111)"
"2280","4303","3471 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61940653","44.65706477","(44.65706477, -63.61940653)"
"2281","4303","3472 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61996511","44.65697995","(44.65697995, -63.61996511)"
"2282","4303","3476 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62000268","44.65708199","(44.65708199, -63.62000268)"
"2283","4303","3480 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62006183","44.6571688","(44.6571688, -63.62006183)"
"2284","4303","3461 Micmac St","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61924713","44.65676384","(44.65676384, -63.61924713)"
"2285","4303","3484 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61999232","44.65734827","(44.65734827, -63.61999232)"
"2286","4303","3486 Micmac St","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62001922","44.65740427","(44.65740427, -63.62001922)"
