section,rank,measure,year,county,port,records,kgs,dollars,published_dollars,price_per_kg,share_pct,cumulative_share_pct,delta,delta_pct
county_coverage,76,"",2020,Inverness,"",18,,19302260.29,55572301.33,,,,-36270041.04,-65.27
county_coverage,77,"",2021,Inverness,"",18,,33539191.10,109126181.58,,,,-75586990.48,-69.27
county_coverage,78,"",2022,Inverness,"",18,,94606417.96,125262534.14,,,,-30656116.18,-24.47
county_coverage,79,"",2023,Inverness,"",18,,11050423.10,62512128.52,,,,-51461705.42,-82.32
county_coverage,80,"",2024,Inverness,"",18,,32989979.77,81569622.33,,,,-48579642.56,-59.56
county_coverage,81,"",2017,Kings,"",6,,4448765.17,6240032.00,,,,-1791266.83,-28.71
county_coverage,82,"",2018,Kings,"",6,,4255987.68,5579604.97,,,,-1323617.29,-23.72
county_coverage,83,"",2019,Kings,"",6,,2663868.00,3671567.00,,,,-1007699.00,-27.45
county_coverage,84,"",2020,Kings,"",6,,1786582.89,3203647.98,,,,-1417065.09,-44.23
county_coverage,85,"",2021,Kings,"",6,,2480256.59,4518151.15,,,,-2037894.56,-45.10
county_coverage,86,"",2022,Kings,"",6,,2751921.15,4416137.09,,,,-1664215.94,-37.68
county_coverage,87,"",2023,Kings,"",6,,1495471.93,6309678.60,,,,-4814206.67,-76.30
county_coverage,88,"",2024,Kings,"",6,,2946098.32,9069094.75,,,,-6122996.43,-67.51
county_coverage,89,"",2017,Lunenburg,"",23,,11376913.39,20218824.28,,,,-8841910.89,-43.73
county_coverage,90,"",2018,Lunenburg,"",23,,20425425.82,26239266.46,,,,-5813840.64,-22.16
county_coverage,91,"",2019,Lunenburg,"",23,,26241234.00,35294899.00,,,,-9053665.00,-25.65
county_coverage,92,"",2020,Lunenburg,"",23,,16388296.82,20928584.41,,,,-4540287.59,-21.69
county_coverage,93,"",2021,Lunenburg,"",23,,28049506.30,42457106.75,,,,-14407600.45,-33.93
county_coverage,94,"",2022,Lunenburg,"",23,,20952151.47,33369719.16,,,,-12417567.69,-37.21
county_coverage,95,"",2023,Lunenburg,"",23,,24355992.47,41444064.88,,,,-17088072.41,-41.23
county_coverage,96,"",2024,Lunenburg,"",23,,22966749.24,47248777.05,,,,-24282027.81,-51.39
