program_type,source_id,county,municipality,community,property_label,housing_authority,units,latitude,longitude
Families,29,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2693 Morse Rd,Western Regional Housing Authority,1,44.82671617,-65.28793907
Families,30,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2695 Morse Rd,Western Regional Housing Authority,1,44.82674512,-65.28765965
Families,31,Annapolis,Municipality of the County of Annapolis,Clementsport,451 Old Post Rd,Western Regional Housing Authority,1,44.68014173,-65.6001528
Families,32,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2721 Morse Rd,Western Regional Housing Authority,1,44.82783683,-65.28856137
Families,33,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2727 Morse Rd,Western Regional Housing Authority,1,44.82811474,-65.28871694
Families,34,Annapolis,Municipality of the County of Annapolis,Nictaux,8608 Highway 201,Western Regional Housing Authority,1,44.91984457,-65.05863049
Families,35,Annapolis,Municipality of the County of Annapolis,Nictaux,8618 Highway 201,Western Regional Housing Authority,1,44.92001685,-65.05836611
Families,36,Annapolis,Municipality of the County of Annapolis,Clementsport,453 Old Post Rd,Western Regional Housing Authority,1,44.68009548,-65.5998878
Families,37,Annapolis,Municipality of the County of Annapolis,Beaconsfield,633 Inglewood Rd,Western Regional Housing Authority,1,44.86782176,-65.31036754
Families,38,Annapolis,Municipality of the County of Annapolis,Centrelea,3362 Highway 201,Western Regional Housing Authority,1,44.81430701,-65.33589021
Families,39,Annapolis,Municipality of the County of Annapolis,Lawrencetown,22 Fitch Rd,Western Regional Housing Authority,1,44.89096246,-65.15098477
Families,40,Annapolis,Municipality of the County of Annapolis,Inglisville,1485 Inglisville Rd,Western Regional Housing Authority,1,44.85860641,-65.10571509
Families,41,Annapolis,Municipality of the County of Annapolis,Lawrencetown,26 Fitch Rd,Western Regional Housing Authority,1,44.89116882,-65.15110105
Families,42,Annapolis,Town of Middleton,Middleton,242 Commercial St,Western Regional Housing Authority,1,44.95241315,-65.07421955
Families,43,Annapolis,Town of Middleton,Middleton,258 Commercial St,Western Regional Housing Authority,1,44.95328823,-65.07474469
Families,44,Annapolis,Town of Middleton,Middleton,260 Commercial St,Western Regional Housing Authority,1,44.95339669,-65.07481285
Families,45,Annapolis,Town of Middleton,Middleton,262 Commercial St,Western Regional Housing Authority,1,44.95350515,-65.074881
Families,46,Annapolis,Town of Middleton,Middleton,264 Commercial St,Western Regional Housing Authority,1,44.95361362,-65.07494916
Families,47,Annapolis,Town of Middleton,Middleton,266 Commercial St,Western Regional Housing Authority,1,44.95372208,-65.07501731
Families,48,Annapolis,Town of Middleton,Middleton,268 Commercial St,Western Regional Housing Authority,1,44.95383046,-65.07508468
Families,49,Annapolis,Town of Middleton,Middleton,270 Commercial St,Western Regional Housing Authority,1,44.95393918,-65.07515202
Families,50,Annapolis,Town of Middleton,Middleton,272 Commercial St,Western Regional Housing Authority,1,44.9540479,-65.07521936
Families,51,Annapolis,Town of Middleton,Middleton,274 Commercial St,Western Regional Housing Authority,1,44.95415662,-65.07528669
Families,52,Annapolis,Town of Middleton,Middleton,276 Commercial St,Western Regional Housing Authority,1,44.95426534,-65.07535403
Families,53,Annapolis,Town of Middleton,Middleton,280 Commercial St,Western Regional Housing Authority,1,44.95448278,-65.0754887
Families,54,Annapolis,Town of Middleton,Middleton,282 Commercial St,Western Regional Housing Authority,1,44.9545915,-65.07555604
Families,55,Annapolis,Town of Middleton,Middleton,240 Commercial St,Western Regional Housing Authority,1,44.95230962,-65.07414973
Seniors,127,Annapolis,Municipality of the County of Annapolis,Lawrencetown,Anna Villa Seniors I,Western Regional Housing Authority,40,44.89090664,-65.14983708
Seniors,128,Annapolis,Town of Annapolis Royal,Annapolis Royal,Evergreen/Willows,Western Regional Housing Authority,29,44.74013883,-65.5037106
Seniors,129,Annapolis,Municipality of the County of Annapolis,Bridgetown,Centennial Seniors I,Western Regional Housing Authority,23,44.83955074,-65.28517821
Seniors,130,Annapolis,Municipality of the County of Annapolis,Bridgetown,Centennial Seniors II,Western Regional Housing Authority,15,44.83976916,-65.28420616
Seniors,131,Annapolis,Town of Middleton,Middleton,Sunset Meadows Middleton,Western Regional Housing Authority,40,44.95156013,-65.07237592
Seniors,70,Annapolis,Municipality of the County of Annapolis,Lawrencetown,Anna-Villa West Annapolis,Western Regional Housing Authority,10,44.89043548,-65.15073886
Seniors,71,Annapolis,Municipality of the County of Annapolis,Clementsport,Four Winds Clementsport A,Western Regional Housing Authority,15,44.66464416,-65.61321345
Seniors,72,Annapolis,Municipality of the County of Annapolis,Bridgetown,Crosskill Court Annapolis,Western Regional Housing Authority,25,44.84937978,-65.29176293
Seniors,73,Annapolis,Town of Annapolis Royal,Annapolis Royal,Cedar House Annapolis Roy,Western Regional Housing Authority,15,44.73987646,-65.50321885
Families,1499,Antigonish,Town of Antigonish,Antigonish,10 Sunset Terr,Eastern Mainland Housing Authority,1,45.6259139,-62.01156456
Families,1500,Antigonish,Town of Antigonish,Antigonish,28 Maple Dr,Eastern Mainland Housing Authority,1,45.62578122,-62.00912924
Families,1502,Antigonish,Town of Antigonish,Antigonish,6 Maple Dr,Eastern Mainland Housing Authority,1,45.6273657,-62.00585086
Families,1503,Antigonish,Town of Antigonish,Antigonish,7 Maple Dr,Eastern Mainland Housing Authority,1,45.62705702,-62.00545401
Families,1504,Antigonish,Town of Antigonish,Antigonish,10 Maple Dr,Eastern Mainland Housing Authority,1,45.62729703,-62.00608044
Families,1505,Antigonish,Town of Antigonish,Antigonish,11 Maple Dr,Eastern Mainland Housing Authority,1,45.62696983,-62.0056994
Families,1506,Antigonish,Town of Antigonish,Antigonish,3 Greening Dr,Eastern Mainland Housing Authority,2,45.61795765,-62.00699232
Families,1507,Antigonish,Town of Antigonish,Antigonish,7 Greening Dr,Eastern Mainland Housing Authority,2,45.61759391,-62.0067271
Families,1508,Antigonish,Town of Antigonish,Antigonish,19 Martin St,Eastern Mainland Housing Authority,4,45.61556269,-62.00711633
Families,1509,Antigonish,Town of Antigonish,Antigonish,25 Viewville St,Eastern Mainland Housing Authority,1,45.62718666,-62.01006151
Families,1510,Antigonish,Municipality of the County of Antigonish,Greenwold,24 Grandview Dr,Eastern Mainland Housing Authority,1,45.61819989,-61.97284982
Families,1511,Antigonish,Municipality of the County of Antigonish,Greenwold,28 Grandview Dr,Eastern Mainland Housing Authority,1,45.61837023,-61.9729923
Families,1512,Antigonish,Municipality of the County of Antigonish,Havre Boucher,1402 Cape Jack Rd,Eastern Mainland Housing Authority,1,45.68373197,-61.54243804
Families,1513,Antigonish,Municipality of the County of Antigonish,Havre Boucher,1410 Cape Jack Rd,Eastern Mainland Housing Authority,1,45.68373204,-61.54214277
Families,1514,Antigonish,Municipality of the County of Antigonish,Greenwold,43 Grandview Dr,Eastern Mainland Housing Authority,1,45.61876928,-61.97394472
Families,1515,Antigonish,Town of Antigonish,Antigonish,29 Northview Dr,Eastern Mainland Housing Authority,1,45.626975,-62.00737605
Families,1754,Antigonish,Town of Antigonish,Antigonish,12 Sunset Terr,Eastern Mainland Housing Authority,1,45.62628497,-62.01204604
Families,1755,Antigonish,Town of Antigonish,Antigonish,30 Maple Dr,Eastern Mainland Housing Authority,1,45.62570675,-62.00893287
Families,1756,Antigonish,Town of Antigonish,Antigonish,31 Northview Dr,Eastern Mainland Housing Authority,1,45.62709236,-62.0072824
Families,1757,Antigonish,Town of Antigonish,Antigonish,8 Maple Dr,Eastern Mainland Housing Authority,1,45.62724705,-62.0057795
Families,1758,Antigonish,Town of Antigonish,Antigonish,9 Maple Dr,Eastern Mainland Housing Authority,1,45.62712977,-62.00576035
Families,1759,Antigonish,Municipality of the County of Antigonish,Greenwold,45 Grandview Dr,Eastern Mainland Housing Authority,1,45.61897865,-61.97386643
Families,1760,Antigonish,Town of Antigonish,Antigonish,16 Greening Dr (A&B),Eastern Mainland Housing Authority,2,45.61655835,-62.0065824
Families,1761,Antigonish,Town of Antigonish,Antigonish,24 Viewville St (A&B),Eastern Mainland Housing Authority,2,45.62746486,-62.01033658
Families,1763,Antigonish,Town of Antigonish,Antigonish,16 Greening Dr (C&D),Eastern Mainland Housing Authority,2,45.61636779,-62.00646875
Seniors,1,Antigonish,Town of Antigonish,Antigonish,Orchard Villa - 29,Eastern Mainland Housing Authority,29,45.62546895,-61.99489123
Seniors,109,Antigonish,Municipality of the County of Antigonish,Antigonish,Greenwold Manor - 55,Eastern Mainland Housing Authority,55,45.61913297,-61.97774458
Seniors,2,Antigonish,Town of Antigonish,Antigonish,J.J. Carroll House,Eastern Mainland Housing Authority,50,45.62420393,-61.99542225
Seniors,3,Antigonish,Town of Antigonish,Antigonish,Hillside Manor - 15,Eastern Mainland Housing Authority,15,45.62431512,-61.99452275
Seniors,4,Antigonish,Town of Antigonish,Antigonish,Antigonish Manor,Eastern Mainland Housing Authority,25,45.62544701,-61.99230574
Seniors,5,Antigonish,Municipality of the County of Antigonish,Antigonish Co,Havre Boucher - 10,Eastern Mainland Housing Authority,10,45.68045432,-61.53509007
Families,1000,Cape Breton,Cape Breton Regional Municipality,Glace Bay,217 Shaft St,Cape Breton Island Housing Authority,1,46.18321338,-59.95488197
Families,1001,Cape Breton,Cape Breton Regional Municipality,Glace Bay,219 Shaft St,Cape Breton Island Housing Authority,1,46.18325302,-59.95481243
Families,1002,Cape Breton,Cape Breton Regional Municipality,Glace Bay,221 Shaft St,Cape Breton Island Housing Authority,1,46.18335581,-59.95471605
Families,1003,Cape Breton,Cape Breton Regional Municipality,Glace Bay,223 Shaft St,Cape Breton Island Housing Authority,1,46.18337234,-59.9546472
Families,1004,Cape Breton,Cape Breton Regional Municipality,Glace Bay,225 Shaft St,Cape Breton Island Housing Authority,1,46.18346353,-59.95454745
Families,1005,Cape Breton,Cape Breton Regional Municipality,Glace Bay,227 Shaft St,Cape Breton Island Housing Authority,1,46.18348333,-59.95448578
Families,1006,Cape Breton,Cape Breton Regional Municipality,Glace Bay,229 Shaft St,Cape Breton Island Housing Authority,1,46.18359649,-59.95439653
Families,1007,Cape Breton,Cape Breton Regional Municipality,Glace Bay,231 Shaft St,Cape Breton Island Housing Authority,1,46.18361698,-59.95434135
Families,1008,Cape Breton,Cape Breton Regional Municipality,Glace Bay,233 Shaft St,Cape Breton Island Housing Authority,1,46.18372379,-59.95426065
Families,1009,Cape Breton,Cape Breton Regional Municipality,Glace Bay,235 Shaft St,Cape Breton Island Housing Authority,1,46.18372756,-59.95415795
Families,1010,Cape Breton,Cape Breton Regional Municipality,Glace Bay,1 Baron Dr,Cape Breton Island Housing Authority,1,46.1839675,-59.9545539
Families,1011,Cape Breton,Cape Breton Regional Municipality,Glace Bay,3 Baron Dr,Cape Breton Island Housing Authority,1,46.18394932,-59.95459147
Families,1012,Cape Breton,Cape Breton Regional Municipality,Glace Bay,5 Baron Dr,Cape Breton Island Housing Authority,1,46.18383888,-59.9546973
Families,1013,Cape Breton,Cape Breton Regional Municipality,Glace Bay,7 Baron Dr,Cape Breton Island Housing Authority,1,46.1838208,-59.95474507
Families,1014,Cape Breton,Cape Breton Regional Municipality,Glace Bay,9 Baron Dr,Cape Breton Island Housing Authority,1,46.18372817,-59.95487812
Families,1015,Cape Breton,Cape Breton Regional Municipality,Glace Bay,11 Baron Dr,Cape Breton Island Housing Authority,1,46.18370085,-59.95490858
Families,1016,Cape Breton,Cape Breton Regional Municipality,Glace Bay,13 Baron Dr,Cape Breton Island Housing Authority,1,46.18360859,-59.95502688
Families,1017,Cape Breton,Cape Breton Regional Municipality,Glace Bay,15 Baron Dr,Cape Breton Island Housing Authority,1,46.18357398,-59.95508251
Families,1018,Cape Breton,Cape Breton Regional Municipality,Glace Bay,17 Baron Dr,Cape Breton Island Housing Authority,1,46.18349161,-59.95521239
Families,1019,Cape Breton,Cape Breton Regional Municipality,Glace Bay,19 Baron Dr,Cape Breton Island Housing Authority,1,46.18345865,-59.95525128
Families,1020,Cape Breton,Cape Breton Regional Municipality,Glace Bay,21 Baron Dr,Cape Breton Island Housing Authority,1,46.18335937,-59.95531801
Families,1021,Cape Breton,Cape Breton Regional Municipality,Glace Bay,23 Baron Dr,Cape Breton Island Housing Authority,1,46.18331539,-59.95539047
Families,1022,Cape Breton,Cape Breton Regional Municipality,Glace Bay,25 Baron Dr,Cape Breton Island Housing Authority,1,46.18321883,-59.95551796
Families,1023,Cape Breton,Cape Breton Regional Municipality,Glace Bay,27 Baron Dr,Cape Breton Island Housing Authority,1,46.18317894,-59.95556074
Families,1024,Cape Breton,Cape Breton Regional Municipality,Glace Bay,29 Baron Dr,Cape Breton Island Housing Authority,1,46.18310591,-59.95567471
Families,1025,Cape Breton,Cape Breton Regional Municipality,Glace Bay,31 Baron Dr,Cape Breton Island Housing Authority,1,46.18304266,-59.95574581
Families,1026,Cape Breton,Cape Breton Regional Municipality,Glace Bay,33 Baron Dr,Cape Breton Island Housing Authority,1,46.18294072,-59.95585033
Families,1027,Cape Breton,Cape Breton Regional Municipality,Glace Bay,35 Baron Dr,Cape Breton Island Housing Authority,1,46.18290029,-59.95590327
Families,1028,Cape Breton,Cape Breton Regional Municipality,Glace Bay,2 Baron Dr,Cape Breton Island Housing Authority,1,46.18422297,-59.95492022
Families,1029,Cape Breton,Cape Breton Regional Municipality,Glace Bay,4 Baron Dr,Cape Breton Island Housing Authority,1,46.18415749,-59.95497304
Families,1030,Cape Breton,Cape Breton Regional Municipality,Glace Bay,6 Baron Dr,Cape Breton Island Housing Authority,1,46.18405551,-59.95508225
Families,1031,Cape Breton,Cape Breton Regional Municipality,Glace Bay,8 Baron Dr,Cape Breton Island Housing Authority,1,46.18401842,-59.9551453
Families,1032,Cape Breton,Cape Breton Regional Municipality,Glace Bay,10 Baron Dr,Cape Breton Island Housing Authority,1,46.18391417,-59.95527405
Families,1033,Cape Breton,Cape Breton Regional Municipality,Glace Bay,12 Baron Dr,Cape Breton Island Housing Authority,1,46.18388661,-59.95533221
Families,1034,Cape Breton,Cape Breton Regional Municipality,Glace Bay,14 Baron Dr,Cape Breton Island Housing Authority,1,46.18377934,-59.95547218
Families,1035,Cape Breton,Cape Breton Regional Municipality,Glace Bay,16 Baron Dr,Cape Breton Island Housing Authority,1,46.18373587,-59.95554185
Families,1036,Cape Breton,Cape Breton Regional Municipality,Glace Bay,26 Baron Dr,Cape Breton Island Housing Authority,1,46.18346762,-59.95585385
Families,1037,Cape Breton,Cape Breton Regional Municipality,Glace Bay,28 Baron Dr,Cape Breton Island Housing Authority,1,46.18343071,-59.95588183
Families,1038,Cape Breton,Cape Breton Regional Municipality,Glace Bay,30 Baron Dr,Cape Breton Island Housing Authority,1,46.18336256,-59.95603084
Families,1039,Cape Breton,Cape Breton Regional Municipality,Glace Bay,201 Shaft St,Cape Breton Island Housing Authority,1,46.18255484,-59.95532247
Families,1040,Cape Breton,Cape Breton Regional Municipality,Glace Bay,32 Baron Dr,Cape Breton Island Housing Authority,1,46.1833186,-59.95606264
Families,1041,Cape Breton,Cape Breton Regional Municipality,Glace Bay,9 Bluewater Dr,Cape Breton Island Housing Authority,1,46.19991481,-59.95540881
Families,1042,Cape Breton,Cape Breton Regional Municipality,Glace Bay,15 Bluewater Dr,Cape Breton Island Housing Authority,1,46.19967586,-59.95470285
Families,1043,Cape Breton,Cape Breton Regional Municipality,Glace Bay,9 Tanya Dr,Cape Breton Island Housing Authority,1,46.20912836,-59.98905955
Families,1044,Cape Breton,Cape Breton Regional Municipality,Glace Bay,13 Bluewater Dr,Cape Breton Island Housing Authority,1,46.19980436,-59.95490381
Families,1045,Cape Breton,Cape Breton Regional Municipality,Glace Bay,11 Tanya Dr,Cape Breton Island Housing Authority,1,46.20905881,-59.98924291
Families,1046,Cape Breton,Cape Breton Regional Municipality,Glace Bay,14 Tanya Dr,Cape Breton Island Housing Authority,1,46.20938015,-59.98938956
Families,1047,Cape Breton,Cape Breton Regional Municipality,Glace Bay,26 Maxie St,Cape Breton Island Housing Authority,1,46.18128719,-59.95886455
Families,1048,Cape Breton,Cape Breton Regional Municipality,Glace Bay,160 Connaught Ave,Cape Breton Island Housing Authority,1,46.21350838,-59.98636393
Families,1049,Cape Breton,Cape Breton Regional Municipality,Glace Bay,15 Anderson St,Cape Breton Island Housing Authority,1,46.18438804,-59.96404158
Families,1050,Cape Breton,Cape Breton Regional Municipality,Glace Bay,8 Mance St,Cape Breton Island Housing Authority,1,46.18144242,-59.95864457
Families,1051,Cape Breton,Cape Breton Regional Municipality,Glace Bay,26 Tanya Dr,Cape Breton Island Housing Authority,1,46.20868475,-59.9905556
Families,1052,Cape Breton,Cape Breton Regional Municipality,Glace Bay,78 Brookside St,Cape Breton Island Housing Authority,1,46.19083827,-59.95539056
Families,1053,Cape Breton,Cape Breton Regional Municipality,Glace Bay,5 Bay St,Cape Breton Island Housing Authority,1,46.1989555,-59.95965984
Families,1054,Cape Breton,Cape Breton Regional Municipality,Glace Bay,30 Sixth St,Cape Breton Island Housing Authority,1,46.21418202,-59.96396495
Families,1055,Cape Breton,Cape Breton Regional Municipality,Glace Bay,32 Sixth St,Cape Breton Island Housing Authority,1,46.21423194,-59.96385789
Families,1056,Cape Breton,Cape Breton Regional Municipality,Glace Bay,5 Bluewater Dr,Cape Breton Island Housing Authority,1,46.19998312,-59.95580215
Families,1057,Cape Breton,Cape Breton Regional Municipality,Glace Bay,10 Stanley St,Cape Breton Island Housing Authority,1,46.18368191,-59.94714588
Families,1058,Cape Breton,Cape Breton Regional Municipality,Glace Bay,7 Bluewater Dr,Cape Breton Island Housing Authority,1,46.19995344,-59.95560209
Families,1059,Cape Breton,Cape Breton Regional Municipality,Glace Bay,19 Dinn Ave,Cape Breton Island Housing Authority,1,46.18319249,-59.9533773
Families,1060,Cape Breton,Cape Breton Regional Municipality,Glace Bay,23 Dinn Ave,Cape Breton Island Housing Authority,1,46.18295316,-59.95297596
Families,1061,Cape Breton,Cape Breton Regional Municipality,Glace Bay,21 Dinn Ave,Cape Breton Island Housing Authority,1,46.18307755,-59.95319264
Families,1062,Cape Breton,Cape Breton Regional Municipality,Glace Bay,4 Warren St,Cape Breton Island Housing Authority,1,46.18262544,-59.95336079
Families,1063,Cape Breton,Cape Breton Regional Municipality,Glace Bay,2 Warren St,Cape Breton Island Housing Authority,1,46.18274538,-59.95324732
Families,1064,Cape Breton,Cape Breton Regional Municipality,Glace Bay,6 Warren St,Cape Breton Island Housing Authority,1,46.18251524,-59.95352585
Families,1065,Cape Breton,Cape Breton Regional Municipality,Glace Bay,8 Warren St,Cape Breton Island Housing Authority,1,46.18242213,-59.95368017
Families,1066,Cape Breton,Cape Breton Regional Municipality,Glace Bay,10 Warren St,Cape Breton Island Housing Authority,1,46.18227208,-59.9538435
Families,1067,Cape Breton,Cape Breton Regional Municipality,Glace Bay,45 Eighth St,Cape Breton Island Housing Authority,1,46.21696116,-59.96279196
Families,1068,Cape Breton,Cape Breton Regional Municipality,Glace Bay,1 Harrington St,Cape Breton Island Housing Authority,1,46.17638604,-59.98088393
Families,1069,Cape Breton,Cape Breton Regional Municipality,Glace Bay,3 Harrington St,Cape Breton Island Housing Authority,2,46.17649618,-59.98104931
Families,1070,Cape Breton,Cape Breton Regional Municipality,Glace Bay,23 Daniel Dr,Cape Breton Island Housing Authority,1,46.19004421,-59.98599439
Families,1071,Cape Breton,Cape Breton Regional Municipality,Glace Bay,35 Daniel Dr,Cape Breton Island Housing Authority,1,46.18956964,-59.98588145
Families,1072,Cape Breton,Cape Breton Regional Municipality,Glace Bay,43 Daniel Dr,Cape Breton Island Housing Authority,1,46.18921743,-59.98578525
Families,1073,Cape Breton,Cape Breton Regional Municipality,Glace Bay,43 Daniel Dr,Cape Breton Island Housing Authority,1,46.18921743,-59.98578525
Families,1074,Cape Breton,Cape Breton Regional Municipality,Glace Bay,14 Gordon St,Cape Breton Island Housing Authority,1,46.20616549,-59.95888156
Families,1075,Cape Breton,Cape Breton Regional Municipality,Glace Bay,23 Quarry Rd,Cape Breton Island Housing Authority,1,46.18565335,-59.9547073
Families,1076,Cape Breton,Cape Breton Regional Municipality,Glace Bay,25 Quarry Rd,Cape Breton Island Housing Authority,1,46.18575088,-59.95460092
Families,1077,Cape Breton,Cape Breton Regional Municipality,Glace Bay,251 Reserve St,Cape Breton Island Housing Authority,1,46.18997409,-59.98680353
Families,1078,Cape Breton,Cape Breton Regional Municipality,Glace Bay,153 Dorchester St,Cape Breton Island Housing Authority,1,46.1783207,-59.97424467
Families,1079,Cape Breton,Cape Breton Regional Municipality,Glace Bay,155 Dorchester St,Cape Breton Island Housing Authority,1,46.1783271,-59.97443356
Families,1080,Cape Breton,Cape Breton Regional Municipality,Glace Bay,20 Ling St,Cape Breton Island Housing Authority,1,46.18870049,-59.97150529
Families,1081,Cape Breton,Cape Breton Regional Municipality,Glace Bay,22 Ling St,Cape Breton Island Housing Authority,1,46.18873503,-59.97155645
Families,1082,Cape Breton,Cape Breton Regional Municipality,Glace Bay,10 MacLennan St,Cape Breton Island Housing Authority,1,46.17600371,-59.98298413
Families,1083,Cape Breton,Cape Breton Regional Municipality,Glace Bay,12 MacLennan St,Cape Breton Island Housing Authority,1,46.17608862,-59.98310513
Families,1084,Cape Breton,Cape Breton Regional Municipality,Glace Bay,10 Khalsa Dr,Cape Breton Island Housing Authority,1,46.21789155,-59.97093875
Families,1085,Cape Breton,Cape Breton Regional Municipality,New Waterford,674 Eighth St,Cape Breton Island Housing Authority,1,46.24189766,-60.08904568
Families,1086,Cape Breton,Cape Breton Regional Municipality,New Waterford,680 Eighth St,Cape Breton Island Housing Authority,1,46.24184251,-60.08914609
Families,1087,Cape Breton,Cape Breton Regional Municipality,New Waterford,682 Eighth St,Cape Breton Island Housing Authority,1,46.24176219,-60.08929406
Families,1088,Cape Breton,Cape Breton Regional Municipality,New Waterford,688 Eighth St,Cape Breton Island Housing Authority,1,46.24173399,-60.08940947
Families,1089,Cape Breton,Cape Breton Regional Municipality,New Waterford,692 Eighth St,Cape Breton Island Housing Authority,1,46.2416529,-60.08959819
Families,1090,Cape Breton,Cape Breton Regional Municipality,Glace Bay,82 Brookside St,Cape Breton Island Housing Authority,1,46.19068773,-59.9555321
Families,1091,Cape Breton,Cape Breton Regional Municipality,New Waterford,696 Eighth St,Cape Breton Island Housing Authority,1,46.2416245,-60.08967859
Families,1092,Cape Breton,Cape Breton Regional Municipality,New Waterford,3366 Landry Ave,Cape Breton Island Housing Authority,1,46.24188013,-60.08857908
Families,1093,Cape Breton,Cape Breton Regional Municipality,New Waterford,3368 Landry Ave,Cape Breton Island Housing Authority,1,46.24193679,-60.08862902
Families,1094,Cape Breton,Cape Breton Regional Municipality,New Waterford,3372 Landry Ave,Cape Breton Island Housing Authority,1,46.24203373,-60.08872724
Families,1095,Cape Breton,Cape Breton Regional Municipality,New Waterford,3374 Landry Ave,Cape Breton Island Housing Authority,1,46.24207242,-60.08877938
Families,1096,Cape Breton,Cape Breton Regional Municipality,New Waterford,1 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24137089,-60.08945481
Families,1097,Cape Breton,Cape Breton Regional Municipality,New Waterford,2 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24141024,-60.08939603
Families,1098,Cape Breton,Cape Breton Regional Municipality,New Waterford,3 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24147038,-60.08924736
Families,1099,Cape Breton,Cape Breton Regional Municipality,New Waterford,4 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24149883,-60.0891941
Families,1100,Cape Breton,Cape Breton Regional Municipality,New Waterford,5 Johnstone Terr,Cape Breton Island Housing Authority,1,46.2415773,-60.08905552
Families,1101,Cape Breton,Cape Breton Regional Municipality,New Waterford,6 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24160216,-60.08900236
Families,1102,Cape Breton,Cape Breton Regional Municipality,New Waterford,7 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24149037,-60.08880039
Families,1103,Cape Breton,Cape Breton Regional Municipality,New Waterford,8 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24144983,-60.08876468
Families,1104,Cape Breton,Cape Breton Regional Municipality,New Waterford,9 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24130915,-60.08888386
Families,1105,Cape Breton,Cape Breton Regional Municipality,New Waterford,10 Johnstone Terr,Cape Breton Island Housing Authority,1,46.24128788,-60.08893164
Families,1106,Cape Breton,Cape Breton Regional Municipality,New Waterford,271 Hudson St,Cape Breton Island Housing Authority,1,46.25388228,-60.08580799
Families,1107,Cape Breton,Cape Breton Regional Municipality,New Waterford,272 Hudson St,Cape Breton Island Housing Authority,1,46.25378675,-60.08535716
Families,1108,Cape Breton,Cape Breton Regional Municipality,New Waterford,273 Hudson St,Cape Breton Island Housing Authority,1,46.25383765,-60.08583507
Families,1109,Cape Breton,Cape Breton Regional Municipality,New Waterford,274 Hudson St,Cape Breton Island Housing Authority,1,46.25373571,-60.08538173
Families,1110,Cape Breton,Cape Breton Regional Municipality,New Waterford,275 Hudson St,Cape Breton Island Housing Authority,1,46.2536538,-60.08595004
Families,1111,Cape Breton,Cape Breton Regional Municipality,New Waterford,276 Hudson St,Cape Breton Island Housing Authority,1,46.25362648,-60.08543259
Families,1112,Cape Breton,Cape Breton Regional Municipality,New Waterford,277 Hudson St,Cape Breton Island Housing Authority,1,46.2536106,-60.0859855
Families,1113,Cape Breton,Cape Breton Regional Municipality,New Waterford,278 Hudson St,Cape Breton Island Housing Authority,1,46.25357091,-60.08545464
Families,1114,Cape Breton,Cape Breton Regional Municipality,New Waterford,280 Hudson St,Cape Breton Island Housing Authority,1,46.25345432,-60.08551109
Families,1115,Cape Breton,Cape Breton Regional Municipality,New Waterford,282 Hudson St,Cape Breton Island Housing Authority,1,46.25339871,-60.08553196
Families,1116,Cape Breton,Cape Breton Regional Municipality,New Waterford,284 Hudson St,Cape Breton Island Housing Authority,1,46.25325771,-60.08560847
Families,1117,Cape Breton,Cape Breton Regional Municipality,New Waterford,286 Hudson St,Cape Breton Island Housing Authority,1,46.25320174,-60.0855992
Families,1118,Cape Breton,Cape Breton Regional Municipality,New Waterford,288 Hudson St,Cape Breton Island Housing Authority,1,46.25306878,-60.08566523
Families,1119,Cape Breton,Cape Breton Regional Municipality,New Waterford,290 Hudson St,Cape Breton Island Housing Authority,1,46.25303243,-60.08569857
Families,1120,Cape Breton,Cape Breton Regional Municipality,New Waterford,415 Anniversary St,Cape Breton Island Housing Authority,1,46.24844759,-60.07816422
Families,1121,Cape Breton,Cape Breton Regional Municipality,New Waterford,416 Anniversary St,Cape Breton Island Housing Authority,1,46.24834755,-60.07771335
Families,1122,Cape Breton,Cape Breton Regional Municipality,New Waterford,417 Anniversary St,Cape Breton Island Housing Authority,1,46.24840384,-60.07817366
Families,1123,Cape Breton,Cape Breton Regional Municipality,New Waterford,418 Anniversary St,Cape Breton Island Housing Authority,1,46.24829418,-60.07775095
Families,1124,Cape Breton,Cape Breton Regional Municipality,New Waterford,419 Anniversary St,Cape Breton Island Housing Authority,1,46.24827297,-60.07824185
Families,1125,Cape Breton,Cape Breton Regional Municipality,New Waterford,420 Anniversary St,Cape Breton Island Housing Authority,1,46.24817705,-60.07779981
Families,1126,Cape Breton,Cape Breton Regional Municipality,New Waterford,421 Anniversary St,Cape Breton Island Housing Authority,1,46.24819971,-60.07827213
Families,1127,Cape Breton,Cape Breton Regional Municipality,New Waterford,422 Anniversary St,Cape Breton Island Housing Authority,1,46.24809892,-60.07784208
Families,1128,Cape Breton,Cape Breton Regional Municipality,New Waterford,424 Anniversary St,Cape Breton Island Housing Authority,1,46.24796909,-60.07787829
Families,1129,Cape Breton,Cape Breton Regional Municipality,New Waterford,425 Anniversary St,Cape Breton Island Housing Authority,1,46.24799874,-60.07840779
