"county","name","type","easting","northing","primary_stocking_objective","secondary_stocking_objective","number_released","stocking_date","growth_stage","mark","hatchery","fish_length_cm","fish_weight_g","stock","stock_strain"
"Richmond","UIST","Lake","689002","5074350","Fall Stocking Program",,"2860","2008-10-07T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","12.000","21.000","Brook Trout","Brook Trout Hybrids - wild Timber Lake x Antigonish domestic"
"Shelburne","BARRINGTON","River","291166","4828404","Spring Stocking Program",,"200","1977-05-24T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Yarmouth","20.500","103.000","Brook Trout","Brook Trout - domestic (Antigonish) stock from eggs produced by broodstock maintained at Yarmouth Hatchery"
"Shelburne","BARRINGTON","River","291166","4828404","Spring Stocking Program",,"7978","1986-06-11T00:00:00.000","8-14 weeks after absorption of yolk sac","No mark or tag","Yarmouth","7.300","4.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"5000","2006-11-02T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","15.000","50.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"2498","1980-10-24T00:00:00.000","20-26 weeks after absorption of yolk sac","Adipose fin clip only","Yarmouth","13.000","23.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"4000","2000-11-02T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","22.500","120.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"4000","2001-11-27T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","22.500","100.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"2800","2003-11-03T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","17.500","100.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"2500","2004-10-14T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","17.500","100.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"3000","2008-10-30T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","12.500","25.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"3000","2009-10-07T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","12.500","30.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"2000","2010-10-13T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","12.500","30.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"2500","2011-11-01T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","12.500","30.000","Brook Trout","Brook Trout - South River, Antigonish, sea-run"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"500","1991-11-01T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","McGowan Lake","14.000","25.000","Brook Trout","Brook Trout - Wild sea-run at Frasers Mills Hatchery"
"Shelburne","BARRINGTON","River","291166","4828404","Fall Stocking Program",,"1500","1991-11-01T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","14.000","25.000","Brook Trout","Brook Trout - Wild sea-run at Frasers Mills Hatchery"
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"192","1976-04-07T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","16.700","56.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"616","1976-04-07T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Frasers Mills","20.100","94.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"860","1977-09-04T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","18.600","66.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"1259","1978-11-16T00:00:00.000","26-52 weeks after absorption of yolk sac","Adipose fin clip only","Frasers Mills","15.400","71.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"480","1983-10-31T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","12.300","20.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"1200","1984-06-13T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","18.700","73.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"864","1985-07-08T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","20.200","91.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"1750","1986-06-11T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","18.200","66.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"398","1976-04-05T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","12.700","24.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Spring Stocking Program",,"600","1977-04-07T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Frasers Mills","17.500","65.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"480","1983-10-31T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","12.300","20.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"600","1980-10-20T00:00:00.000","20-26 weeks after absorption of yolk sac","Adipose fin clip only","Frasers Mills","10.700","11.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Antigonish","MACLEANS","Lake","574827","5037337","Fall Stocking Program",,"600","1980-10-21T00:00:00.000","20-26 weeks after absorption of yolk sac","Adipose fin clip only","Frasers Mills","10.700","11.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Colchester","SILICA","Lake","437128","5041507","Fall Stocking Program",,"1100","2013-10-22T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","8.000","45.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Colchester","SILICA","Lake","437128","5041507","Fall Stocking Program",,"2025","2014-10-02T00:00:00.000","1-2 years from date of hatch","No mark or tag","Frasers Mills","11.900","18.500","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Halifax","LONG","Lake","419754","4950580","Spring Stocking Program",,"1005","1981-05-03T00:00:00.000","1-2 years from date of hatch","No mark or tag","Kelly Lake","24.000","149.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Halifax","LONG","Lake","419754","4950580","Spring Stocking Program",,"1000","1982-05-27T00:00:00.000","1-2 years from date of hatch","No mark or tag","Kelly Lake","23.000","161.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"4000","1992-09-23T00:00:00.000","14-20 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","11.000","15.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"3880","1995-10-23T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","14.000","35.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"1800","1996-12-17T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","17.000","56.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"5400","1997-10-14T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","13.500","27.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"2100","1998-10-26T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","20.000","66.700","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"5000","1999-10-11T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","10.000","10.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"5241","2001-09-18T00:00:00.000","14-20 weeks after absorption of yolk sac","No mark or tag","Frasers Mills","10.100","11.800","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"20","1994-06-17T00:00:00.000","14-20 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","40.000","1000.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"2224","1993-10-26T00:00:00.000","20-26 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","15.000","45.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"3920","1994-10-25T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","14.000","36.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"2333","2003-10-24T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","16.000","60.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"3733","2005-09-27T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","20.000","50.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Hants","WEST","Lake","435344","4968784","Fall Stocking Program",,"2800","2006-10-25T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","15.000","50.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"99","1976-04-23T00:00:00.000","1-2 years from date of hatch","No mark or tag","Coldbrook","17.700","59.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"601","1976-04-22T00:00:00.000","1-2 years from date of hatch","No mark or tag","Coldbrook","17.900","62.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
