speed_limit,segments,total_km
20,5,2.3
25,3,0.59
30,55,21.28
40,1838,386.23
50,10423,4155.86
55,164,100.13
60,208,290.32
70,488,518.49
80,372,656.18
90,28,137.04
100,43,215.89
110,52,174.66
,156,246.78
