year,collisions,pedestrian,bicycle,impaired,distracted,intersection,fatal,pct_pedestrian,pct_bicycle,pct_impaired,pct_distracted,pct_intersection,pct_fatal
2018,6085,193,59,158,767,2586,19,3.2,1.0,2.6,12.6,42.5,0.3
2019,6266,169,82,196,771,2638,18,2.7,1.3,3.1,12.3,42.1,0.3
2020,4569,122,48,168,567,2010,7,2.7,1.1,3.7,12.4,44.0,0.2
2021,5061,155,63,188,580,2228,15,3.1,1.2,3.7,11.5,44.0,0.3
2022,5114,171,75,191,522,2184,11,3.3,1.5,3.7,10.2,42.7,0.2
2023,5342,168,62,178,628,2321,8,3.1,1.2,3.3,11.8,43.4,0.1
2024,6103,190,87,172,598,2498,13,3.1,1.4,2.8,9.8,40.9,0.2
2025,5734,169,101,162,516,2512,18,2.9,1.8,2.8,9.0,43.8,0.3
2026,1974,47,7,71,176,802,1,2.4,0.4,3.6,8.9,40.6,0.1
