section,rank,measure,zone,facility,procedure,period,year_quarter_index,value,surgery_rows,surgery_breaches,surgery_breach_pct,consult_rows,consult_breaches,consult_breach_pct,qoq_surgery_breach_pct,meets_min_rows,surgery_median,surgery_90th,surgery_tail_gap,consult_median,consult_90th,consult_tail_gap
worst_procedures,48,"","",QE2,AV Fistula Creation/Closure,2024_q1,8097,9,9,0,0.00,0,0,,,1,47,97,50,,,
worst_procedures,49,"","",QE2,Aneurysm Repair,2024_q2,8098,9,9,0,0.00,9,1,11.11,,1,65,156,91,19,69,50
worst_procedures,50,"","",QE2,Back Surgery (Adult),2023_q4,8096,9,9,0,0.00,9,5,55.56,,1,127,235,108,82,448,366
worst_procedures,51,"","",Cape Breton Regional,Bladder Surgery,2025_q1,8101,18,18,0,0.00,9,0,0.00,,1,70,107,37,,,
worst_procedures,52,"","",Valley Regional,Bowel Resection,2024_q4,8100,61,61,0,0.00,45,0,0.00,,1,53,109,56,31,118,87
worst_procedures,53,"","",QE2,Bowel Resection - Laparoscopic,2024_q3,8099,35,35,0,0.00,35,0,0.00,,1,77,167,90,36,287,251
worst_procedures,54,"","",QE2,Bowel Resection - Open,2023_q2,8094,26,26,0,0.00,17,0,0.00,,1,82,404,322,19,100,81
worst_procedures,55,"","",QE2,Brain Surgery (Adult),2023_q2,8094,9,9,0,0.00,9,0,0.00,,1,54,170,116,35,344,309
worst_procedures,56,"","",Colchester East Hants Health Centre,Breast Cancer Surgery,2025_q1,8101,72,72,0,0.00,72,0,0.00,,1,47,61,14,13,20,7
worst_procedures,57,"","",QE2,Breast Reconstruction,2023_q2,8094,9,9,0,0.00,8,5,62.50,,1,110,782,672,,,
worst_procedures,58,"","",QE2,Breast Reduction Surgery,2023_q3,8095,18,9,0,0.00,18,13,72.22,,1,109,231,122,1187,1367,180
worst_procedures,59,"","",QE2,Cardiac Valve Replacement,2024_q4,8100,9,9,0,0.00,0,0,,,1,70,124,54,,,
worst_procedures,60,"","",QE2,Cardiovascular Surgery,2024_q4,8100,9,9,0,0.00,0,0,,,1,68,136,68,,,
worst_procedures,61,"","",QE2,Cervical Spine (Neck) Surgery,2024_q1,8097,9,9,0,0.00,9,0,0.00,,1,107,328,221,59,273,214
worst_procedures,62,"","",Valley Regional,Colorectal Cancer Surgery,2024_q4,8100,45,45,0,0.00,35,0,0.00,,1,44,93,49,30,66,36
worst_procedures,63,"","",QE2,Coronary Artery Bypass Graft,2024_q4,8100,9,9,0,0.00,0,0,,,1,67,122,55,,,
worst_procedures,64,"","",QE2,Craniotomy or Craniectomy,2023_q4,8096,9,9,0,0.00,0,0,,,1,160,225,65,,,
worst_procedures,65,"","",Northside General,Cystoscopy,2025_q2,8102,81,81,0,0.00,63,1,1.59,,1,139,433,294,,,
worst_procedures,66,"","",Yarmouth Regional,Ear Tubes (Adult),2023_q4,8096,9,9,0,0.00,0,0,,,1,69,258,189,,,
worst_procedures,67,"","",QE2,Endarterectomy,2023_q3,8095,9,9,0,0.00,0,0,,,1,64,83,19,,,
worst_procedures,68,"","",QE2,Esophagectomy / Esophageal Surgery,2024_q3,8099,9,9,0,0.00,8,0,0.00,,1,50,83,33,21,107,86
worst_procedures,69,"","",QE2,Female Incontinence Surgery,2023_q3,8095,9,9,0,0.00,0,0,,,1,174,329,155,,,
worst_procedures,70,"","",St. Martha's Regional,Gallbladder Surgery,2025_q1,8101,107,98,0,0.00,106,13,12.26,,1,181,278,97,42,85,43
worst_procedures,71,"","",QE2,Gastric Surgery,2023_q4,8096,9,9,0,0.00,9,0,0.00,,1,55,109,54,23,38,15
worst_procedures,72,"","",IWK,Gastrointestinal Tract Surgery,2023_q2,8094,81,81,0,0.00,43,4,9.30,,1,101,328,227,,,
worst_procedures,73,"","",QE2,Gastrointestinal Tract Surgery - Laparoscopic,2024_q3,8099,52,43,0,0.00,44,0,0.00,,1,77,167,90,36,287,251
worst_procedures,74,"","",QE2,Glaucoma (Eye Pressure Lowering Surgery),2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,31,118,87,41,260,219
worst_procedures,75,"","",QE2,Hysterectomy (Cancer Suspected or Proven),2023_q3,8095,9,9,0,0.00,9,0,0.00,,1,55,76,21,13,21,8
worst_procedures,76,"","",Cape Breton Regional,Hysteroscopy,2024_q3,8099,81,81,0,0.00,72,1,1.39,,1,115,180,65,,,
