year,installs,installed_kw,cumulative_installs,cumulative_kw,yoy_install_change,yoy_install_pct
2018,107,956.84,107,956.84,,
2019,803,7639.7,910,8596.54,696,650.5
2020,986,9957.64,1896,18554.18,183,22.8
2021,1549,15878.75,3445,34432.93,563,57.1
2022,1183,12539.8,4628,46972.73,-366,-23.6
2023,314,3624.81,4942,50597.54,-869,-73.5
2024,500,5401.4,5442,55998.94,186,59.2
2025,577,6490.53,6019,62489.47,77,15.4
