"datasetname","monitoringlocationid","monitoringlocationname","monitoringlocationtype","activitytype","activitymedianame","activitystartdate","activitystarttime","activitydepthheightmeasure","activitydepthheightunit","samplecollectionequipmentname","characteristicname","methodspeciation","resultsamplefraction","resultvalue","resultunit","resultvaluetype","resultdetectioncondition","resultdetectionquantitationlimitmeasure","resultdetectionquantitationlimitunit","resultdetectionquantitationlimittype","resultstatusid","resultcomment","laboratoryname","laboratorysampleid","monitoringlocationwaterbody"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Temperature, water",,,"-0.08","deg C","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Dissolved oxygen (DO)",,,"14.6","mg/l","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Dissolved oxygen saturation",,,"99.6","%","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","pH",,,"5.17","none","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Conductivity",,,"21.4","umhos/cm","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Turbidity",,,,"NTU","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Aluminium",,"Total","165","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Antimony",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Arsenic",,"Total","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Barium",,"Total","10","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Beryllium",,"Total","0.4","ug/l","Actual","Below Detection Limit/Quantification Limit","0.4","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Boron",,"Total","20","ug/l","Actual","Below Detection Limit/Quantification Limit","20","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cadmium",,"Total","1","ug/l","Actual","Below Detection Limit/Quantification Limit","1","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Calcium",,"Total","0.6","mg/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Chromium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cobalt",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Copper",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Iron",,"Total","355","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Lead",,"Total","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Magnesium",,"Total","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Manganese",,"Total","108","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Molybdenum",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Nickel",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Potassium",,"Total","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Selenium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Silver",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Sodium",,"Total","2.8","mg/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Strontium",,"Total","3","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Thallium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Tin",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Titanium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Uranium",,"Total","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Vanadium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Zinc",,"Total","5","ug/l","Actual","Below Detection Limit/Quantification Limit","5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Conductivity",,,"50","umho/cm","Actual","Below Detection Limit/Quantification Limit","50","umho/cm","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","pH",,,"5.2","none","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Turbidity",,,"0.7","NTU","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Alkalinity","as CaCO3",,"1","mg/L","Actual","Below Detection Limit/Quantification Limit","1","mg/L","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Chloride",,"Dissolved","3.5","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","True Color",,,"79.3","TCU","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Silica",,"Total","4.2","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Sulfate",,"Dissolved","1.1","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Total Nitrogen, Mixed Forms","as N","Unfiltered","0.2","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Inorganic Nitrogen (nitrate and nitrite)","as N","Unfiltered","0.02","mg/L","Actual","Below Detection Limit/Quantification Limit","0.02","mg/L","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Ammonia","as N","Unfiltered","0.02","mg/L","Actual","Below Detection Limit/Quantification Limit","0.02","mg/L","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Orthophosphate","as P","Unfiltered","0.004","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Total Phosphorus, mixed forms","as P","Unfiltered","0.006","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Total Suspended Solids",,,"5","mg/L","Actual","Below Detection Limit/Quantification Limit","5","mg/L","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Organic Carbon",,"Total","9.6","mg/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Chlorophyll A",,"Total","0.04","ug/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Pheophytin",,"Total","0.08","ug/L","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Aluminium",,"Dissolved","142","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Antimony",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Arsenic",,"Dissolved","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Barium",,"Dissolved","10","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Beryllium",,"Dissolved","0.4","ug/l","Actual","Below Detection Limit/Quantification Limit","0.4","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Boron",,"Dissolved","20","ug/l","Actual","Below Detection Limit/Quantification Limit","20","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cadmium",,"Dissolved","1","ug/l","Actual","Below Detection Limit/Quantification Limit","1","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Calcium",,"Dissolved","0.6","mg/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Chromium",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DH0002","SALMONRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2023-05-03T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Temperature, water",,,"5.81","deg C","Actual",,,,,"Preliminary",,,,"Salmon River at Murray"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cobalt",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Copper",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Iron",,"Dissolved","322","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Lead",,"Dissolved","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Magnesium",,"Dissolved","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Manganese",,"Dissolved","106","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Molybdenum",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Nickel",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Potassium",,"Dissolved","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Selenium",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Silver",,"Dissolved","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Sodium",,"Dissolved","2.6","mg/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Strontium",,"Dissolved","3","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064184","Kelley River at Eight Mile Ford"
